country,quarter,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,FX_level,EX_level,cpi_index,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO
EGY,1997-01-01,,,,,,,,4.314068944,10.2,-0.004413997,-3.353378989,-0.383333333
EGY,1997-04-01,,,,,,,,4.311271716,10.1,-6.031676182,-11.64235996,0.63
EGY,1997-07-01,,,,,,,,4.674702492,8.7,-7.776594469,-13.62180186,1.86
EGY,1997-10-01,,,,,,,,4.483552816,8.6,-11.74609332,-5.575669695,2.353333333
EGY,1998-01-01,,,,,,,,4.855526883,7.3,-13.06143405,5.763242531,1.916666667
EGY,1998-04-01,,,,,,,,4.092790086,7.0,-9.617365075,9.708304434,0.32
EGY,1998-07-01,,,,,,,,4.103452728,7.9,-12.89007443,6.656583063,-1.176666667
EGY,1998-10-01,,,,,,,,4.883126569,9.2,-13.89777945,8.580019556,-1.536666667
EGY,1999-01-01,,,,,,,,4.816336793,9.0,-13.27152829,-11.14045739,-1.32
EGY,1999-04-01,,,,,,,,4.721885912,7.9,-6.511298726,-16.14548312,-1.15
EGY,1999-07-01,,,,,,,,4.791118247,7.7,8.028596873,-10.42963047,-1.16
EGY,1999-10-01,,,,,,,,4.823574271,6.8,18.92080027,-10.71839934,-1.516666667
EGY,2000-01-01,,,,,,,,4.224744861,8.8,33.32654589,-2.31141697,-1.433333333
EGY,2000-04-01,,,,,,,,5.244456811,9.2,28.20114123,4.737926428,-0.84
EGY,2000-07-01,,,,,,,,3.973172353,8.9,23.58391285,-0.723836869,-0.56
EGY,2000-10-01,,,,,,,,2.90559431,7.6,19.92049539,-0.026906846,-0.803333333
EGY,2001-01-01,,,,,,,,2.197505186,9.5,6.926041503,-1.657046314,-0.613333333
EGY,2001-04-01,,,,,,,,0.996298327,8.6,0.144938506,-2.29734062,-0.34
EGY,2001-07-01,,,,,,143.1,,0.489236293,8.0,-9.971647845,7.581183167,-0.096666667
EGY,2001-10-01,,,,,,142.98,,0.167318294,7.5,-23.36182497,0.622530745,-0.306666667
EGY,2002-01-01,,,,,,154.52,,1.337258657,9.0,-17.44242736,3.32999179,-0.06
EGY,2002-04-01,,,,,,162.61,,1.325378753,8.9,-6.338137233,2.415577069,0.35
EGY,2002-07-01,3.31,,,19.13347309573725,,170.48,,2.146516983,9.7,3.360036781,2.693157543,0.9
EGY,2002-10-01,3.32,,,21.45055252482866,,173.65,,1.992524822,9.2,22.22363153,12.68349005,1.363333333
EGY,2003-01-01,2.9,,,18.152989904219496,,182.57,,1.679257012,11.2,32.04818535,9.556251675,0.533333333
EGY,2003-04-01,3.24,,,31.68316831683167,,214.13,,2.007290572,9.2,13.55093657,9.595027301,-0.346666667
