run,scenario,counterfactual_drivers,quarter,variable,forecast,lower,upper
baseline,climate,ENSO,2026-01-01,GDP_YoY,4.058039624089094,3.904403999787663,4.211675248390526
baseline,climate,ENSO,2026-01-01,CPI_YoY,2.872691000893236,2.846352455111603,2.899029546674868
baseline,climate,ENSO,2026-01-01,FX_YoY,0.509992108070207,0.2920586499134026,0.727925566227011
baseline,climate,ENSO,2026-01-01,EX_YoY,12.216393906928984,12.052025452263004,12.380762361594961
baseline,climate,ENSO,2026-04-01,GDP_YoY,4.311466761509606,4.095268461046553,4.527665061972659
baseline,climate,ENSO,2026-04-01,CPI_YoY,3.201034117611012,3.1497350360884555,3.2523331991335684
baseline,climate,ENSO,2026-04-01,FX_YoY,-0.240086538810786,-0.5152873264301769,0.0351142488086047
baseline,climate,ENSO,2026-04-01,EX_YoY,2.5942719535515844,2.391011303460539,2.7975326036426305
baseline,climate,ENSO,2026-07-01,GDP_YoY,3.762710409884481,3.2987244650774725,4.226696354691489
baseline,climate,ENSO,2026-07-01,CPI_YoY,2.884001373013688,2.7788256145489996,2.989177131478377
baseline,climate,ENSO,2026-07-01,FX_YoY,-1.6165336806892374,-2.1457482303333735,-1.087319131045101
baseline,climate,ENSO,2026-07-01,EX_YoY,-7.297042777840971,-7.710611425893092,-6.883474129788853
baseline,climate,ENSO,2026-10-01,GDP_YoY,2.709833863635434,1.8623402379067393,3.5573274893641287
baseline,climate,ENSO,2026-10-01,CPI_YoY,2.124392582630917,1.9349929410293627,2.3137922242324716
baseline,climate,ENSO,2026-10-01,FX_YoY,-3.0189157131605553,-4.030107248884107,-2.0077241774370047
baseline,climate,ENSO,2026-10-01,EX_YoY,-12.547932009255033,-13.228385524441792,-11.867478494068274
baseline,climate,ENSO,2027-01-01,GDP_YoY,1.680280007820385,0.5028510593780444,2.8577089562627256
baseline,climate,ENSO,2027-01-01,CPI_YoY,1.3170231025158132,1.0470540465563474,1.586992158475279
baseline,climate,ENSO,2027-01-01,FX_YoY,-3.8455575830117548,-5.217570364027354,-2.4735448019961552
baseline,climate,ENSO,2027-01-01,EX_YoY,-10.896434180082647,-11.711113655302885,-10.081754704862407
baseline,climate,ENSO,2027-04-01,GDP_YoY,0.8512507303073562,-0.6865646760786559,2.3890661366933683
baseline,climate,ENSO,2027-04-01,CPI_YoY,0.7865119278541899,0.4088323463140031,1.1641915093943767
baseline,climate,ENSO,2027-04-01,FX_YoY,-4.644706519423262,-6.544368562344965,-2.745044476501559
baseline,climate,ENSO,2027-04-01,EX_YoY,-8.87380343256859,-9.851577839689744,-7.896029025447435
baseline,counterfactual_zero_climate,ENSO,2026-01-01,GDP_YoY,3.8340975813989013,3.6834865690298386,3.984708593767965
baseline,counterfactual_zero_climate,ENSO,2026-01-01,CPI_YoY,2.8279651426530763,2.8005202264397306,2.855410058866422
baseline,counterfactual_zero_climate,ENSO,2026-01-01,FX_YoY,-0.11890124705056548,-0.3415919623453214,0.10378946824419022
baseline,counterfactual_zero_climate,ENSO,2026-01-01,EX_YoY,8.320187058061487,8.156569657557945,8.483804458565027
baseline,counterfactual_zero_climate,ENSO,2026-04-01,GDP_YoY,4.129179437522975,3.9192590089796546,4.339099866066296
baseline,counterfactual_zero_climate,ENSO,2026-04-01,CPI_YoY,2.995236980674941,2.945394916431709,3.045079044918173
baseline,counterfactual_zero_climate,ENSO,2026-04-01,FX_YoY,-0.24514477526082556,-0.5362246705193634,0.04593511999771227
baseline,counterfactual_zero_climate,ENSO,2026-04-01,EX_YoY,4.257288645051548,4.0995736740822455,4.41500361602085
baseline,counterfactual_zero_climate,ENSO,2026-07-01,GDP_YoY,4.20817092534943,3.9558489977660427,4.460492852932818
baseline,counterfactual_zero_climate,ENSO,2026-07-01,CPI_YoY,2.9229718143702725,2.84775307234219,2.998190556398355
baseline,counterfactual_zero_climate,ENSO,2026-07-01,FX_YoY,-0.13122253570398823,-0.47950264637510065,0.2170575749671242
baseline,counterfactual_zero_climate,ENSO,2026-07-01,EX_YoY,3.101444032008859,2.9308170978160946,3.272070966201624
baseline,counterfactual_zero_climate,ENSO,2026-10-01,GDP_YoY,4.1971353712139825,3.896491272966656,4.4977794694613085
baseline,counterfactual_zero_climate,ENSO,2026-10-01,CPI_YoY,2.831046907648491,2.736071572126289,2.926022243170693
baseline,counterfactual_zero_climate,ENSO,2026-10-01,FX_YoY,-0.008047211482256733,-0.4148837749070866,0.3987893519425729
baseline,counterfactual_zero_climate,ENSO,2026-10-01,EX_YoY,2.7932881932103286,2.5942583841503652,2.9923180022702924
baseline,counterfactual_zero_climate,ENSO,2027-01-01,GDP_YoY,4.156758998730581,3.7939769311659015,4.519541066295261
baseline,counterfactual_zero_climate,ENSO,2027-01-01,CPI_YoY,2.766186736188198,2.655063362089436,2.8773101102869605
baseline,counterfactual_zero_climate,ENSO,2027-01-01,FX_YoY,0.06669280977661174,-0.41306217798660017,0.5464477975398236
baseline,counterfactual_zero_climate,ENSO,2027-01-01,EX_YoY,2.7164127317080395,2.4901191189858265,2.9427063444302526
baseline,counterfactual_zero_climate,ENSO,2027-04-01,GDP_YoY,4.113039976491664,3.690141313185146,4.535938639798181
baseline,counterfactual_zero_climate,ENSO,2027-04-01,CPI_YoY,2.7273496101651324,2.599776293362215,2.85492292696805
baseline,counterfactual_zero_climate,ENSO,2027-04-01,FX_YoY,0.09450515197891396,-0.49630270212483696,0.6853130060826651
baseline,counterfactual_zero_climate,ENSO,2027-04-01,EX_YoY,2.698504438690878,2.452071934894543,2.9449369424872143
