run,quarter,variable,forecast,lower,upper
baseline,2026-01-01,GDP_YoY,4.058039624089094,3.904403999787663,4.211675248390526
baseline,2026-01-01,CPI_YoY,2.872691000893236,2.846352455111603,2.899029546674868
baseline,2026-01-01,FX_YoY,0.509992108070207,0.2920586499134026,0.727925566227011
baseline,2026-01-01,EX_YoY,12.216393906928984,12.052025452263004,12.380762361594961
baseline,2026-04-01,GDP_YoY,4.311466761509606,4.095268461046553,4.527665061972659
baseline,2026-04-01,CPI_YoY,3.201034117611012,3.1497350360884555,3.2523331991335684
baseline,2026-04-01,FX_YoY,-0.240086538810786,-0.5152873264301769,0.0351142488086047
baseline,2026-04-01,EX_YoY,2.5942719535515844,2.391011303460539,2.7975326036426305
baseline,2026-07-01,GDP_YoY,3.762710409884481,3.2987244650774725,4.226696354691489
baseline,2026-07-01,CPI_YoY,2.884001373013688,2.7788256145489996,2.989177131478377
baseline,2026-07-01,FX_YoY,-1.6165336806892374,-2.1457482303333735,-1.087319131045101
baseline,2026-07-01,EX_YoY,-7.297042777840971,-7.710611425893092,-6.883474129788853
baseline,2026-10-01,GDP_YoY,2.709833863635434,1.8623402379067393,3.5573274893641287
baseline,2026-10-01,CPI_YoY,2.124392582630917,1.9349929410293627,2.3137922242324716
baseline,2026-10-01,FX_YoY,-3.0189157131605553,-4.030107248884107,-2.0077241774370047
baseline,2026-10-01,EX_YoY,-12.547932009255033,-13.228385524441792,-11.867478494068274
baseline,2027-01-01,GDP_YoY,1.680280007820385,0.5028510593780444,2.8577089562627256
baseline,2027-01-01,CPI_YoY,1.3170231025158132,1.0470540465563474,1.586992158475279
baseline,2027-01-01,FX_YoY,-3.8455575830117548,-5.217570364027354,-2.4735448019961552
baseline,2027-01-01,EX_YoY,-10.896434180082647,-11.711113655302885,-10.081754704862407
baseline,2027-04-01,GDP_YoY,0.8512507303073562,-0.6865646760786559,2.3890661366933683
baseline,2027-04-01,CPI_YoY,0.7865119278541899,0.4088323463140031,1.1641915093943767
baseline,2027-04-01,FX_YoY,-4.644706519423262,-6.544368562344965,-2.745044476501559
baseline,2027-04-01,EX_YoY,-8.87380343256859,-9.851577839689744,-7.896029025447435
intervention,2026-04-01,GDP_YoY,4.282579806960431,4.2223185149447335,4.3428410989761295
intervention,2026-04-01,CPI_YoY,3.944674264631876,3.9132273760223937,3.9761211532413583
intervention,2026-04-01,FX_YoY,3.4835838693803716,3.4110540016251303,3.5561137371356137
intervention,2026-04-01,EX_YoY,13.586156969313443,13.098080707289729,14.07423323133716
intervention,2026-07-01,GDP_YoY,4.587884684549486,4.5204833173893135,4.655286051709659
intervention,2026-07-01,CPI_YoY,4.26210156040084,4.2232314046120925,4.300971716189586
intervention,2026-07-01,FX_YoY,2.7068065802159054,2.587684236314735,2.825928924117076
intervention,2026-07-01,EX_YoY,5.44912227708685,4.885553447200946,6.012691106972754
intervention,2026-10-01,GDP_YoY,4.834414734601507,4.757406334586681,4.911423134616334
intervention,2026-10-01,CPI_YoY,4.256731791595669,4.207984065341096,4.305479517850242
intervention,2026-10-01,FX_YoY,2.5964035475458718,2.439514268378142,2.7532928267136016
intervention,2026-10-01,EX_YoY,2.051317936503992,1.265176872088852,2.8374590009191323
intervention,2027-01-01,GDP_YoY,2.873659089264137,2.6783570801315713,3.0689610983967026
intervention,2027-01-01,CPI_YoY,3.481684312886281,3.4032371066489473,3.5601315191236145
intervention,2027-01-01,FX_YoY,0.29676980240982354,0.06540526467296393,0.5281343401466829
intervention,2027-01-01,EX_YoY,-8.66795334439822,-10.321058586357836,-7.014848102438605
intervention,2027-04-01,GDP_YoY,1.3214145386698934,1.0427205736042557,1.6001085037355312
intervention,2027-04-01,CPI_YoY,2.530522080050766,2.400595093904102,2.6604490661974305
intervention,2027-04-01,FX_YoY,-1.412895687366664,-1.8059296336219226,-1.019861741111405
intervention,2027-04-01,EX_YoY,-9.773160089639973,-11.940080458671822,-7.606239720608124
intervention,2027-07-01,GDP_YoY,1.1284102017421094,0.8414148077376549,1.4154055957465639
intervention,2027-07-01,CPI_YoY,2.134945233497006,1.9692881018072053,2.3006023651868066
intervention,2027-07-01,FX_YoY,-1.1489869412392328,-1.6633657775942268,-0.6346081048842389
intervention,2027-07-01,EX_YoY,-2.6759311019050367,-4.603666332621766,-0.7481958711883063
intervention,2027-10-01,GDP_YoY,0.9451270284057731,0.5971514811487904,1.2931025756627563
intervention,2027-10-01,CPI_YoY,2.0432245016014443,1.8516050216582245,2.234843981544665
intervention,2027-10-01,FX_YoY,-1.1202962145959863,-1.7140627056971953,-0.5265297234947772
intervention,2027-10-01,EX_YoY,0.5842558957926727,-1.4847490301792066,2.653260821764552
