country,quarter,PRITHVI_HEAT_ANOM,PRITHVI_HEAT_STD
BRA,1981-01-01,0.2791195,0.35114938
BRA,1981-04-01,-1.0414295,-1.310182
BRA,1981-07-01,-1.0975704,-1.3808106
BRA,1981-10-01,0.39504623,0.4969923
BRA,1982-01-01,-0.0040569305,-0.0051038666
BRA,1982-04-01,-1.0467046,-1.3168184
BRA,1982-07-01,-0.57688206,-0.7257529
BRA,1982-10-01,0.65564793,0.82484514
BRA,1983-01-01,0.7769788,0.9774868
BRA,1983-04-01,-0.32848677,-0.41325644
BRA,1983-07-01,-0.5120875,-0.6442374
BRA,1983-10-01,0.19769414,0.2487113
BRA,1984-01-01,0.32077536,0.403555
BRA,1984-04-01,-1.0706431,-1.3469344
BRA,1984-07-01,-1.1159185,-1.4038937
BRA,1984-10-01,0.48683167,0.61246395
BRA,1985-01-01,-0.0047416687,-0.0059653088
BRA,1985-04-01,-1.3963083,-1.7566411
BRA,1985-07-01,-1.1100687,-1.3965342
BRA,1985-10-01,0.22331047,0.2809382
BRA,1986-01-01,-0.033648174,-0.04233146
BRA,1986-04-01,-0.8470128,-1.0655938
BRA,1986-07-01,-1.0028667,-1.2616676
BRA,1986-10-01,0.3277181,0.4122894
BRA,1987-01-01,0.43942514,0.55282366
BRA,1987-04-01,-0.6864624,-0.86361164
BRA,1987-07-01,-0.11787224,-0.14829047
BRA,1987-10-01,1.1767044,1.480366
BRA,1988-01-01,0.6843281,0.8609265
BRA,1988-04-01,-1.075889,-1.3535341
BRA,1988-07-01,-0.6896617,-0.86763656
BRA,1988-10-01,0.36459222,0.4586793
BRA,1989-01-01,-0.07666334,-0.09644716
BRA,1989-04-01,-1.2555612,-1.5795728
BRA,1989-07-01,-0.98933667,-1.244646
BRA,1989-10-01,0.31479773,0.39603478
BRA,1990-01-01,0.41716638,0.5248208
BRA,1990-04-01,-0.7184105,-0.9038043
BRA,1990-07-01,-1.1346003,-1.4273965
BRA,1990-10-01,1.0690536,1.3449348
BRA,1991-01-01,0.29228845,0.36771673
BRA,1991-04-01,-0.8088582,-1.017593
BRA,1991-07-01,-0.9155814,-1.1518574
BRA,1991-10-01,0.7002385,0.8809428
BRA,1992-01-01,0.23480988,0.29540518
BRA,1992-04-01,-0.31895575,-0.40126583
BRA,1992-07-01,-1.2016449,-1.5117427
BRA,1992-10-01,0.3309002,0.41629267
BRA,1993-01-01,0.23741786,0.29868618
BRA,1993-04-01,-0.6513672,-0.81945974
BRA,1993-07-01,-0.7157542,-0.9004625
BRA,1993-10-01,0.8849481,1.1133188
BRA,1994-01-01,0.2528108,0.31805143
BRA,1994-04-01,-0.8539696,-1.074346
BRA,1994-07-01,-0.575875,-0.72448593
BRA,1994-10-01,1.0345637,1.3015443
BRA,1995-01-01,0.5554263,0.6987602
BRA,1995-04-01,-1.0038198,-1.2628666
BRA,1995-07-01,0.018936157,0.023822842
BRA,1995-10-01,0.60385066,0.75968105
BRA,1996-01-01,0.37309837,0.46938056
BRA,1996-04-01,-1.1564426,-1.4548755
BRA,1996-07-01,-0.62314224,-0.78395104
BRA,1996-10-01,0.655543,0.8247132
BRA,1997-01-01,0.034193676,0.043017734
BRA,1997-04-01,-1.0826187,-1.3620005
BRA,1997-07-01,-0.023450851,-0.029502604
BRA,1997-10-01,1.5839081,1.9926531
BRA,1998-01-01,1.4352449,1.8056258
BRA,1998-04-01,-0.07879003,-0.09912267
BRA,1998-07-01,0.2759253,0.3471309
BRA,1998-10-01,0.80567676,1.0135906
BRA,1999-01-01,0.3904635,0.49122694
BRA,1999-04-01,-1.0425549,-1.3115977
BRA,1999-07-01,-0.43950018,-0.5529181
BRA,1999-10-01,0.4622148,0.58149445
BRA,2000-01-01,0.020750046,0.026104825
BRA,2000-04-01,-0.85953265,-1.0813446
BRA,2000-07-01,-0.96458244,-1.2135036
BRA,2000-10-01,0.7294528,0.9176962
BRA,2001-01-01,0.3327465,0.41861543
BRA,2001-04-01,-0.7869625,-0.9900469
BRA,2001-07-01,-0.24448459,-0.30757654
BRA,2001-10-01,0.92967796,1.1695917
BRA,2002-01-01,0.5653159,0.71120197
BRA,2002-04-01,-0.21060944,-0.26495954
BRA,2002-07-01,0.022117615,0.02782531
BRA,2002-10-01,1.4621855,1.8395187
BRA,2003-01-01,0.7564106,0.95161074
BRA,2003-04-01,-0.5186164,-0.6524511
BRA,2003-07-01,-0.40007654,-0.50332075
BRA,2003-10-01,1.1089617,1.3951416
BRA,2004-01-01,0.32561365,0.40964186
BRA,2004-04-01,-0.7140611,-0.8983325
BRA,2004-07-01,-0.33050475,-0.41579518
BRA,2004-10-01,1.1514791,1.448631
BRA,2005-01-01,0.87292224,1.0981895
BRA,2005-04-01,-0.11275736,-0.14185566
BRA,2005-07-01,-0.09830984,-0.12367978
BRA,2005-10-01,1.0713342,1.347804
BRA,2006-01-01,0.7502651,0.94387937
BRA,2006-04-01,-1.0147095,-1.2765665
BRA,2006-07-01,0.044871014,0.056450475
BRA,2006-10-01,1.0355377,1.3027698
BRA,2007-01-01,0.904815,1.1383126
BRA,2007-04-01,-0.45607123,-0.57376546
BRA,2007-07-01,-0.0352637,-0.044363886
BRA,2007-10-01,1.176712,1.4803756
BRA,2008-01-01,0.1669286,0.21000639
BRA,2008-04-01,-1.07978,-1.3584292
BRA,2008-07-01,0.008268992,0.010402897
BRA,2008-10-01,1.0916742,1.3733928
BRA,2009-01-01,0.5363102,0.674711
BRA,2009-04-01,-0.92153674,-1.1593496
BRA,2009-07-01,0.095527016,0.12017882
BRA,2009-10-01,1.3731016,1.7274457
BRA,2010-01-01,1.3592275,1.7099913
BRA,2010-04-01,-0.17814064,-0.22411181
BRA,2010-07-01,0.12541898,0.15778473
