date,SOI,PDO,WestenV,NINO1+2,NINO3,NINO4,NINO3+4
1/31/78,-4.4,0.925,,-0.4,0,0.19,0.25
2/28/78,-0.3,1.307,,-1.21,-0.46,-0.14,-0.2
3/31/78,-0.5,1.165,-0.434993541,-0.77,-0.94,-0.59,-0.7
4/30/78,2.2,1.027,,-1.25,-1.15,-0.4,-0.74
5/31/78,1.1,0.575,,-1.18,-0.97,-0.56,-0.71
6/30/78,0.9,-0.8,-0.008771239,-0.94,-0.86,-0.62,-0.55
7/31/78,0.7,-0.305,,-1.37,-1.02,-0.59,-0.79
8/31/78,0.1,-0.348,,-0.88,-0.72,-0.48,-0.71
9/30/78,-0.6,0.331,0.106405488,-0.96,-0.41,-0.56,-0.46
10/31/78,0,0.256,,-0.04,-0.31,-0.39,-0.38
11/30/78,-0.1,-0.284,,0.09,0.01,-0.17,-0.06
12/31/78,-0.7,0.002,-0.134428658,0.16,-0.32,0.04,-0.13
1/31/79,1.6,-0.765,,-0.58,-0.29,-0.11,-0.22
2/28/79,0.2,-0.224,,-0.58,-0.06,-0.02,-0.02
3/31/79,-0.2,0.195,-0.116594596,0.15,0.07,-0.02,0.02
4/30/79,0.8,0.84,,-0.13,-0.05,-0.18,-0.25
5/31/79,1.1,0.475,,0.16,-0.15,-0.24,-0.29
6/30/79,2.2,0.627,-0.137931314,-0.26,-0.31,-0.2,-0.47
7/31/79,-0.3,0.469,,-0.07,0.13,-0.45,-0.1
8/31/79,0.2,1.127,,0.43,0.58,-0.29,0.28
9/30/79,-0.2,1.302,-0.19952497,0.45,0.44,-0.18,0.11
10/31/79,-0.7,0.805,,0.14,0.39,0.12,0.29
11/30/79,-1.2,0.378,,-0.08,0.43,0.29,0.52
12/31/79,0.7,0.36,-0.499023432,-0.25,0.38,0.37,0.54
1/31/80,0.5,0.863,,-0.42,0.03,0.36,0.22
2/29/80,-0.7,0.797,,-0.01,-0.18,0.19,0.03
3/31/80,-1,1.023,-0.657458794,0,-0.2,0.14,-0.07
4/30/80,0,1.036,,-0.43,-0.15,0.26,0.08
5/31/80,0,-0.39,,-0.36,0.08,0.16,0.21
6/30/80,-0.1,0.1,-0.522950824,-0.84,-0.23,0.02,-0.06
7/31/80,0.6,0.184,,-0.48,-0.34,-0.29,-0.38
8/31/80,-0.8,0.161,,-0.3,-0.18,-0.27,-0.28
9/30/80,0,1.265,-0.179477839,-0.5,-0.42,-0.02,-0.26
10/31/80,-0.6,0.874,,-0.41,-0.1,-0.02,-0.1
11/30/80,-0.1,0.476,,-0.4,0.01,-0.03,0.05
12/31/80,0.6,1.167,-0.100119244,-1.5,-0.71,-0.13,-0.36
1/31/81,-0.3,1.32,,-1.17,-0.88,-0.17,-0.64
2/28/81,-2.1,1.35,,-0.55,-0.59,-0.17,-0.64
3/31/81,-0.2,1.228,-0.311350027,-0.73,-0.52,-0.52,-0.53
4/30/81,1.3,1.379,,-0.77,-0.54,-0.56,-0.57
5/31/81,2,1.708,,-0.63,-0.43,-0.59,-0.46
6/30/81,1.4,1.001,0.20728521,-0.89,-0.6,-0.73,-0.64
7/31/81,1.2,0.54,,-1.13,-0.73,-0.71,-0.53
8/31/81,0.5,0.784,,-0.79,-0.23,-0.4,-0.19
9/30/81,-0.6,0.171,0.163583203,-0.57,-0.18,-0.38,-0.3
10/31/81,0.3,0.618,,-0.46,-0.41,-0.31,-0.41
11/30/81,0.8,0.61,,-0.18,-0.05,-0.09,-0.2
12/31/81,2,0.204,-0.030376313,-0.26,0.2,-0.03,0.13
1/31/82,0.4,0.077,,-0.79,0,-0.18,-0.17
2/28/82,1,0.045,,-1.29,-0.1,0.07,0.13
3/31/82,0.1,-0.271,-0.271094819,-0.81,-0.01,0.33,0.21
4/30/82,-0.6,-0.662,,-0.31,0.39,0.39,0.45
5/31/82,-1.7,-0.501,,0.13,0.54,0.45,0.53
6/30/82,-2.5,0.576,-0.528454041,0.47,0.41,0.13,0.37
7/31/82,-2.9,0.397,,0.8,0.95,0.09,0.73
8/31/82,-2.9,0.883,,1.31,1.89,0.33,1.49
9/30/82,-2.8,0.441,-0.507319426,1.81,2.3,0.67,1.99
10/31/82,-4.3,-0.231,,3.03,2.4,0.57,1.92
11/30/82,-3.7,0.161,,3.16,2.86,0.51,2.2
12/31/82,-5.8,0.329,-0.321837064,2.65,3,0.39,2.35
1/31/83,-6,0.944,,2.03,2.3,0.33,1.94
2/28/83,-4,1.735,,2.23,1.68,0.23,1.38
3/31/83,-1.5,1.445,-0.355320381,3.32,1.55,0.04,0.95
4/30/83,1,1.181,,3.85,1.73,0.16,0.9
5/31/83,0.1,1.756,,4.24,1.52,0,0.54
6/30/83,-1,2.273,-0.331984153,3.8,0.8,-0.27,-0.11
7/31/83,0.2,1.302,,2.93,0.65,-0.4,-0.27
8/31/83,1.4,0.669,,1.37,0.13,-0.78,-0.52
9/30/83,0.7,0.702,0.221980597,0.99,-0.61,-0.89,-1.16
10/31/83,-0.2,1.032,,0.4,-1.03,-1.01,-1.29
11/30/83,0,1.389,,0.21,-0.84,-0.83,-1.03
12/31/83,0.3,1.178,0.206413887,-0.39,-0.58,-0.83,-0.67
1/31/84,1.4,1.046,,-0.88,-0.15,-0.72,-0.19
2/29/84,-0.4,1.381,,-0.87,-0.23,-0.85,-0.52
3/31/84,0.6,1.001,0.361277416,-0.23,-0.49,-0.88,-0.68
4/30/84,0.3,0.942,,-1.11,-0.93,-0.78,-0.73
5/31/84,-0.6,0.074,,-0.95,-1.17,-0.78,-0.9
6/30/84,0.3,0.098,0.441324047,-0.63,-0.78,-0.59,-0.5
