quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2000-01-01,,,,,BRA
2000-03-31,,,,,BRA
2000-04-01,,,,,BRA
2000-06-30,,,,,BRA
2000-07-01,,,,,BRA
2000-09-30,,,,,BRA
2000-10-01,,,,,BRA
2000-12-31,,,,,BRA
2001-01-01,7.7874301076993335,,,61.564598056619445,BRA
2001-03-31,,6.840359024875231,-21.379185349508933,,BRA
2001-04-01,7.896383491841141,,,-4.952088743839889,BRA
2001-06-30,,,,,BRA
2001-07-01,7.103575066995571,,,-10.117137203149307,BRA
2001-09-30,,,,,BRA
2001-10-01,9.716725294143647,,,-35.9467034458747,BRA
2001-12-31,,,,,BRA
2002-01-01,8.168589542388993,,,-48.82263136775293,BRA
2002-03-31,,8.450164377083325,-17.818443677525508,,BRA
2002-04-01,11.341631372427386,,,-21.380240058155643,BRA
2002-06-30,,,,,BRA
2002-07-01,10.097884807665626,,,-112.10886224124388,BRA
2002-09-30,,,,,BRA
2002-10-01,9.574280129907065,,,-88.54904646046118,BRA
2002-12-31,,,,,BRA
2003-01-01,13.68380973597214,,,-92.97502794481312,BRA
2003-03-31,,14.714919722814667,-7.546072100146617,,BRA
2003-04-01,12.821748298075786,,,-98.69325084385542,BRA
2003-06-30,,,,,BRA
2003-07-01,14.827627847482283,,,421.98687015362816,BRA
2003-09-30,,,,,BRA
2003-10-01,14.929187448843573,,,-58.632153367898155,BRA
2003-12-31,,,,,BRA
2004-01-01,9.468648909456668,,,-531.5246349025193,BRA
2004-03-31,,6.597185099859648,4.734819319065986,,BRA
2004-04-01,8.306714989441023,,,-2939.1005042556485,BRA
2004-06-30,,,,,BRA
2004-07-01,7.809406070222491,,,60.773672865389905,BRA
2004-09-30,,,,,BRA
2004-10-01,6.823855850894978,,,-526.2919982862153,BRA
2004-12-31,,,,,BRA
2005-01-01,6.301183511536568,,,94.25019161802508,BRA
2005-03-31,,6.869537208989662,20.49686433357745,,BRA
2005-04-01,6.922831885869396,,,-5.133297134747316,BRA
2005-06-30,,,,,BRA
2005-07-01,7.09940035362433,,,11.475386463355841,BRA
2005-09-30,,,,,BRA
2005-10-01,7.67277930896737,,,101.10349455019887,BRA
2005-12-31,,,,,BRA
2006-01-01,7.235902609741807,,,-56.02405993188471,BRA
2006-03-31,,4.1835681289690285,11.454058802481226,,BRA
2006-04-01,6.003275446314005,,,-76.7310492630709,BRA
2006-06-30,,,,,BRA
2006-07-01,6.526609053039811,,,33.50210898612551,BRA
2006-09-30,,,,,BRA
2006-10-01,7.249242612062878,,,4.611051566211377,BRA
2006-12-31,,,,,BRA
2007-01-01,8.293997097584427,,,-155.66005032174624,BRA
2007-03-31,,3.641272991026523,12.112426970877532,,BRA
2007-04-01,8.118946661818406,,,163.75864760341838,BRA
2007-06-30,,,,,BRA
2007-07-01,5.745643580808757,,,-100.95245544643834,BRA
2007-09-30,,,,,BRA
2007-10-01,4.330856824375906,,,-228.00061238379058,BRA
2007-12-31,,,,,BRA
2008-01-01,6.865293015252494,,,2215.16440060304,BRA
2008-03-31,,5.678593902841711,7.754180337850758,,BRA
2008-04-01,8.364416954324438,,,-771.535913645796,BRA
2008-06-30,,,,,BRA
2008-07-01,10.18754166794713,,,13358.940123462886,BRA
2008-09-30,,,,,BRA
2008-10-01,11.005246562367832,,,98.51355500538884,BRA
2008-12-31,,,,,BRA
2009-01-01,7.955262985140621,,,-47.248568665496094,BRA
2009-03-31,,4.888034798768026,-8.826111450082418,,BRA
2009-04-01,6.504215463921326,,,-62.65458769849522,BRA
2009-06-30,,,,,BRA
2009-07-01,6.26625335301132,,,-23.811223567946605,BRA
2009-09-30,,,,,BRA
2009-10-01,7.104611344803846,,,98.7297495764459,BRA
2009-12-31,,,,,BRA
2010-01-01,7.16105290451019,,,259.897721153408,BRA
2010-03-31,,5.03872690108067,12.308613640663712,,BRA
2010-04-01,8.131802624925854,,,539.2811530805765,BRA
2010-06-30,,,,,BRA
2010-07-01,9.471286397949697,,,263.6739269381643,BRA
2010-09-30,,,,,BRA
2010-10-01,8.843777334923853,,,52.850564000519086,BRA
2010-12-31,,,,,BRA
2011-01-01,8.861803037537586,,,-3.646689595460151,BRA
2011-03-31,,6.636449622130858,5.353484419586785,,BRA
2011-04-01,9.66371389170737,,,-1.8051115934678896,BRA
2011-06-30,,,,,BRA
2011-07-01,7.6391736485657,,,-13.902937714552088,BRA
2011-09-30,,,,,BRA
2011-10-01,6.795701648893404,,,6.769804822969805,BRA
2011-12-31,,,,,BRA
2012-01-01,10.520813448931833,,,10.88019537867384,BRA
2012-03-31,,5.403499140370083,-14.212562172595822,,BRA
2012-04-01,7.646555152657952,,,13.065017798247958,BRA
2012-06-30,,,,,BRA
2012-07-01,7.445419804609843,,,-7.332692390092821,BRA
2012-09-30,,,,,BRA
2012-10-01,7.581514999241468,,,26.28803431599991,BRA
2012-12-31,,,,,BRA
2013-01-01,5.29151249993145,,,11.643541720825024,BRA
2013-03-31,,6.204310666401014,-9.415254294853604,,BRA
2013-04-01,7.799072537437923,,,-12.513690182945858,BRA
2013-06-30,,,,,BRA
2013-07-01,7.5712305559105575,,,22.15392038575179,BRA
2013-09-30,,,,,BRA
2013-10-01,8.487809965218718,,,-31.737799068151972,BRA
2013-12-31,,,,,BRA
2014-01-01,8.195226831659985,,,13.822000224251084,BRA
2014-03-31,,6.329040155161381,-8.482222854123368,,BRA
2014-04-01,7.59880266508246,,,16.09427971173161,BRA
2014-06-30,,,,,BRA
2014-07-01,8.644057497141567,,,13.895526412023006,BRA
2014-09-30,,,,,BRA
2014-10-01,6.989959200982554,,,64.2938381645912,BRA
2014-12-31,,,,,BRA
2015-01-01,6.8051856641832,,,-12.165355947220746,BRA
2015-03-31,,9.029901024161301,-28.305242107436833,,BRA
2015-04-01,6.894438855906193,,,-33.6068620703193,BRA
2015-06-30,,,,,BRA
2015-07-01,7.775052524756876,,,-52.66120328721177,BRA
2015-09-30,,,,,BRA
2015-10-01,8.85478007920244,,,-71.34713940714124,BRA
2015-12-31,,,,,BRA
2016-01-01,9.591658760856436,,,-64.29452880765602,BRA
2016-03-31,,8.739143523293924,-5.71099664016359,,BRA
2016-04-01,9.139957603448678,,,-76.09588535761071,BRA
2016-06-30,,,,,BRA
2016-07-01,7.26360614852144,,,-38.733735293644045,BRA
2016-09-30,,,,,BRA
2016-10-01,7.308834661525876,,,8.168843200620014,BRA
2016-12-31,,,,,BRA
2017-01-01,4.961743824173603,,,-22.07239834000084,BRA
2017-03-31,,3.4463733503267147,8.79330543547361,,BRA
2017-04-01,3.3069656118634327,,,-96.09540005436733,BRA
2017-06-30,,,,,BRA
2017-07-01,2.437018977346561,,,-4.1938069860477984,BRA
2017-09-30,,,,,BRA
2017-10-01,2.758242424630719,,,5.85461964278815,BRA
2017-12-31,,,,,BRA
2018-01-01,3.794069303439729,,,122.56658764207717,BRA
2018-03-31,,3.664850283767218,-12.133126380223104,,BRA
