quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2000-01-01,,,,,IDN
2000-03-31,,,,,IDN
2000-04-01,,,,,IDN
2000-06-30,,,,,IDN
2000-07-01,,,,,IDN
2000-09-30,,,,,IDN
2000-10-01,,,,,IDN
2000-12-31,,,,,IDN
2001-01-01,18.5600207759556,,,1.5890970236997815,IDN
2001-03-31,,11.500116055088693,-18.107639628646087,,IDN
2001-04-01,23.173944650104694,,,-4.797861246823443,IDN
2001-06-30,,,,,IDN
2001-07-01,18.325248715206843,,,-20.626465518918902,IDN
2001-09-30,,,,,IDN
2001-10-01,14.230478735749074,,,-18.721839280978404,IDN
2001-12-31,,,,,IDN
2002-01-01,13.268705199491038,,,-12.843557194569966,IDN
2002-03-31,,11.900120033841377,9.883595015054446,,IDN
2002-04-01,8.0715339197728,,,-1.6078829420015484,IDN
2002-06-30,,,,,IDN
2002-07-01,10.43511496094196,,,16.361102072956847,IDN
2002-09-30,,,,,IDN
2002-10-01,11.044562144417291,,,14.436621151322338,IDN
2002-12-31,,,,,IDN
2003-01-01,13.750731891579449,,,22.987398266938964,IDN
2003-03-31,,6.757312563335582,8.308053752883415,,IDN
2003-04-01,10.31893701205866,,,-3.610938909873096,IDN
2003-06-30,,,,,IDN
2003-07-01,9.233739240172278,,,-1.8038917038592062,IDN
2003-09-30,,,,,IDN
2003-10-01,9.017613673115378,,,3.874473920042676,IDN
2003-12-31,,,,,IDN
2004-01-01,8.362121985784366,,,21.186842062381594,IDN
2004-03-31,,6.064061891336525,-3.980211133097722,,IDN
2004-04-01,13.339761579672494,,,31.468267871857126,IDN
2004-06-30,,,,,IDN
2004-07-01,15.226958539747027,,,21.109226432482675,IDN
2004-09-30,,,,,IDN
2004-10-01,18.925283814127525,,,34.115049279001155,IDN
2004-12-31,,,,,IDN
2005-01-01,18.07372697125864,,,16.582922765941245,IDN
2005-03-31,,10.453200187334755,-7.912623994826062,,IDN
2005-04-01,18.921286463202037,,,25.745244903854882,IDN
2005-06-30,,,,,IDN
2005-07-01,19.539410214710706,,,37.18567944248032,IDN
2005-09-30,,,,,IDN
2005-10-01,26.271689702568413,,,23.988635307813546,IDN
2005-12-31,,,,,IDN
2006-01-01,24.05142860085947,,,-3.6139933744076758,IDN
2006-03-31,,13.108670985345938,5.855440714302684,,IDN
2006-04-01,21.402459073064705,,,6.775693085664658,IDN
2006-06-30,,,,,IDN
2006-07-01,21.924713682156515,,,0.8994051244676671,IDN
2006-09-30,,,,,IDN
2006-10-01,15.024674091487089,,,5.183832794115428,IDN
2006-12-31,,,,,IDN
2007-01-01,17.68432609174564,,,20.77800470983313,IDN
2007-03-31,,6.406560879660006,0.20751356656647513,,IDN
2007-04-01,18.44606934418276,,,14.46435441013727,IDN
2007-06-30,,,,,IDN
2007-07-01,18.31846038203,,,14.521513226614502,IDN
2007-09-30,,,,,IDN
2007-10-01,18.7633388140916,,,15.041915869143917,IDN
2007-12-31,,,,,IDN
2008-01-01,24.22054200014856,,,31.59314106572042,IDN
2008-03-31,,10.22666632724829,-5.113529330905098,,IDN
2008-04-01,26.502252152847895,,,39.378435203275416,IDN
2008-06-30,,,,,IDN
2008-07-01,26.90940304574234,,,38.07406816959882,IDN
2008-09-30,,,,,IDN
2008-10-01,23.45917409581655,,,6.587266303882355,IDN
2008-12-31,,,,,IDN
2009-01-01,14.222941272815692,,,-31.281050750368223,IDN
2009-03-31,,4.38641311792074,-6.718675802086294,,IDN
2009-04-01,10.938803833796173,,,-31.081570519612967,IDN
2009-06-30,,,,,IDN
2009-07-01,8.47470176315943,,,-23.140619405491925,IDN
2009-09-30,,,,,IDN
2009-10-01,10.733654419524342,,,4.565202655310574,IDN
2009-12-31,,,,,IDN
2010-01-01,13.676918684503647,,,48.95956459274036,IDN
2010-03-31,,5.134206390158824,13.60107188836892,,IDN
2010-04-01,14.992850279006674,,,38.512599589137174,IDN
2010-06-30,,,,,IDN
2010-07-01,14.49950970179219,,,29.75104576663807,IDN
2010-09-30,,,,,IDN
2010-10-01,13.597092265931266,,,37.8487529868474,IDN
2010-12-31,,,,,IDN
2011-01-01,13.997063003602372,,,29.015688157141774,IDN
2011-03-31,,5.356048491125853,3.6800280762689708,,IDN
2011-04-01,13.121129813026734,,,38.721633147232446,IDN
2011-06-30,,,,,IDN
