quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2000-01-01,,,,,IND
2000-03-31,,,,,IND
2000-04-01,,,,,IND
2000-06-30,,,,,IND
2000-07-01,,,,,IND
2000-09-30,,,,,IND
2000-10-01,,,,,IND
2000-12-31,,,,,IND
2001-01-01,5.555856913443535,,,-1.069967540898964,IND
2001-03-31,,3.7792931223564086,-4.81645065642452,,IND
2001-04-01,7.708298946096881,,,0.9378716668577036,IND
2001-06-30,,,,,IND
2001-07-01,7.518969837642886,,,-0.22068378123183408,IND
2001-09-30,,,,,IND
2001-10-01,9.444238616875666,,,-5.728014865049147,IND
2001-12-31,,,,,IND
2002-01-01,8.896666863250857,,,-6.653666609999331,IND
2002-03-31,,4.2971520392956375,-2.939137375049128,,IND
2002-04-01,8.165893677396108,,,1.7587760380257222,IND
2002-06-30,,,,,IND
2002-07-01,8.432030401192293,,,8.1209216477937,IND
2002-09-30,,,,,IND
2002-10-01,5.893260069493356,,,18.676329411422564,IND
2002-12-31,,,,,IND
2003-01-01,8.366729636320414,,,30.706377402933448,IND
2003-03-31,,3.8058589952885136,4.38750846680418,,IND
2003-04-01,9.921998450641212,,,18.45502209996097,IND
2003-06-30,,,,,IND
2003-07-01,10.533328636447404,,,16.81814758864839,IND
2003-09-30,,,,,IND
2003-10-01,15.217854865429414,,,22.9369780133176,IND
2003-12-31,,,,,IND
2004-01-01,13.123793026456564,,,15.371628631473943,IND
2004-03-31,,3.7672517347751233,2.7833822261193797,,IND
2004-04-01,14.500761519619099,,,25.015876166231354,IND
2004-06-30,,,,,IND
2004-07-01,15.512392473360403,,,48.857342395016886,IND
2004-09-30,,,,,IND
2004-10-01,13.290338727012973,,,59.57549342389177,IND
2004-12-31,,,,,IND
2005-01-01,14.763815953243498,,,57.702844578784365,IND
2005-03-31,,4.2463436203192595,2.763580071098515,,IND
2005-04-01,13.8740247979934,,,55.786795985171445,IND
2005-06-30,,,,,IND
2005-07-01,12.77538086213863,,,29.816517307472612,IND
2005-09-30,,,,,IND
2005-10-01,13.929208804761494,,,22.233136766443053,IND
2005-12-31,,,,,IND
2006-01-01,15.016075571325826,,,21.367025012200802,IND
2006-03-31,,5.796523375616358,-2.6651983668606882,,IND
2006-04-01,14.42966465772091,,,23.586261746340732,IND
2006-06-30,,,,,IND
2006-07-01,17.265826824166332,,,29.704633457371532,IND
2006-09-30,,,,,IND
2006-10-01,16.64666279893856,,,19.51994897250642,IND
2006-12-31,,,,,IND
2007-01-01,16.69071176967074,,,21.812118101771883,IND
2007-03-31,,6.372881355932303,9.739132194154054,,IND
2007-04-01,16.927655159574595,,,20.119195585902606,IND
2007-06-30,,,,,IND
2007-07-01,14.636457016440207,,,21.68503619998814,IND
2007-09-30,,,,,IND
2007-10-01,17.15262262929651,,,33.381374419415955,IND
2007-12-31,,,,,IND
2008-01-01,15.799352641556542,,,45.746403477493125,IND
2008-03-31,,8.349267049075792,-4.545442681645262,,IND
2008-04-01,16.544679601925406,,,42.0558463727231,IND
2008-06-30,,,,,IND
2008-07-01,17.41135956922473,,,46.35687437969889,IND
2008-09-30,,,,,IND
2008-10-01,12.940372189319804,,,9.593544289364807,IND
2008-12-31,,,,,IND
2009-01-01,5.415954356955255,,,-20.415863933712806,IND
2009-03-31,,10.882352941176476,-10.604917429447436,,IND
2009-04-01,8.493897553315776,,,-18.767638738758052,IND
2009-06-30,,,,,IND
2009-07-01,10.87812700243651,,,-17.571310301757105,IND
2009-09-30,,,,,IND
2009-10-01,15.19352362683819,,,6.392487077588482,IND
2009-12-31,,,,,IND
2010-01-01,25.69659975294114,,,41.292877089160825,IND
2010-03-31,,11.98938992042442,5.810838218764469,,IND
2010-04-01,22.148177633102417,,,37.15344565793743,IND
2010-06-30,,,,,IND
2010-07-01,20.483298709846153,,,25.907089354849578,IND
2010-09-30,,,,,IND
2010-10-01,19.752792224765535,,,29.463761892487227,IND
2010-12-31,,,,,IND
2011-01-01,18.580252139649488,,,24.965640124689426,IND
2011-03-31,,8.911793364833652,-1.7496562871430865,,IND
2011-04-01,17.283483894444295,,,31.842006450238625,IND
2011-06-30,,,,,IND
2011-07-01,14.645514010287153,,,28.359557366303534,IND
2011-09-30,,,,,IND
2011-10-01,12.837452512179981,,,14.608183391022123,IND
2011-12-31,,,,,IND
2012-01-01,12.492377840928338,,,17.248630767456262,IND
2012-03-31,,9.478996914198001,-12.784987632485246,,IND
2012-04-01,13.424866714375238,,,-1.2110785952748615,IND
2012-06-30,,,,,IND
2012-07-01,14.318357441914497,,,-1.957363298867687,IND
2012-09-30,,,,,IND
2012-10-01,13.658721154825226,,,9.01614351125739,IND
2012-12-31,,,,,IND
2013-01-01,13.88513823398807,,,0.06719817662783623,IND
2013-03-31,,10.017878474610287,-8.570361875482458,,IND
2013-04-01,12.291440048433877,,,4.545208182154226,IND
2013-06-30,,,,,IND
2013-07-01,12.601653586655438,,,-2.333279672541544,IND
2013-09-30,,,,,IND
2013-10-01,13.969661102388242,,,-11.834959063055994,IND
2013-12-31,,,,,IND
2014-01-01,12.961513043419393,,,-8.836936162013053,IND
2014-03-31,,6.665656718679003,-4.368470872288932,,IND
2014-04-01,12.701491976862922,,,-3.365085920916311,IND
2014-06-30,,,,,IND
2014-07-01,12.132799617050072,,,6.953461194046628,IND
2014-09-30,,,,,IND
2014-10-01,10.022655832011473,,,4.656837160698846,IND
2014-12-31,,,,,IND
2015-01-01,9.30338268071511,,,-7.209559336173365,IND
2015-03-31,,4.906973441272533,-4.837064961313143,,IND
2015-04-01,10.0526768485659,,,-9.904017587844738,IND
2015-06-30,,,,,IND
2015-07-01,9.603319728671188,,,-11.623661766086457,IND
2015-09-30,,,,,IND
2015-10-01,10.430387713347677,,,-12.80625777950457,IND
2015-12-31,,,,,IND
2016-01-01,11.687418437870821,,,-7.382232707485259,IND
2016-03-31,,4.948216340621414,-4.580436813072398,,IND
2016-04-01,11.905440861467298,,,-5.750339280680638,IND
2016-06-30,,,,,IND
2016-07-01,12.051689742615256,,,-3.4705033930686247,IND
2016-09-30,,,,,IND
2016-10-01,11.666919909525685,,,6.533811873624362,IND
2016-12-31,,,,,IND
2017-01-01,11.446906181302596,,,13.560802554507468,IND
2017-03-31,,3.328173374612997,3.213605028415034,,IND
2017-04-01,9.98477321171849,,,23.57411964484719,IND
2017-06-30,,,,,IND
2017-07-01,10.711291713716275,,,16.257123882247228,IND
2017-09-30,,,,,IND
2017-10-01,11.027489624140397,,,18.67211759118952,IND
2017-12-31,,,,,IND
2018-01-01,12.319455080041974,,,19.592458807418577,IND
2018-03-31,,3.9388264669163453,-4.607085536583311,,IND
2018-04-01,12.57642151192815,,,10.728486081644073,IND
2018-06-30,,,,,IND
2018-07-01,11.916646243257457,,,17.4586675804554,IND
2018-09-30,,,,,IND
2018-10-01,11.212419102193326,,,10.105466225846271,IND
2018-12-31,,,,,IND
2019-01-01,6.944915189849987,,,0.030300867466248604,IND
2019-03-31,,3.729505735391281,-3.0745028366099714,,IND
2019-04-01,7.597975270751145,,,2.403988297743598,IND
2019-06-30,,,,,IND
2019-07-01,5.581747404481363,,,-5.556647594929453,IND
2019-09-30,,,,,IND
2019-10-01,5.443144760493057,,,-8.379860235707891,IND
2019-12-31,,,,,IND
2020-01-01,6.89681750978397,,,-7.804747089427688,IND
2020-03-31,,6.623436776285319,-4.942659119319471,,IND
2020-04-01,-21.557697645719788,,,-41.172884207945025,IND
2020-06-30,,,,,IND
2020-07-01,-2.02455889105696,,,-19.85680130163385,IND
2020-09-30,,,,,IND
2020-10-01,7.261797176530371,,,-3.7552722339427747,IND
2020-12-31,,,,,IND
2021-01-01,10.650009698925889,,,15.968793694428607,IND
2021-03-31,,5.131407471763683,0.21729547256237325,,IND
2021-04-01,33.72756564586725,,,67.94422163147664,IND
2021-06-30,,,,,IND
2021-07-01,19.069494000452835,,,50.51850529124287,IND
2021-09-30,,,,,IND
2021-10-01,14.838005698538105,,,43.05829207797722,IND
2021-12-31,,,,,IND
2022-01-01,12.379232137927755,,,27.9349441877385,IND
2022-03-31,,6.69903414079851,-5.862685211994966,,IND
2022-04-01,25.350376759861337,,,43.47162731697316,IND
2022-06-30,,,,,IND
2022-07-01,14.380627279067081,,,25.5836939785111,IND
2022-09-30,,,,,IND
2022-10-01,8.883001783613587,,,7.250604801234672,IND
2022-12-31,,,,,IND
2023-01-01,9.288390192083252,,,2.9979457452521174,IND
2023-03-31,,5.649143189079298,-4.9452571971226655,,IND
2023-04-01,11.427078760233078,,,-7.461377824134685,IND
2023-06-30,,,,,IND
2023-07-01,12.415038324313986,,,-5.247908840791671,IND
2023-09-30,,,,,IND
2023-10-01,12.413629482443266,,,0.8125145544468415,IND
2023-12-31,,,,,IND
2024-01-01,11.8164143095407,,,3.9853805440915435,IND
2024-03-31,,4.953035509736536,-1.2778462977001581,,IND
2024-04-01,10.540019941210122,,,8.619673104884939,IND
2024-07-01,9.365894779154726,,,9.76147171320665,IND
2024-10-01,9.608719341488303,,,10.814723548332616,IND
