quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2000-01-01,,,,,PER
2000-03-31,,,,,PER
2000-04-01,,,,,PER
2000-06-30,,,,,PER
2000-07-01,,,,,PER
2000-09-30,,,,,PER
2000-10-01,,,,,PER
2000-12-31,,,,,PER
2001-01-01,,,,44.5016743070437,PER
2001-03-31,,1.9765693453546396,-0.46733590462775254,,PER
2001-04-01,,,,-42.665508100017334,PER
2001-06-30,,,,,PER
2001-07-01,,,,52.01328901506661,PER
2001-09-30,,,,,PER
2001-10-01,,,,-66.47386034038767,PER
2001-12-31,,,,,PER
2002-01-01,,,,-38.20924269740639,PER
2002-03-31,,0.19313500385444993,-0.26011318984006104,,PER
2002-04-01,,,,-2.3213332129358277,PER
2002-06-30,,,,,PER
2002-07-01,,,,8.409761059958075,PER
2002-09-30,,,,,PER
2002-10-01,,,,61.2177439147561,PER
2002-12-31,,,,,PER
2003-01-01,,,,47.206020844006446,PER
2003-03-31,,2.259377533630036,1.061496543272522,,PER
2003-04-01,,,,-51.35401249868219,PER
2003-06-30,,,,,PER
2003-07-01,,,,1.97912993572662,PER
2003-09-30,,,,,PER
2003-10-01,,,,-61.814159939464645,PER
2003-12-31,,,,,PER
2004-01-01,,,,-82.8320350835862,PER
2004-03-31,,3.6624732009223004,1.9600121860107178,,PER
2004-04-01,,,,23.3453318598658,PER
2004-06-30,,,,,PER
2004-07-01,,,,-206.28115183906465,PER
2004-09-30,,,,,PER
2004-10-01,,,,-161.25049929671812,PER
2004-12-31,,,,,PER
2005-01-01,,,,-272.4615684238666,PER
2005-03-31,,1.6163019386258082,3.544624818839126,,PER
2005-04-01,,,,-166.38855890036407,PER
2005-06-30,,,,,PER
2005-07-01,,,,85.58391078595314,PER
2005-09-30,,,,,PER
2005-10-01,,,,632.9899431559955,PER
2005-12-31,,,,,PER
2006-01-01,,,,-225.32326279273613,PER
2006-03-31,,2.0022580124881673,0.6605978400736179,,PER
2006-04-01,,,,316.3427357717489,PER
2006-06-30,,,,,PER
2006-07-01,,,,241.04010641860557,PER
2006-09-30,,,,,PER
2006-10-01,,,,152.47543794354104,PER
2006-12-31,,,,,PER
2007-01-01,,,,-101.28445899008538,PER
2007-03-31,,1.7799864468037052,4.70374223375325,,PER
2007-04-01,,,,-42.60259672589412,PER
2007-06-30,,,,,PER
2007-07-01,,,,-66.65255690819309,PER
2007-09-30,,,,,PER
2007-10-01,,,,-40.71977781356135,PER
2007-12-31,,,,,PER
2008-01-01,29.618409554325666,,,-40493.31256327429,PER
2008-03-31,,5.785875982067568,7.060493952935132,,PER
2008-04-01,41.23391034176653,,,-769.4181058246246,PER
2008-06-30,,,,,PER
2008-07-01,33.5402836811691,,,-424.1679317526133,PER
2008-09-30,,,,,PER
2008-10-01,21.0894978465616,,,-245.70610570118467,PER
2008-12-31,,,,,PER
2009-01-01,-11.861207245269444,,,-34.40834503548448,PER
2009-03-31,,2.9362315359673374,-2.890520137609398,,PER
2009-04-01,-28.531583909490887,,,-88.77319532102227,PER
2009-06-30,,,,,PER
2009-07-01,-29.63664973893141,,,-95.90461156967766,PER
2009-09-30,,,,,PER
2009-10-01,-16.404143052569864,,,-116.1507207770111,PER
2009-12-31,,,,,PER
2010-01-01,12.065272819989792,,,48.83170120806493,PER
2010-03-31,,1.5283205973284364,6.44037822106327,,PER
2010-04-01,25.735172868685762,,,212.75729826200265,PER
2010-06-30,,,,,PER
2010-07-01,35.466327827191854,,,1987.2078130032908,PER
2010-09-30,,,,,PER
2010-10-01,30.37684682999813,,,-529.7914774024493,PER
2010-12-31,,,,,PER
2011-01-01,24.035311248634873,,,41.466445110698615,PER
2011-03-31,,3.3693109533385224,2.5869989665249005,,PER
