quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2000-01-01,,,,,PHL
2000-03-31,,,,,PHL
2000-04-01,,,,,PHL
2000-06-30,,,,,PHL
2000-07-01,,,,,PHL
2000-09-30,,,,,PHL
2000-10-01,,,,,PHL
2000-12-31,,,,,PHL
2001-01-01,23.795216129218023,,,1.608487337440101,PHL
2001-03-31,,5.402761169692383,-12.913232884833937,,PHL
2001-04-01,30.063418154797738,,,-3.4656796769852005,PHL
2001-06-30,,,,,PHL
2001-07-01,13.363352378005832,,,-6.092347156904665,PHL
2001-09-30,,,,,PHL
2001-10-01,-5.852884573533068,,,-9.05047579644187,PHL
2001-12-31,,,,,PHL
2002-01-01,-4.031633436657844,,,4.99607050634332,PHL
2002-03-31,,2.722772277227725,-1.2192399967786205,,PHL
2002-04-01,3.3541673479365874,,,8.760311374462649,PHL
2002-06-30,,,,,PHL
2002-07-01,12.771677941741988,,,11.188254040518997,PHL
2002-09-30,,,,,PHL
2002-10-01,21.518562737862123,,,11.634254520641418,PHL
2002-12-31,,,,,PHL
2003-01-01,27.872552429741493,,,7.4957228400342135,PHL
2003-03-31,,2.269076305220863,-4.8738156849310155,,PHL
2003-04-01,9.783170285585374,,,2.5745112701634376,PHL
2003-06-30,,,,,PHL
2003-07-01,4.511954762790271,,,7.022213123144638,PHL
2003-09-30,,,,,PHL
2003-10-01,8.596489217820924,,,12.61206193969031,PHL
2003-12-31,,,,,PHL
2004-01-01,7.6393871904893995,,,8.425345667959805,PHL
2004-03-31,,4.790889456116254,-3.3291475204305865,,PHL
2004-04-01,15.409483137374114,,,19.787544261612155,PHL
2004-06-30,,,,,PHL
2004-07-01,14.411996325398114,,,6.217120994739367,PHL
2004-09-30,,,,,PHL
2004-10-01,14.211329065703925,,,10.367287859598328,PHL
2004-12-31,,,,,PHL
2005-01-01,3.5846249449297485,,,5.772494657409166,PHL
2005-03-31,,6.595465617388041,2.194836560929314,,PHL
2005-04-01,6.56554765973083,,,4.625360906577991,PHL
2005-06-30,,,,,PHL
2005-07-01,6.718403947472118,,,18.83341931427285,PHL
2005-09-30,,,,,PHL
2005-10-01,1.516126676634677,,,11.229539563473768,PHL
2005-12-31,,,,,PHL
2006-01-01,5.313394340723621,,,23.38773602599835,PHL
2006-03-31,,5.466690103708904,7.231510716822709,,PHL
2006-04-01,6.137701400434037,,,27.163708635432073,PHL
2006-06-30,,,,,PHL
2006-07-01,1.1230717644756139,,,18.87115385946514,PHL
2006-09-30,,,,,PHL
2006-10-01,-0.7422626033829371,,,18.949097488071388,PHL
2006-12-31,,,,,PHL
2007-01-01,-1.757830339209343,,,11.173185814854204,PHL
2007-03-31,,2.941666666666687,11.851706787483018,,PHL
2007-04-01,-5.435704444280443,,,7.607655060731755,PHL
2007-06-30,,,,,PHL
2007-07-01,-0.6986221422864425,,,9.7480300230967,PHL
2007-09-30,,,,,PHL
2007-10-01,3.4859786419213057,,,16.6645054623936,PHL
2007-12-31,,,,,PHL
2008-01-01,3.7372156946907875,,,12.616965573195094,PHL
2008-03-31,,8.184246741682166,3.3153521644842865,,PHL
2008-04-01,10.692607428678503,,,14.708377888842206,PHL
2008-06-30,,,,,PHL
2008-07-01,17.899048243049442,,,5.3615903396664555,PHL
2008-09-30,,,,,PHL
2008-10-01,-1.4113590576802948,,,-15.374344126371176,PHL
2008-12-31,,,,,PHL
2009-01-01,-7.845974849352999,,,-11.784525783405986,PHL
2009-03-31,,4.212810535767719,-7.059785849226197,,PHL
2009-04-01,-7.227562562742862,,,-13.68189283631882,PHL
2009-06-30,,,,,PHL
2009-07-01,-14.68192686622637,,,-6.5854168937307005,PHL
2009-09-30,,,,,PHL
2009-10-01,3.612366786488219,,,10.704535937486526,PHL
2009-12-31,,,,,PHL
2010-01-01,30.940741354972555,,,21.02428066105697,PHL
2010-03-31,,3.784016658289646,5.719954283471673,,PHL
2010-04-01,20.278190208539982,,,17.088334744174794,PHL
2010-06-30,,,,,PHL
2010-07-01,16.35755800994938,,,21.793198658770873,PHL
2010-09-30,,,,,PHL
2010-10-01,19.108208349881075,,,16.02111932099448,PHL
2010-12-31,,,,,PHL
2011-01-01,12.8253602150175,,,7.56186432953847,PHL
2011-03-31,,4.718417047184165,4.125736203002495,,PHL
2011-04-01,-1.368562737510337,,,10.067675438889644,PHL
2011-06-30,,,,,PHL
2011-07-01,3.009661466177316,,,4.258502314218404,PHL
2011-09-30,,,,,PHL
2011-10-01,-2.3467393228046696,,,1.8847377388738984,PHL
2011-12-31,,,,,PHL
2012-01-01,-1.5816129807342816,,,7.903869535394525,PHL
2012-03-31,,3.0269639112479485,2.7576054862402,,PHL
2012-04-01,7.651039287443195,,,13.959053456672743,PHL
2012-06-30,,,,,PHL
2012-07-01,5.8326506103179465,,,13.499108093524924,PHL
2012-09-30,,,,,PHL
2012-10-01,6.746792691386294,,,18.448679462605668,PHL
2012-12-31,,,,,PHL
2013-01-01,-2.2864180305764092,,,5.7061352090012285,PHL
2013-03-31,,2.5826876614179595,-0.9886754138632492,,PHL
2013-04-01,2.7098476922695625,,,2.8212857202060793,PHL
2013-06-30,,,,,PHL
2013-07-01,15.56521298647926,,,-0.17768090463867736,PHL
2013-09-30,,,,,PHL
2013-10-01,9.46064769406565,,,3.468005817865394,PHL
2013-12-31,,,,,PHL
2014-01-01,22.558283932490507,,,7.475909269848269,PHL
2014-03-31,,3.597823438642078,-4.129700198821251,,PHL
2014-04-01,6.977756651920131,,,8.605558087399846,PHL
2014-06-30,,,,,PHL
2014-07-01,10.847557437983468,,,15.438994589591504,PHL
2014-09-30,,,,,PHL
2014-10-01,5.718376080166343,,,7.960166463086837,PHL
2014-12-31,,,,,PHL
2015-01-01,8.086953651845995,,,2.872464504024852,PHL
2015-03-31,,0.6741925368453972,-2.5187797205941664,,PHL
2015-04-01,8.855396578162278,,,0.45577745380407375,PHL
2015-06-30,,,,,PHL
2015-07-01,12.556271291648201,,,-4.914289481537281,PHL
2015-09-30,,,,,PHL
2015-10-01,18.25376598781485,,,-4.185731525554504,PHL
2015-12-31,,,,,PHL
2016-01-01,18.099395916610426,,,1.9465535950509594,PHL
2016-03-31,,1.2536988008098326,-4.2796052199812635,,PHL
2016-04-01,28.569955669364223,,,0.6376101831703229,PHL
2016-06-30,,,,,PHL
2016-07-01,13.597095452359763,,,5.665765943036827,PHL
