quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2000-01-01,,,,,THA
2000-03-31,,,,,THA
2000-04-01,,,,,THA
2000-06-30,,,,,THA
2000-07-01,,,,,THA
2000-09-30,,,,,THA
2000-10-01,,,,,THA
2000-12-31,,,,,THA
2001-01-01,26.066350710900466,,,-66.79781585227065,THA
2001-03-31,,1.626908873141053,-6.664134215177231,,THA
2001-04-01,18.82530120481927,,,-55.86447823097809,THA
2001-06-30,,,,,THA
2001-07-01,-1.5810276679841917,,,-36.586486638868166,THA
2001-09-30,,,,,THA
2001-10-01,-10.460772104607718,,,-13.054434481013965,THA
2001-12-31,,,,,THA
2002-01-01,-6.641604010025059,,,17.029282518318944,THA
2002-03-31,,0.6973089766254104,1.6988489162269582,,THA
2002-04-01,-1.7743979721166037,,,-79.98750838937192,THA
2002-06-30,,,,,THA
2002-07-01,6.157965194109782,,,-18.12139312505928,THA
2002-09-30,,,,,THA
2002-10-01,14.464534075104307,,,10.85686993652033,THA
2002-12-31,,,,,THA
2003-01-01,15.798657718120811,,,28.62140490070253,THA
2003-03-31,,1.8043499463571422,-4.252921777314766,,THA
2003-04-01,7.238709677419353,,,211.54207311205747,THA
2003-06-30,,,,,THA
2003-07-01,9.066834804539713,,,-8.868094713986974,THA
2003-09-30,,,,,THA
2003-10-01,12.831105710814095,,,-21.98034614668526,THA
2003-12-31,,,,,THA
2004-01-01,16.344036165526845,,,-32.14398152971957,THA
2004-03-31,,2.7591492623107783,-2.4666642068281064,,THA
2004-04-01,26.62736132836001,,,-191.3154210670537,THA
2004-06-30,,,,,THA
2004-07-01,26.708289975719744,,,-74.17677940176988,THA
2004-09-30,,,,,THA
2004-10-01,20.3639888003446,,,9.49777241338814,THA
2004-12-31,,,,,THA
2005-01-01,22.536614526252862,,,-311.17547864330555,THA
2005-03-31,,4.5403691963453285,0.2754738468197848,,THA
2005-04-01,30.055112124667428,,,1189.7367026447498,THA
2005-06-30,,,,,THA
2005-07-01,21.334063326945895,,,-28.187693963952565,THA
2005-09-30,,,,,THA
2005-10-01,20.89111568399391,,,-102.17896426197987,THA
2005-12-31,,,,,THA
2006-01-01,11.17163997072932,,,-131.88885829857057,THA
2006-03-31,,4.637474360117744,6.593461759342145,,THA
2006-04-01,0.35800394534959423,,,-58.141817304664876,THA
2006-06-30,,,,,THA
2006-07-01,3.6474392720162507,,,555.6483586194405,THA
2006-09-30,,,,,THA
2006-10-01,1.3765541740675014,,,-6719.362244915126,THA
2006-12-31,,,,,THA
2007-01-01,-2.150223067359025,,,488.1083306767998,THA
2007-03-31,,2.241540952867993,5.462678313203173,,THA
2007-04-01,-0.982818870122304,,,-141.26859138757646,THA
2007-06-30,,,,,THA
2007-07-01,-2.038891307502544,,,188.23984713256493,THA
2007-09-30,,,,,THA
2007-10-01,8.409986859395534,,,156.0056883215878,THA
2007-12-31,,,,,THA
2008-01-01,21.06285970550863,,,-21.961041160864102,THA
2008-03-31,,5.468489496498807,0.4218277401232262,,THA
2008-04-01,20.807293581354315,,,-90.46827198787598,THA
2008-06-30,,,,,THA
2008-07-01,35.56032886452856,,,-128.47936089689333,THA
2008-09-30,,,,,THA
2008-10-01,7.939393939393935,,,-124.02266510708566,THA
2008-12-31,,,,,THA
2009-01-01,-29.320244489720316,,,190.94990240652118,THA
2009-03-31,,-0.8722847643180653,-0.4194268854847749,,THA
2009-04-01,-24.23467835189581,,,3458.763654860008,THA
2009-06-30,,,,,THA
2009-07-01,-25.69118129166211,,,-500.2965376484759,THA
2009-09-30,,,,,THA
2009-10-01,-3.6122028822758723,,,-405.6739738765875,THA
2009-12-31,,,,,THA
2010-01-01,43.46610761705101,,,-54.94251321237854,THA
2010-03-31,,3.2797284016796935,9.386561901825896,,THA
2010-04-01,31.41617800626557,,,-78.47435091455033,THA
2010-06-30,,,,,THA
2010-07-01,20.41176470588235,,,-66.87574258038725,THA
2010-09-30,,,,,THA
2010-10-01,7.475728155339811,,,0.8899116595935563,THA
2010-12-31,,,,,THA
2011-01-01,15.337311251826602,,,-10.425387720920675,THA
2011-03-31,,3.808790581396315,0.3204842807072783,,THA
2011-04-01,17.328850855745713,,,-160.75000838654842,THA
2011-06-30,,,,,THA
2011-07-01,24.804592085979472,,,-196.81044416276632,THA
2011-09-30,,,,,THA
2011-10-01,16.073471845829566,,,44.11603076116921,THA
2011-12-31,,,,,THA
2012-01-01,10.343096466418732,,,-100.81347797890086,THA
2012-03-31,,3.014899503349877,1.1081508937916151,,THA
2012-04-01,13.5656811335926,,,749.9416442597644,THA
2012-06-30,,,,,THA
2012-07-01,1.8340744744730353,,,-128.6968181034085,THA
2012-09-30,,,,,THA
2012-10-01,11.043021526167895,,,-124.03114455948581,THA
2012-12-31,,,,,THA
2013-01-01,3.755101188443266,,,12260.9225027041,THA
2013-03-31,,2.1848861853068335,2.0797760966259515,,THA
2013-04-01,-2.893347252464651,,,95.33123157665244,THA
2013-06-30,,,,,THA
2013-07-01,-1.3111684780647836,,,-192.75263953006973,THA
2013-09-30,,,,,THA
2013-10-01,-2.513932061913282,,,-246.86520753618595,THA
2013-12-31,,,,,THA
2014-01-01,-3.9658053933627313,,,-240.29709887397706,THA
2014-03-31,,1.8951418189878666,-5.476581598569508,,THA
2014-04-01,-2.5001734760427996,,,-88.51051059847266,THA
2014-06-30,,,,,THA
2014-07-01,1.8848848089823456,,,70.96362638670206,THA
2014-09-30,,,,,THA
2014-10-01,-3.164313488497539,,,191.9246180295444,THA
2014-12-31,,,,,THA
2015-01-01,-5.906712568816186,,,55.68615894875442,THA
2015-03-31,,-0.9004249632915795,3.1332277668413733,,THA
2015-04-01,-5.542810528740738,,,-545.2648189085528,THA
2015-06-30,,,,,THA
2015-07-01,-4.509447302504288,,,-970.6937173394873,THA
2015-09-30,,,,,THA
2015-10-01,-3.6892621754811783,,,38.60860387425839,THA
2015-12-31,,,,,THA
2016-01-01,-3.841547992686334,,,74.35402245332838,THA
2016-03-31,,0.1881497044481817,-2.47935938515621,,THA
2016-04-01,-0.9832350076441787,,,124.19499193617457,THA
2016-06-30,,,,,THA
2016-07-01,-2.5916158964609304,,,102.8074909399121,THA
2016-09-30,,,,,THA
2016-10-01,4.715575701949293,,,-6.460323648355814,THA
2016-12-31,,,,,THA
2017-01-01,11.06089008170521,,,-11.624733121195685,THA
2017-03-31,,0.665631893135088,4.277693983633002,,THA
2017-04-01,7.725151044940848,,,-18.30847017756856,THA
2017-06-30,,,,,THA
2017-07-01,6.126229697907637,,,26.46528202471319,THA
2017-09-30,,,,,THA
