quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2000-01-01,,,,,ZAF
2000-03-31,,,,,ZAF
2000-04-01,,,,,ZAF
2000-06-30,,,,,ZAF
2000-07-01,,,,,ZAF
2000-09-30,,,,,ZAF
2000-10-01,,,,,ZAF
2000-12-31,,,,,ZAF
2001-01-01,10.452596160284756,,,-1.9308679002482676,ZAF
2001-03-31,,5.701894830496079,-18.732715590455406,,ZAF
2001-04-01,8.185547407322801,,,10.706830444876946,ZAF
2001-06-30,,,,,ZAF
2001-07-01,6.000204706731682,,,-3.783951545667197,ZAF
2001-09-30,,,,,ZAF
2001-10-01,6.8654188112942105,,,-15.205287158188307,ZAF
2001-12-31,,,,,ZAF
2002-01-01,11.2131695272776,,,-12.483462176743053,ZAF
2002-03-31,,9.494713780995955,-18.96426633800369,,ZAF
2002-04-01,12.769747979616985,,,-6.574345040667906,ZAF
2002-06-30,,,,,ZAF
2002-07-01,13.307514153737499,,,4.508136533912577,ZAF
2002-09-30,,,,,ZAF
2002-10-01,12.740450209864562,,,24.885650971611682,ZAF
2002-12-31,,,,,ZAF
2003-01-01,8.153536215366364,,,35.785384466087855,ZAF
2003-03-31,,5.67942414068805,39.55233663777471,,ZAF
2003-04-01,6.715346542552525,,,22.799536320207082,ZAF
2003-06-30,,,,,ZAF
2003-07-01,5.667821626628733,,,28.494588523134933,ZAF
2003-09-30,,,,,ZAF
2003-10-01,5.242987450873193,,,28.89215217376282,ZAF
2003-12-31,,,,,ZAF
2004-01-01,6.106958552697672,,,17.073814621697547,ZAF
2004-03-31,,-0.6920394378577277,16.669145088225214,,ZAF
2004-04-01,6.116143638578264,,,24.47459117404931,ZAF
2004-06-30,,,,,ZAF
2004-07-01,5.798819364785057,,,24.869667687105213,ZAF
2004-09-30,,,,,ZAF
2004-10-01,6.095309824911355,,,24.63069698994953,ZAF
2004-12-31,,,,,ZAF
2005-01-01,5.193508182252793,,,27.98914968131956,ZAF
2005-03-31,,2.062853082234306,1.482569451604876,,ZAF
2005-04-01,4.837549418686016,,,21.3511638046443,ZAF
2005-06-30,,,,,ZAF
2005-07-01,5.792333392091487,,,18.957242332472426,ZAF
2005-09-30,,,,,ZAF
2005-10-01,6.1540150870390775,,,7.869221878353172,ZAF
2005-12-31,,,,,ZAF
2006-01-01,4.617375005644431,,,12.081586010261525,ZAF
2006-03-31,,3.243907654192202,-5.639308889334993,,ZAF
2006-04-01,6.43198979474735,,,18.020557627846422,ZAF
2006-06-30,,,,,ZAF
2006-07-01,7.368429061738158,,,17.718230511853438,ZAF
2006-09-30,,,,,ZAF
2006-10-01,6.131212612244252,,,19.997483265348116,ZAF
2006-12-31,,,,,ZAF
2007-01-01,10.18087969044763,,,19.547090307967217,ZAF
2007-03-31,,6.177812148093875,-4.45401132633857,,ZAF
2007-04-01,8.181829312693868,,,11.763534556782695,ZAF
2007-06-30,,,,,ZAF
2007-07-01,6.724513481005556,,,13.283252131117095,ZAF
2007-09-30,,,,,ZAF
2007-10-01,8.061704712677864,,,26.66288655867779,ZAF
2007-12-31,,,,,ZAF
2008-01-01,7.683795735998622,,,11.153100873916744,ZAF
2008-03-31,,9.909984560054719,-13.634039763029804,,ZAF
2008-04-01,7.511118848308018,,,21.16853855422938,ZAF
2008-06-30,,,,,ZAF
2008-07-01,9.043416984201723,,,24.43184198501949,ZAF
2008-09-30,,,,,ZAF
2008-10-01,7.235943909265652,,,-17.469395135064104,ZAF
2008-12-31,,,,,ZAF
2009-01-01,8.238971205022217,,,-26.256511909598544,ZAF
2009-03-31,,7.2380952380952435,-2.430419988515098,,ZAF
2009-04-01,9.243316066184338,,,-30.166402612442045,ZAF
2009-06-30,,,,,ZAF
2009-07-01,8.781650669164431,,,-25.09411779684396,ZAF
2009-09-30,,,,,ZAF
2009-10-01,8.401600841660217,,,8.868237313723547,ZAF
2009-12-31,,,,,ZAF
2010-01-01,6.1729642336482815,,,32.15059410105117,ZAF
2010-03-31,,4.067495559502654,14.283289809685451,,ZAF
2010-04-01,7.382502878031305,,,31.592703471161563,ZAF
2010-06-30,,,,,ZAF
2010-07-01,4.948010788451573,,,26.580726542610588,ZAF
2010-09-30,,,,,ZAF
2010-10-01,5.998220815722788,,,25.14925829392989,ZAF
2010-12-31,,,,,ZAF
2011-01-01,5.202873072087244,,,24.097938665639408,ZAF
2011-03-31,,5.000853387950155,1.182060540448182,,ZAF
2011-04-01,4.228191928571734,,,26.05391122715548,ZAF
2011-06-30,,,,,ZAF
2011-07-01,6.356763251091269,,,20.79448713194143,ZAF
2011-09-30,,,,,ZAF
2011-10-01,6.356642524699785,,,1.9849491401129349,ZAF
2011-12-31,,,,,ZAF
2012-01-01,5.774295290018383,,,2.8374389280495294,ZAF
2012-03-31,,5.737971391417429,-11.82364041527686,,ZAF
2012-04-01,5.188050638578634,,,-7.950216911310603,ZAF
2012-06-30,,,,,ZAF
2012-07-01,4.024905060304351,,,-11.879925714111927,ZAF
2012-09-30,,,,,ZAF
2012-10-01,3.8299394653432905,,,-6.397340769638404,ZAF
2012-12-31,,,,,ZAF
2013-01-01,5.365461108769698,,,-4.938574796790396,ZAF
2013-03-31,,5.780169100691812,-14.879804568091204,,ZAF
2013-04-01,5.5418541580011915,,,-1.9908344089654806,ZAF
2013-06-30,,,,,ZAF
2013-07-01,6.012346206301156,,,-0.8832107894057195,ZAF
2013-09-30,,,,,ZAF
2013-10-01,6.42803920923769,,,-0.5347056842720632,ZAF
2013-12-31,,,,,ZAF
2014-01-01,6.106696381814758,,,-3.0180214457973142,ZAF
2014-03-31,,6.132829530591444,-11.247203340367628,,ZAF
2014-04-01,5.270517329749214,,,-4.824394379004115,ZAF
2014-06-30,,,,,ZAF
2014-07-01,5.47283600342936,,,0.2785782675438053,ZAF
2014-09-30,,,,,ZAF
2014-10-01,4.6577133556442885,,,-1.0683343460866745,ZAF
2014-12-31,,,,,ZAF
2015-01-01,4.296549717997422,,,-3.186716496862829,ZAF
2015-03-31,,4.518690948925119,-14.459275351588264,,ZAF
2015-04-01,6.079707365083831,,,-4.767564892892684,ZAF
2015-06-30,,,,,ZAF
2015-07-01,5.4732722787798505,,,-15.452394984188533,ZAF
2015-09-30,,,,,ZAF
2015-10-01,6.3360949375152575,,,-21.786298060497224,ZAF
2015-12-31,,,,,ZAF
2016-01-01,7.372398643735756,,,-24.81943003328233,ZAF
2016-03-31,,6.602908423948639,-13.534897862225447,,ZAF
2016-04-01,7.043826135104192,,,-9.413312152427178,ZAF
2016-06-30,,,,,ZAF
2016-07-01,7.148971031718698,,,-1.5541552388573576,ZAF
2016-09-30,,,,,ZAF
2016-10-01,6.264665514952528,,,13.797865906845686,ZAF
2016-12-31,,,,,ZAF
2017-01-01,5.624384394195681,,,25.06744459817607,ZAF
2017-03-31,,5.186186555241501,10.118123712026739,,ZAF
2017-04-01,4.704490507985137,,,9.124732377014366,ZAF
2017-06-30,,,,,ZAF
2017-07-01,5.585724838612882,,,11.755278488188935,ZAF
2017-09-30,,,,,ZAF
2017-10-01,5.951244292076052,,,9.080472294567743,ZAF
2017-12-31,,,,,ZAF
2018-01-01,3.845645341767656,,,13.726987754905062,ZAF
2018-03-31,,4.509872648673907,1.264031087197126,,ZAF
2018-04-01,4.487908415214936,,,9.37134508885038,ZAF
2018-06-30,,,,,ZAF
2018-07-01,3.8771476550563344,,,5.023177249623689,ZAF
2018-09-30,,,,,ZAF
2018-10-01,3.762483086516899,,,4.8903858322643545,ZAF
2018-12-31,,,,,ZAF
2019-01-01,4.332050183221869,,,-7.6167168983896305,ZAF
2019-03-31,,4.102850754611498,-8.911638547909483,,ZAF
2019-04-01,4.566824330196151,,,-4.6077695791967965,ZAF
2019-06-30,,,,,ZAF
2019-07-01,4.655769839088619,,,-1.3466882466810381,ZAF
2019-09-30,,,,,ZAF
2019-10-01,4.906059415091701,,,-1.7968799558240156,ZAF
2019-12-31,,,,,ZAF
2020-01-01,5.792845759014065,,,-0.7043070109236993,ZAF
2020-03-31,,3.2323883161512024,-11.789994318256591,,ZAF
2020-04-01,4.012746745434126,,,-34.51087721963355,ZAF
2020-06-30,,,,,ZAF
2020-07-01,4.809077532767447,,,-8.97084426135818,ZAF
2020-09-30,,,,,ZAF
2020-10-01,6.746059108262736,,,2.969974141233722,ZAF
2020-12-31,,,,,ZAF
2021-01-01,6.4486693525113825,,,16.99525294259243,ZAF
2021-03-31,,4.618745448871331,10.886208220149008,,ZAF
2021-04-01,8.3921296462538,,,103.72561130075408,ZAF
2021-06-30,,,,,ZAF
2021-07-01,6.929549572352278,,,42.08990978234961,ZAF
2021-09-30,,,,,ZAF
2021-10-01,4.160848002858253,,,15.596876634895374,ZAF
2021-12-31,,,,,ZAF
2022-01-01,4.2746113666007,,,14.76952191376888,ZAF
2022-03-31,,7.039872725464846,-9.3811525556996,,ZAF
2022-04-01,5.792369763516536,,,3.623586970642312,ZAF
2022-06-30,,,,,ZAF
2022-07-01,5.190314658726591,,,0.022591790043602344,ZAF
2022-09-30,,,,,ZAF
2022-10-01,5.702014650883291,,,-0.6785522569923819,ZAF
2022-12-31,,,,,ZAF
2023-01-01,6.362152940508725,,,-6.250603005166089,ZAF
2023-03-31,,6.075243845796563,-11.641087897991909,,ZAF
2023-04-01,3.063405241082906,,,-12.414146754612265,ZAF
2023-06-30,,,,,ZAF
2023-07-01,4.5971569494103415,,,-6.047096521756989,ZAF
2023-09-30,,,,,ZAF
2023-10-01,4.9051595780455814,,,-0.02789648163108449,ZAF
2023-12-31,,,,,ZAF
2024-01-01,3.9020461700259634,,,-6.747176009435451,ZAF
2024-03-31,,4.361152465189577,0.6373974641953772,,ZAF
2024-04-01,4.648837379590609,,,2.4516005071904434,ZAF
2024-07-01,3.667106001532172,,,0.8215596596456542,ZAF
2024-10-01,3.4709280016457678,,,4.2465656823622355,ZAF
