quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,6.320449675033099,,,,,,BEL
1980-04-01,,6.353724522203863,,,,,,BEL
1980-07-01,,6.520538550937506,,,,,,BEL
1980-10-01,,7.377194461566416,,,,,,BEL
1981-01-01,,7.223166375282156,,17.43682395247028,,,,BEL
1981-04-01,,7.252447471433876,,27.977972810187566,,,,BEL
1981-07-01,,8.09362579692932,,39.9186553354683,,,,BEL
1981-10-01,,7.917269374320806,,22.97198960607345,,,,BEL
1982-01-01,,7.619974647230077,,22.71947297659618,,,,BEL
1982-04-01,,9.255377543391832,,21.04668674698795,,,,BEL
1982-07-01,,9.085393809715196,,19.50943680731825,,,,BEL
1982-10-01,,8.91816705006915,,29.084823008291938,,,,BEL
1983-01-01,,8.679761121244267,,14.132915453230478,,,,BEL
1983-04-01,,7.601942217606569,,10.224394578982455,,,,BEL
1983-07-01,,7.586245707619073,,11.618370694368508,,,,BEL
1983-10-01,,6.83981172909709,,11.853853786175893,,,,BEL
1984-01-01,,7.007113808598165,,16.717948004021622,,,,BEL
1984-04-01,,7.132208608964145,,11.425327199064728,,,,BEL
1984-07-01,,5.797842591954162,,11.167630644887794,,,,BEL
1984-10-01,,5.483393551306705,,13.026058246453776,,,,BEL
1985-01-01,,5.373412190990636,,18.298134173045955,,,,BEL
1985-04-01,,5.283715688700993,,12.456509549053397,,,,BEL
1985-07-01,,4.756841426529292,,-2.450005654589882,,,,BEL
1985-10-01,,4.085672471309967,,-14.896495737253613,,,,BEL
1986-01-01,,2.497834734063521,,-26.53133031452698,,,,BEL
1986-04-01,,1.262098090962816,,-26.221588320914403,,,,BEL
1986-07-01,,0.7836308098408324,,-25.10785658692517,,,,BEL
1986-10-01,,0.6591420946460628,,-20.46677265370639,,,,BEL
1987-01-01,,1.054060880073744,,-20.603852160333158,,,,BEL
1987-04-01,,1.59585679086824,,-18.424227442543696,,,,BEL
1987-07-01,,2.004790542374304,,-11.456319695076289,,,,BEL
1987-10-01,,1.557321843896375,,-14.553915547426666,,,,BEL
1988-01-01,,0.9804727202462667,,-8.058396721741424,,,,BEL
1988-04-01,,1.002984499563701,,-4.554323132433513,,,,BEL
1988-07-01,,1.042439664841698,,2.464413597065751,,,,BEL
1988-10-01,,1.616098452283465,,4.415893098182355,,,,BEL
1989-01-01,,2.569930840204724,,10.5436808476157,,,,BEL
1989-04-01,,2.995485905375107,,13.487907563495849,,,,BEL
1989-07-01,,3.245932179694026,,2.970204189567194,,,,BEL
1989-10-01,,3.607882551633256,,2.3336888237754483,,,,BEL
1990-01-01,,3.460218162076459,,-8.927327314496935,,,,BEL
1990-04-01,,3.083665082740386,,-14.597435495538258,,,,BEL
1990-07-01,,3.317672006497895,,-18.596720653434275,,,,BEL
1990-10-01,,3.92588580815856,,-18.59931515133941,,,,BEL
1991-01-01,,3.718267653419601,,-10.694924548081818,,,,BEL
1991-04-01,,3.246507582604383,,3.042326768137693,,,,BEL
1991-07-01,,3.295227361782012,,9.576101424518813,,,,BEL
1991-10-01,,2.617861481122346,,8.08077548978472,,,,BEL
1992-01-01,,2.413754751794489,0.9550187222232354,5.75202521264746,,,,BEL
1992-04-01,,2.72516047625993,0.3288399041516281,-6.854589985713733,,,,BEL
1992-07-01,,2.313020090060863,-0.8304290177549289,-16.070782337456812,,,,BEL
1992-10-01,,2.263937380032319,-1.019443199695146,-4.749153911532023,,,,BEL
1993-01-01,,2.851695399889468,-0.9862797073714012,1.0290308710290352,,,,BEL
1993-04-01,,2.656510613384987,-0.9879566974331734,0.16411800120410547,,,,BEL
1993-07-01,,2.861173566779799,-0.4204228886324879,17.974980112105833,,,,BEL
1993-10-01,,2.649393412105024,-0.0842105153036069,12.450417510105694,,,,BEL
1994-01-01,,2.409113812354129,0.5467667335024818,5.82941027120043,,,,BEL
1994-04-01,,2.573568683605858,1.879179121348382,2.832557764920396,,,,BEL
1994-07-01,,2.538943100930075,3.373608197620561,-9.482436846809284,,,,BEL
1994-10-01,,1.991861441543013,2.265375861727053,-11.41117488895257,,,,BEL
1995-01-01,,1.813071056627115,2.588723996278204,-14.436532047127015,,,,BEL
1995-04-01,,1.456952294653009,1.641377872726606,-16.108065835034235,,,,BEL
1995-07-01,,1.224321877165525,0.2777849972492598,-8.556049778662867,,,,BEL
1995-10-01,,1.382209151874046,0.6494767685738224,-7.850828663730369,,,,BEL
1996-01-01,0.7285699148491309,1.959954607528231,0.9623214731561464,-1.0074292439998467,,,,BEL
1996-04-01,0.3273562354788373,1.928835620089947,3.056204783594228,8.979468485711362,,,,BEL
1996-07-01,0.13906867766160236,1.951807537865759,0.3964610525972185,4.761683690080787,,,,BEL
1996-10-01,0.7138553497442857,2.465855410257769,1.046841024205419,7.697054059660702,,,,BEL
1997-01-01,-0.3116806273382622,1.924165251839276,0.7471924473682706,13.302400174681894,,,,BEL
1997-04-01,0.6881166347180168,1.525351913751707,1.347911075291739,13.009206195564339,,,,BEL
1997-07-01,1.19762767694227,1.781206171107994,3.532113108820835,20.986816305172475,,,,BEL
1997-10-01,1.4331204902823025,1.285155522443658,3.43171719600001,14.877283979275546,,,,BEL
1998-01-01,2.0083193943078337,0.7218212104386452,2.753306078434632,9.704560956202869,1.5782171415357427,0.8915080252564156,9.470546786918277,BEL
1998-04-01,2.031681763886173,1.646185949455145,2.96177320126979,4.680855496621494,2.441904511106885,1.787586232100713,10.062755575045191,BEL
1998-07-01,1.8671741695641009,0.7624822010931928,1.321575410980634,-2.565569817176616,4.9427930059427805,7.139058501577544,-11.48628674376695,BEL
1998-10-01,1.340952716960131,0.6712026480323556,0.7430366110164653,-5.293458633021519,6.2426419279323575,5.719696173200561,13.574091132954091,BEL
1999-01-01,0.8184334541704974,1.056596839397285,1.544916749088068,-4.144236479972019,-0.14100108135185474,-1.479854488526755,14.040518141056225,BEL
1999-04-01,0.3509074272391999,0.921532846715324,0.044263410267582,3.1353256421200904,-5.977484711004887,-8.477873070162955,20.9549938969791,BEL
1999-07-01,0.18120241313679397,0.9162601996626704,-1.132025960680967,5.810884140046069,-0.32617209537857406,-1.260697277854006,8.13550938164347,BEL
1999-10-01,1.0289568958294915,1.589186227052699,-0.4174320158579193,13.278952832642755,-2.1387534597006708,-1.9644599488942704,-4.413280176620804,BEL
2000-01-01,1.6123856376526469,1.986544231293745,-1.206257852581824,13.701825967322456,10.007137182464753,14.619607913954468,-32.2003226597668,BEL
2000-04-01,2.0599131623487033,2.318958502847844,0.0952991420941156,13.256979684713798,10.890754308937577,15.613717333239352,-27.60259504548619,BEL
2000-07-01,2.282056167864721,3.012918962869284,2.450440684940058,15.833198788814862,4.267651424567864,10.03969037134771,-43.454129521492845,BEL
2000-10-01,2.1067287102267684,2.854445743054936,2.160260521978241,19.54318635316028,3.0866823039761737,6.833661545275782,-47.06402916928886,BEL
2001-01-01,1.3450555475718717,2.184087363494549,2.977943501985537,6.849611399536215,4.892914195118858,6.732982035585877,-23.572710500306805,BEL
2001-04-01,2.3506344334048634,2.946763861276779,4.992795942870786,6.954660363793308,-0.7437345311939514,1.7328946634981524,-32.978054288271466,BEL
2001-07-01,2.213657585399309,2.525761894321421,5.083105305872537,1.6812516848814907,0.4443274378628015,-1.66586175828356,34.39569332020152,BEL
2001-10-01,2.037617645869827,2.220182684323233,5.435778870124894,-3.0782914366329073,0.4868310025308631,-3.1393629205255014,98.4367471054165,BEL
2002-01-01,2.5017321613221455,2.735005452562704,5.577950409045564,5.318163627671435,-2.9154436517867977,-6.714197550493328,79.15338383413422,BEL
2002-04-01,1.2657037178672725,1.343232340571633,1.861092511271874,-5.039055172490303,13.411681915434714,8.496204122726535,110.52250390224651,BEL
2002-07-01,1.3699915147223463,1.265985201659458,1.181200345200513,-9.50247541995436,21.93534445056564,19.789969369294404,47.19096545437693,BEL
2002-10-01,1.4239077207070183,1.257001154388815,0.9447582319802444,-10.354914750213274,22.974216184368256,24.184942031609967,7.010864607654055,BEL
2003-01-01,1.529580000898978,1.570991847826083,0.8698826097937187,-18.314634613823188,22.768350673832295,24.453377884325754,3.8128820993472035,BEL
2003-04-01,1.949350462548316,1.376243912767305,1.908885141160158,-19.206394455611576,21.25170004543675,21.25549449579973,21.213066302554484,BEL
2003-07-01,1.9307261646717588,1.685179710267348,3.138611918654823,-12.536809179597363,12.525890353059864,13.129485388416384,6.743068963656129,BEL
2003-10-01,1.9880135568908885,1.722754718574505,2.298589817544907,-15.948333072694531,17.137408505699337,17.0243610203489,18.86714614872398,BEL
2004-01-01,2.214540644974239,1.325140038458327,1.942769106648563,-14.130060994370751,23.888610580674687,23.382523646623767,30.71369726217432,BEL
2004-04-01,1.6397540129840404,2.259816207184624,1.748932159076713,-5.592492950245321,16.28735786937281,19.03134620590059,-11.66073383713957,BEL
2004-07-01,1.861595559608098,2.234590463532157,0.3254330844415846,-7.95648421846381,18.189104047742322,22.372898209964397,-24.292465678672592,BEL
2004-10-01,1.9409153895406872,2.565273338591175,1.031981824727416,-8.375944182105632,22.128654121459746,21.929227508631975,25.132771419400846,BEL
2005-01-01,1.6092449597798097,2.632121787202434,1.622656933003206,-4.695487353072236,13.1253408637932,18.425072103715333,-54.338248321942494,BEL
2005-04-01,2.1255780389387136,2.716392304235942,2.180927268157093,-4.348428124653725,14.657596580575905,15.757229023788998,-0.43364604297578824,BEL
2005-07-01,2.1414642115776816,3.136426423986345,1.613458409844489,0.16940982565749607,9.28474714493166,9.59550750077054,4.184373417520315,BEL
2005-10-01,2.4466210780694997,2.638714638390878,1.640631511909186,9.196460101774772,-0.5676202459599766,3.3976600439190596,-58.77049331056578,BEL
2006-01-01,2.7165022184869825,2.234996181211569,1.275307813215693,9.065549052816934,2.4060457784921496,4.275667377769254,-59.31885537898094,BEL
2006-04-01,2.321410478584074,2.004294917680744,1.281522414327843,0.08958685662605603,6.732398852191768,7.7893337512843885,-10.131625208612238,BEL
2006-07-01,2.2273721637943833,1.489009690380525,3.25560390314909,-4.267114649917847,13.87400204841287,15.441648514490947,-13.191412639609911,BEL
2006-10-01,1.8061998289001124,1.44710382082725,4.426216607467458,-7.783431557369969,15.183119097140118,14.568472061226867,37.80865609208695,BEL
2007-01-01,2.1662914741879424,1.749695277788696,4.379439330895637,-8.26228909834461,18.547935763770916,13.380081460295479,455.87540986708694,BEL
2007-04-01,2.2110222186623174,1.450292397660819,3.615553076319164,-6.6680943481796096,13.171968257920575,13.904748854044291,-0.8515129054434079,BEL
2007-07-01,1.7013403053973697,1.331315013196705,2.954088540598203,-7.24488207581463,17.841729325933684,16.988697370749772,37.427095207712924,BEL
2007-10-01,1.6643649262108484,2.759639303482591,4.680954898531868,-11.039161899197591,20.315431306618347,24.168431900158403,-97.59732827290712,BEL
2008-01-01,1.505318907926645,3.829507689929666,5.818401449567147,-12.48777286014061,17.427813781668423,21.984916918110862,-61.23050510205732,BEL
2008-04-01,1.884570995573931,5.057259242179698,6.88307545063008,-13.70324399020455,26.624026621662633,30.322647184887263,-54.69223298503574,BEL
2008-07-01,2.402521956649939,5.588539472172222,7.117522815127733,-8.717044209773505,14.090618527227594,21.101489324884092,-122.93756186014302,BEL
2008-10-01,1.860667290447604,3.491186927906793,4.522144522144522,9.913585120849234,-16.920499390662503,-15.040036950525515,-2990.935464602364,BEL
2009-01-01,1.0388537185701763,1.618966094756039,3.515981735159817,14.947335943871408,-30.39339594960957,-29.531327198392944,-77.21148649837718,BEL
2009-04-01,0.6601507403360296,-0.2962908771673129,1.141705842847549,14.599870796296344,-32.75117775350722,-35.49450541607315,140.73406215873047,BEL
2009-07-01,0.7593803805300059,-1.218892839004571,-0.6696677703783623,5.223935144137948,-22.322533658063094,-27.070583436455266,-512.276662563617,BEL
2009-10-01,0.6475829236628261,-0.2777676254522825,-0.5389533154921164,-10.825282578283268,6.955471489477794,1.4992929769061858,-246.64086486080805,BEL
2010-01-01,1.0531916317559453,0.9888661002050982,0.0735186002058557,-5.78835482979545,19.526751005404574,14.988422329353712,781.6897039149782,BEL
2010-04-01,1.830609266840022,2.175587922368558,1.169396488121591,7.274275687133813,10.370724303369162,12.448839251282685,-24.84313135778504,BEL
2010-07-01,1.6401738851698378,2.600073448402497,2.569384621146852,10.787056705539788,4.717360155863948,6.569977421572637,-29.1000117083704,BEL
2010-10-01,2.2766409308337954,2.994319223016306,2.866325348480877,8.810722952915118,4.602820494448556,7.793401841820224,-98.04086322824448,BEL
2011-01-01,2.7720188753980635,3.376369043301668,2.189244784014098,1.09056968486545,17.14745534724522,21.842907171845138,-85.6938604840221,BEL
2011-04-01,2.2134804922811613,3.47935368043088,2.556061987237914,-11.695890951887023,27.29681790553842,30.895095012328213,-63.93050253655686,BEL
2011-07-01,2.1319125899987634,3.636623953038864,2.85557787109732,-8.612116896040444,18.28486199928525,21.355981393988465,-65.97865017101809,BEL
2011-10-01,2.074915386720111,3.633193367020148,3.276901838262011,0.7502855246126927,4.751199943115858,5.024113191241475,-478.3236727008729,BEL
2012-01-01,2.4260711862056583,3.55727065427118,3.350107836089148,4.361075591791708,-1.5667802568696598,-1.8278392269612476,47.1307182195791,BEL
2012-04-01,2.274215350851261,2.748186959991672,2.741235867169167,12.30204132665258,-10.04060574674619,-10.587459202095017,40.272897174976976,BEL
