quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,BGR
1980-04-01,,,,,,,,BGR
1980-07-01,,,,,,,,BGR
1980-10-01,,,,,,,,BGR
1981-01-01,,,,,,,,BGR
1981-04-01,,,,,,,,BGR
1981-07-01,,,,,,,,BGR
1981-10-01,,,,,,,,BGR
1982-01-01,,,,,-0.24269526002184127,-21.914908351867503,-53.30725491220599,BGR
1982-04-01,,,,,-10.552689552463313,-26.823169874128507,-43.867545330455116,BGR
1982-07-01,,,,,-14.952986047189953,5.369646982557863,42.50950620313585,BGR
1982-10-01,,,,,-7.5996831774572176,-2.023012045506112,7.563803226892052,BGR
1983-01-01,,,,,-15.247325373255382,6.09267573290293,72.13316091865636,BGR
1983-04-01,,,,,-0.7614746288269081,1.22778682479876,4.5484577364200085,BGR
1983-07-01,,,,,-0.1449178101171955,1.9463599010469235,4.227159991615115,BGR
1983-10-01,,,,,-11.334581055943838,5.957662909393435,31.493963977708738,BGR
1984-01-01,,,,,1.6786602782873805,5.707417691924044,11.846109129947502,BGR
1984-04-01,,,,,5.292903857426645,6.7508215855203835,9.060915622965249,BGR
1984-07-01,,,,,14.841772973468203,11.009413943604596,7.005073709847087,BGR
1984-10-01,,,,,20.072169529637463,0.8553655798222204,-18.279977278219338,BGR
1985-01-01,,,,,29.458615036803003,16.024810390453936,-2.5837445754383292,BGR
1985-04-01,,,,,39.56521024052388,28.911191287767156,12.612975222797228,BGR
1985-07-01,,,,,41.747507174635466,26.472150641627266,9.342375745094866,BGR
1985-10-01,,,,,34.1173836350658,45.63073809393388,62.475731413328496,BGR
1986-01-01,,,,,-1.1151577552844794,32.80271203084306,95.23966699511858,BGR
1986-04-01,,,,,-9.10519999287499,10.492174816508037,47.646830944746156,BGR
1986-07-01,,,,,-2.9234228304088505,-7.794040992730178,-14.874661332502527,BGR
1986-10-01,,,,,-3.6617411756588503,-6.791437510314791,-10.571228112322862,BGR
1987-01-01,,,,,11.557399556412552,-11.274107776552789,-32.560859616277206,BGR
1987-04-01,,,,,18.99076832506552,14.099149989788252,8.389850565217172,BGR
1987-07-01,,,,,2.1207681072328066,29.614784854238717,75.19548791024317,BGR
1987-10-01,,,,,12.674856682331615,21.94040874370056,33.99516313590682,BGR
