quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,BIH
1980-04-01,,,,,,,,BIH
1980-07-01,,,,,,,,BIH
1980-10-01,,,,,,,,BIH
1981-01-01,,,,,,,,BIH
1981-04-01,,,,,,,,BIH
1981-07-01,,,,,,,,BIH
1981-10-01,,,,,,,,BIH
1982-01-01,,,,,,,,BIH
1982-04-01,,,,,,,,BIH
1982-07-01,,,,,,,,BIH
1982-10-01,,,,,,,,BIH
1983-01-01,,,,,,,,BIH
1983-04-01,,,,,,,,BIH
1983-07-01,,,,,,,,BIH
1983-10-01,,,,,,,,BIH
1984-01-01,,,,,,,,BIH
1984-04-01,,,,,,,,BIH
1984-07-01,,,,,,,,BIH
1984-10-01,,,,,,,,BIH
1985-01-01,,,,,,,,BIH
1985-04-01,,,,,,,,BIH
1985-07-01,,,,,,,,BIH
1985-10-01,,,,,,,,BIH
1986-01-01,,,,,,,,BIH
1986-04-01,,,,,,,,BIH
1986-07-01,,,,,,,,BIH
1986-10-01,,,,,,,,BIH
1987-01-01,,,,,,,,BIH
1987-04-01,,,,,,,,BIH
1987-07-01,,,,,,,,BIH
1987-10-01,,,,,,,,BIH
1988-01-01,,,,,,,,BIH
1988-04-01,,,,,,,,BIH
1988-07-01,,,,,,,,BIH
1988-10-01,,,,,,,,BIH
1989-01-01,,,,,,,,BIH
1989-04-01,,,,,,,,BIH
1989-07-01,,,,,,,,BIH
1989-10-01,,,,,,,,BIH
1990-01-01,,,,,,,,BIH
1990-04-01,,,,,,,,BIH
1990-07-01,,,,,,,,BIH
1990-10-01,,,,,,,,BIH
1991-01-01,,,,,,,,BIH
1991-04-01,,,,,,,,BIH
1991-07-01,,,,,,,,BIH
1991-10-01,,,,,,,,BIH
1992-01-01,,,,,,,,BIH
1992-04-01,,,,,,,,BIH
1992-07-01,,,,,,,,BIH
1992-10-01,,,,,,,,BIH
1993-01-01,,,,,,,,BIH
1993-04-01,,,,,,,,BIH
1993-07-01,,,,,,,,BIH
1993-10-01,,,,,,,,BIH
1994-01-01,,,,,-62.962344016220385,2.9003598694010257,34.15589809446351,BIH
1994-04-01,,,,,-66.75294058957995,44.90004828996421,66.7875817734998,BIH
1994-07-01,,,,,-46.78209649947897,165.3561771232877,212.80003316134514,BIH
1994-10-01,,,,,-43.08170094945256,135.92543384136948,165.31613363820287,BIH
1995-01-01,,,,,-11.243191224337046,100.61297049556326,115.2678098190166,BIH
1995-04-01,,,,,97.31539787191821,21.928286088768356,18.98241931106015,BIH
1995-07-01,,,,,67.97656750772083,8.23891667577139,5.965913405755563,BIH
1995-10-01,,,,,47.95710221526966,3.0112804080314692,1.4281482729122885,BIH
1996-01-01,,,,,126.44351816137913,72.97508562759938,70.08679302602046,BIH
1996-04-01,,,,,182.74783366631024,100.13321314059414,94.7795493731639,BIH
1996-07-01,,,,,292.06202729596833,106.25439853969274,95.04717646040093,BIH
1996-10-01,,,,,383.9866971550124,132.28501355487356,119.35225173199844,BIH
1997-01-01,,,,,179.57689326392924,64.04592993236497,55.73726144963309,BIH
1997-04-01,,,,,146.68106453329122,28.75093753766984,17.65727692344987,BIH
1997-07-01,,,,,91.21791661155024,12.279052073332908,2.7084243028409727,BIH
1997-10-01,,,,,77.25860382074036,4.922370778325491,-3.2783566187549296,BIH
1998-01-01,,,,9.680596001069164,58.40578349261665,-12.444240118565641,-21.591305356588276,BIH
1998-04-01,,,,4.657961069878169,22.29549275043301,4.170077919871451,0.5952504599075148,BIH
1998-07-01,,,,-2.4964377157877915,35.773853759154626,14.678848713061976,9.9172619794339,BIH
1998-10-01,,,,-5.286503380848162,27.524868543140357,17.936484345343207,15.944318126066781,BIH
1999-01-01,,,,-4.214617313913616,14.508745516258713,4.422772669997732,1.7921026103951299,BIH
1999-04-01,,,,3.1864051401298443,29.289646473300323,10.511802084274224,6.009383782493116,BIH
1999-07-01,,,,5.820537709167328,3.143992825935271,2.1548544508807943,1.8790639137962195,BIH
1999-10-01,,,,13.316132457367846,24.464829559281398,-2.791008802163719,-9.01953223702322,BIH
2000-01-01,,,,13.765375045104244,-18.41177914639973,-7.737745612885549,-4.605890070750462,BIH
2000-04-01,,,,13.211891214503835,-20.79328380417358,-6.396742825412572,-2.1867854279873145,BIH
2000-07-01,,,,15.920957750287478,-14.092605333868102,-11.116465429743283,-10.276358347737913,BIH
2000-10-01,,,,19.469262337626382,-26.204114246215383,-17.146186428418297,-14.3144495507181,BIH
2001-01-01,2.4233135145968365,,,6.915841746966134,33.580077852927644,5.057773125358955,-2.0997651177448673,BIH
2001-04-01,2.4233135056251243,,,6.962019408775921,14.90159155058086,-3.5525456324557503,-7.922508678115648,BIH
2001-07-01,2.4233135177492704,,,1.6057223640621565,3.259816228867418,3.1451945851684426,3.114215285833155,BIH
2001-10-01,2.4233135012195595,,,-2.954593499176683,-2.2107693154981622,10.890559975378821,14.418035120876027,BIH
2002-01-01,3.9811448928759763,,,5.310689974438554,-7.9736823057351085,-1.493111110746037,0.7258531439635174,BIH
2002-04-01,5.037698614107855,,,-4.979390709675169,1.5359353094023698,10.651796107504886,13.345527394098045,BIH
2002-07-01,5.244132794587353,,,-9.507295051987574,13.742211310462537,14.095712374388182,14.191389581821579,BIH
2002-10-01,5.640836520931192,,,-10.162419639848164,16.111448497031276,2.6218362011795504,-0.48232746966483386,BIH
2003-01-01,4.478159155697314,,,-18.346847215244576,53.852048233034886,15.359973668422233,3.318505867474686,BIH
2003-04-01,3.166412007553432,,,-19.057794190059408,83.37137031305997,21.561328068423702,5.199530609395442,BIH
2003-07-01,3.5034741184076124,,,-12.500368815601504,62.63482717313307,9.727072436932582,-4.536404582741593,BIH
2003-10-01,4.389133433434611,,,-16.15372351800517,84.97658375771269,25.425370607060604,9.436765002586256,BIH
2004-01-01,4.881769986086049,,,-14.172726985537087,87.96203200357068,52.09260072152979,35.383319570648375,BIH
2004-04-01,6.421552030005673,,,-5.7676670532971315,57.857648889824546,49.81021988510703,46.097032603578405,BIH
2004-07-01,6.945133020515359,,,-8.009336790004461,71.14536953931558,64.40775689455126,61.313275472437326,BIH
2004-10-01,6.761401194534367,,,-8.144731802715166,80.21900359849792,74.84836089735313,72.41111277249841,BIH
2005-01-01,4.6836818150383985,,,-4.901825935545256,34.127333361957945,41.79554459122481,46.75498088402108,BIH
2005-04-01,4.346045257880848,,,-4.358732515903762,48.23181923634874,43.916529281606806,41.765115641474026,BIH
2005-07-01,3.515793397442857,,,0.21016275394665218,26.764162842718477,25.712045975716812,25.19937247802011,BIH
2005-10-01,3.2654182442932944,,,8.890643048551073,19.968454666824307,28.035381333062336,31.86201530428583,BIH
2006-01-01,6.413124822797767,6.883886787926047,8.751092544406688,9.389928562037042,41.313110127275124,-1.9261664954697721,-27.485004667620395,BIH
2006-04-01,5.721431768655627,6.870689877939781,9.217484035229608,0.2429761430160049,57.7652855361982,15.730518621425116,-6.182118219946742,BIH
2006-07-01,5.3868499002998504,6.120150632133756,8.084349431326695,-4.294423670947822,76.92142292172413,27.919173361126326,3.743017728984288,BIH
2006-10-01,4.372716132680932,4.661198907759414,6.992889248384863,-7.848628753340369,63.47409289810686,13.747649346049151,-7.713035105659727,BIH
