quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,CZE
1980-04-01,,,,,,,,CZE
1980-07-01,,,,,,,,CZE
1980-10-01,,,,,,,,CZE
1981-01-01,,,,,,,,CZE
1981-04-01,,,,,,,,CZE
1981-07-01,,,,,,,,CZE
1981-10-01,,,,,,,,CZE
1982-01-01,,,,,,,,CZE
1982-04-01,,,,,,,,CZE
1982-07-01,,,,,,,,CZE
1982-10-01,,,,,,,,CZE
1983-01-01,,,,,,,,CZE
1983-04-01,,,,,,,,CZE
1983-07-01,,,,,,,,CZE
1983-10-01,,,,,,,,CZE
1984-01-01,,,,,,,,CZE
1984-04-01,,,,,,,,CZE
1984-07-01,,,,,,,,CZE
1984-10-01,,,,,,,,CZE
1985-01-01,,,,,,,,CZE
1985-04-01,,,,,,,,CZE
1985-07-01,,,,,,,,CZE
1985-10-01,,,,,,,,CZE
1986-01-01,,,,,,,,CZE
1986-04-01,,,,,,,,CZE
1986-07-01,,,,,,,,CZE
1986-10-01,,,,,,,,CZE
1987-01-01,,,,,,,,CZE
1987-04-01,,,,,,,,CZE
1987-07-01,,,,,,,,CZE
1987-10-01,,,,,,,,CZE
1988-01-01,,,,,,,,CZE
1988-04-01,,,,,,,,CZE
1988-07-01,,,,,,,,CZE
1988-10-01,,,,,,,,CZE
1989-01-01,,,,,,,,CZE
1989-04-01,,,,,,,,CZE
1989-07-01,,,,,,,,CZE
1989-10-01,,,,,,,,CZE
1990-01-01,,,,,,,,CZE
1990-04-01,,,,,,,,CZE
1990-07-01,,,,,,,,CZE
1990-10-01,,,,,,,,CZE
1991-01-01,,,,,,,,CZE
1991-04-01,,,,,,,,CZE
1991-07-01,,,,,,,,CZE
1991-10-01,,,,,,,,CZE
1992-01-01,,15.78107228088262,,,,,,CZE
1992-04-01,,7.669909925535149,,,,,,CZE
1992-07-01,,8.697745104076075,,,,,,CZE
1992-10-01,,12.59505000512314,,,,,,CZE
1993-01-01,,21.61543087513975,,,,,,CZE
1993-04-01,,21.8665426160178,,,,,,CZE
1993-07-01,,21.26437089147734,,,,,,CZE
1993-10-01,,18.6576649448908,,,,,,CZE
1994-01-01,,10.07547143362174,,3.2082672368209275,15.621602805178947,27.193328967525467,-143.30034296247197,CZE
1994-04-01,,9.396971480963163,,1.7915366139493516,15.059251633777148,11.584386910199985,-16.75543120260452,CZE
1994-07-01,,10.13489362304316,,-4.597167664738466,23.792716910616374,30.523286540916807,68.69938828470328,CZE
1994-10-01,,10.53007285044777,,-5.30683876811594,30.549477143682257,11.772216695543335,-30.95584506399611,CZE
1995-01-01,,9.320174465840736,16.05988881701951,-9.360138107701733,21.043384157172817,50.54582187841517,1211.2342858293182,CZE
1995-04-01,,9.958677980506543,15.39687333786659,-10.8108108108108,21.320752267540264,50.06039465479524,374.03140714495686,CZE
1995-07-01,,8.872666370352466,9.373122644279416,-5.580473681712473,21.115584758868255,28.375595846586442,58.59310265668185,CZE
1995-10-01,,7.874213025374614,6.168901625817314,-5.191730536989015,18.035013718826143,34.12610089866259,103.35932692614679,CZE
1996-01-01,16.48413731931855,8.76963350785341,6.288659793814422,-0.10076061980066608,39.71492486898611,41.979735890911904,50.205012208186275,CZE
1996-04-01,15.35092450212845,8.408215661103986,8.34605597964377,6.0874455222831525,23.580559835832695,28.671264973730093,43.35818444483186,CZE
1996-07-01,13.662447338093031,9.263959390862953,9.541188738269032,0.7339172835006957,32.283643272005236,40.796913081143124,67.85726729172978,CZE
1996-10-01,12.885874381444594,8.592777085927771,7.735085945399394,2.5046978850058688,22.08284719431095,25.901644550351534,35.43844187515426,CZE
1997-01-01,7.64522434171917,7.160048134777383,5.092143549951504,4.4096483351578675,-4.550897491608974,1.5026176281617953,21.952204307699642,CZE
1997-04-01,7.45776275815877,6.867969212551812,2.489431658055416,12.349709659542674,5.901180148525431,-0.007979125712143098,-14.704215650225539,CZE
1997-07-01,7.508388114646336,9.930313588850174,4.569252736792004,26.569108125304087,-0.5794692067920826,-9.986213755443895,-33.549856453243656,CZE
1997-10-01,8.185794034598025,10.32110091743119,5.443453777569221,24.00310050813883,5.680938590688167,-3.891305400380851,-25.43907882751405,CZE
1998-01-01,9.888755722164145,13.25098259404828,7.245039224734666,22.397624994109577,19.6987143946723,2.9122370751195614,-41.47096846923976,CZE
1998-04-01,11.207620558670971,12.68698060941828,7.241063244729611,6.7758988601391845,15.932986923631987,3.868480018288256,-33.38469098706391,CZE
1998-07-01,10.262430831122282,9.667194928684628,4.05097860719163,-6.527096023813728,19.733206292254636,10.782162187081767,-22.765088145943004,CZE
1998-10-01,6.513228207676303,7.484407484407485,-0.6675567423230975,-11.624630405016557,14.473892719673875,10.092313771490534,-3.88760598031348,CZE
1999-01-01,4.565759774325873,3.07387208725831,-4.991394148020658,-4.618079618079596,-3.4298244801195032,-4.021988036008873,-7.223970294455395,CZE
1999-04-01,3.821894824191374,2.359882005899705,-6.752136752136756,7.115168313649889,0.7774437251532929,-2.6577219806084407,-21.117834316436156,CZE
1999-07-01,3.088643445793915,1.204238921001922,-6.430446194225722,9.925974354648194,-1.341741735379709,-3.481747234364596,-15.915409856350715,CZE
1999-10-01,6.638829574680449,1.934235976789178,-3.897849462365591,17.690580442348704,1.0011126962677919,1.6395666012647636,4.065789186153479,CZE
2000-01-01,6.6959576829120016,3.511303511303506,-1.268115942028981,9.535005751881954,16.533693844894447,3.984233642372037,-66.64907152063633,CZE
2000-04-01,5.511112669143947,3.650336215177709,-0.7791017415215307,9.247053749730426,9.179118978042467,2.7824458785212114,-41.13381106771358,CZE
2000-07-01,6.112707235579373,3.90290337934318,2.010285179990645,12.780469087246393,6.610491408664432,3.456396014374219,-18.045464801891242,CZE
2000-10-01,5.170193799729272,4.032258064516124,4.102564102564098,14.991366728037626,9.689594655508715,-1.0981511310742875,-40.885955461062075,CZE
2001-01-01,8.01937498047618,4.04275092936803,4.08256880733944,4.038803467622332,19.30378490576894,22.56204974698628,86.64086138236593,CZE
2001-04-01,7.410434545702227,4.958294717330867,7.251732101616623,1.069307610449366,13.185926485309562,12.287798764033253,0.8515675431121306,CZE
2001-07-01,7.757721464365019,5.405405405405401,6.09532538955088,-2.3850027218290437,13.554367994857053,11.395393362490157,-7.750503503815986,CZE
2001-10-01,8.758907549835193,4.240766073871409,2.910882221227053,-7.949975941995335,14.190239716153563,10.914354770738122,-11.504977164200447,CZE
2002-01-01,5.880761896337328,3.841000446627964,3.525782282944033,-3.7397880121490257,2.433080524632869,-2.359935473492758,-62.61373486426698,CZE
2002-04-01,5.826128648096884,2.428256070640172,-0.6890611541774289,-15.676725821516513,16.23366271855391,12.856535580839811,-35.40509755937838,CZE
2002-07-01,4.124940534616384,0.7822685788787485,-5.313174946004319,-19.6252570492489,23.776600243331437,20.508792654616027,-15.162963676236075,CZE
2002-10-01,1.9125332117193805,0.6124234470691207,-5.221932114882507,-16.540469835057902,19.763102392566022,17.645447170620308,-1.0553198364855354,CZE
2003-01-01,4.75419291506205,-0.3870967741935484,-6.087696892294598,-18.662555577980644,31.00587984138452,30.89668600552713,27.135698997104953,CZE
2003-04-01,4.214456915702103,0.0862068965517284,-3.772766695576756,-16.23192281913799,28.28981351645139,29.7202907887522,66.50516219099323,CZE
2003-07-01,4.729835235060409,-0.0431220353600646,-1.049270072992705,-6.893085925638265,20.363386764812773,20.826885250933458,28.208806316185807,CZE
2003-10-01,5.323052304380771,0.8260869565217347,2.571166207529848,-12.514128433194394,27.38713913305093,28.30658159838244,38.13444955151228,CZE
2004-01-01,7.908621033419738,2.374784110535402,4.351767905711696,-10.839176656864936,31.363507682020987,23.83597259750414,-243.32915623406768,CZE
2004-04-01,7.121531054851027,2.583979328165375,3.695358269490757,-4.075106986584598,44.659623588307305,39.11114729908183,-70.82144922987187,CZE
2004-07-01,8.232026351319632,3.106125970664366,4.379898570769945,-9.6806119953891,42.9241471972657,39.12834199647393,-17.626319288446545,CZE
2004-10-01,12.450923973840467,2.975420439844761,1.253357206803935,-10.890306972610686,45.71253698473614,36.18470625341781,-57.73405815628112,CZE
