quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,DZA
1980-04-01,,,,,,,,DZA
1980-07-01,,,,,,,,DZA
1980-10-01,,,,,,,,DZA
1981-01-01,,,,8.799039374048734,,,,DZA
1981-04-01,,,,12.357021176256922,,,,DZA
1981-07-01,,,,17.312052877602447,,,,DZA
1981-10-01,,,,11.43933723754067,,,,DZA
1982-01-01,,,,7.9303316676568425,-15.878845694012355,-9.960781574871834,-81.67689394858404,DZA
1982-04-01,,,,5.285103158209226,-22.176112019145798,-10.088178807999903,-307.81765580552536,DZA
1982-07-01,,,,4.850164819789526,-12.472935943575791,-2.9439601288558936,-32.38796794215912,DZA
1982-10-01,,,,7.644809453959001,-4.489215469875596,5.181805652916127,-61.13990263003855,DZA
1983-01-01,,,,4.423959694963386,36.68553325810768,-4.216206396939459,2271.3264502819266,DZA
1983-04-01,,,,4.809663412791165,27.392823994609184,-6.995079878222999,-324.1752071024026,DZA
1983-07-01,,,,4.007030882434326,-2.377655629986508,1.1578716399742506,-12.984533139687649,DZA
1983-10-01,,,,3.9083051492717846,-1.6753833830959075,-2.087318144560102,4.8558925122509145,DZA
1984-01-01,,,,5.207931267288801,-10.331307710690341,10.980027410325977,-57.36156049766128,DZA
1984-04-01,,,,3.3495271621589273,2.288370723115918,1.7789059709263144,4.449278136755641,DZA
1984-07-01,,,,3.5586210900286908,3.3965242787207917,0.28869652851499783,14.235631965469064,DZA
1984-10-01,,,,4.165955871063343,7.477552525367903,-8.229795033727694,240.02873191223716,DZA
1985-01-01,,,,5.497051411561471,-3.277996863939159,-14.749456961275708,62.613425017844925,DZA
1985-04-01,,,,3.814142798550346,-1.673047306589548,-7.5483004906304,22.60987437469204,DZA
1985-07-01,,,,-0.7668732005678414,-10.057124732815382,-7.4981920298826665,-17.892248361646867,DZA
1985-10-01,,,,-4.734359646249587,-2.2118155665679873,5.5504060264214505,-33.227960355137455,DZA
