quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,JOR
1980-04-01,,,,,,,,JOR
1980-07-01,,,,,,,,JOR
1980-10-01,,,,,,,,JOR
1981-01-01,,,,6.385595965970925,,43.997134115642325,62.271820185697194,JOR
1981-04-01,,,,10.74849612552573,,26.347789414493562,33.918189597096806,JOR
1981-07-01,,,,15.401276728458523,1.070965051942463,22.542645146485118,1.2893687043685764,JOR
1981-10-01,,,,11.193288467144914,-3.476580232433013,43.29959854070309,23.077285703013885,JOR
1982-01-01,,,,8.619783376284396,65.19196851818347,-6.957761252235661,-22.05365916694545,JOR
1982-04-01,,,,5.139294197482824,35.76501649283252,18.071819977191183,13.76642413914686,JOR
1982-07-01,,,,5.818433491330377,8.427718461902911,-15.47565543071161,-20.491236233883292,JOR
1982-10-01,,,,7.2173135256970555,49.103559143548694,1.520074139565608,-6.298168797477621,JOR
1983-01-01,,,,3.1065518362781486,-42.931075041166785,0.5867984795270953,19.883589936162217,JOR
1983-04-01,,,,3.2848668515111257,-25.286574195236845,-7.908499811534108,-2.8620935994284835,JOR
1983-07-01,,,,2.993838691175954,-23.096328752572525,7.148765213281361,15.803271214452618,JOR
1983-10-01,,,,2.6425925073405354,-19.242646686579246,-12.64270125073449,-10.917128826885158,JOR
1984-01-01,,,,4.965271465985621,31.286067600989288,0.6236080178173564,-5.848777516749326,JOR
1984-04-01,,,,4.507566838340971,10.417542384755496,-13.139853163132177,-18.401452087375603,JOR
1984-07-01,,,,5.539895230614245,58.537638121546955,-12.171923246581395,-25.608595800524935,JOR
1984-10-01,,,,8.474209531362709,22.034854563691052,-7.645186475286769,-14.679880540243373,JOR
1985-01-01,,,,10.491818224969695,-5.331240188383046,-17.05579117222864,-20.50680171521514,JOR
1985-04-01,,,,7.209259147312164,-0.6662013831609692,-8.238966852699948,-10.527728771956745,JOR
1985-07-01,,,,0.2962924793239452,-4.824394228151386,15.392221489782475,23.57935125361088,JOR
1985-10-01,,,,-6.6703810569329836,-1.0992962449273058,3.567433996618563,5.149504553924378,JOR
1986-01-01,,,,-12.64213420470356,28.9068718492969,2.368942067659452,-6.933432537375895,JOR
1986-04-01,,,,-12.940583184218834,-10.692386305569757,-15.348075873800425,-16.910283338334253,JOR
1986-07-01,,,,-11.608610768598437,3.7473539676182943,-5.36581384910434,-8.208129617072913,JOR
1986-10-01,,,,-7.803826084632037,18.272641217433126,-21.322131979361103,-33.947474284062636,JOR
1987-01-01,,,,-5.9087284947633485,-23.844808068333844,-9.840063234725282,-3.040447697803972,JOR
1987-04-01,,,,-4.553223003959317,79.61664997854385,13.076777251184835,-10.92137845645894,JOR
1987-07-01,,,,-0.21409137144352552,37.58685342450645,-3.149074393469009,-17.509039306403317,JOR
1987-10-01,,,,-2.333066036848652,18.728523258675487,43.89980580566255,58.271418785436026,JOR
1988-01-01,,,,-0.47359320184948706,81.60135135135134,29.177392277560156,9.185776861633599,JOR
1988-04-01,,,,2.926123222465926,-6.685514055905073,21.207752145922743,41.492442230844986,JOR
1988-07-01,,,,7.216084604019279,-14.472945891783572,-1.4424575202196421,6.218923058795811,JOR
1988-10-01,,,,32.761367671070204,12.284828058086173,-19.8643115504748,-33.63393594906706,JOR
1989-01-01,,,,53.56884951333938,-14.82695496726837,-26.394108137631655,-33.73075417326245,JOR
1989-04-01,,,,59.66443416741571,32.9575019974597,-30.518428203883452,-60.96188080131867,JOR
1989-07-01,,,,60.84897536196452,25.380131265103767,-24.430799871957433,-48.01236484364285,JOR
1989-10-01,,,,42.677509098941925,-4.625621377383105,-13.891547338428866,-20.606092225268025,JOR
1990-01-01,,,,28.494769055349423,-10.73484644664131,44.12137556104723,88.83986449819747,JOR
1990-04-01,,,,21.763922383920153,-18.669405220838307,30.70469511648608,111.35536646317487,JOR
1990-07-01,,,,11.622945401724238,-12.560972776774005,19.820082453025243,56.791629031517644,JOR
1990-10-01,,,,3.2018765134087523,-20.29595402774418,-1.267757014727633,15.296422865337856,JOR
1991-01-01,,,,0.6748051541246802,-12.265201926998204,-46.39053414147585,-59.540553441352884,JOR
1991-04-01,,,,1.8199987083627356,16.992473472715307,-8.857175821197693,-25.105333160735952,JOR
1991-07-01,,,,4.200477033693351,35.446783640608935,20.89083826007494,11.622551058133524,JOR
1991-10-01,,,,3.6694880250215167,59.73273110190167,50.44358279916803,44.85357093266944,JOR
1992-01-01,,,,1.7284909691202222,28.742343688955362,89.11556705335822,139.56378260606465,JOR
1992-04-01,,,,-0.045406830532235265,-9.313756950351038,29.72516218372119,68.05652632708825,JOR
1992-07-01,,,,-2.7098578522476435,-30.558222355597508,18.481164631976554,56.370837116303974,JOR
1992-10-01,,,,0.4707099711076079,-25.82428245554783,-5.2114310380168005,8.467104951253535,JOR
1993-01-01,7.91025549467963,,,1.4083472846359468,-16.082714055063306,18.102181308361587,33.45315577787253,JOR
1993-04-01,8.424586095100572,,,0.7996208513009861,-19.62381553710947,14.97309954987145,33.30383517179312,JOR
1993-07-01,8.610384155487427,,,3.5643751008300972,29.780547082562347,4.069428156113242,-4.752466439416059,JOR
1993-10-01,4.507274266217154,,,1.9245629638269701,26.119975688302667,8.909635030131824,1.0995687621848438,JOR
1994-01-01,6.81383215307898,,,1.7691725196588237,25.50450158051849,-11.545867075152538,-22.00791751509342,JOR
1994-04-01,8.705974420036311,,,1.6684516312195807,36.62670121027838,-6.162278157235623,-19.83198457129298,JOR
