quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,KGZ
1980-04-01,,,,,,,,KGZ
1980-07-01,,,,,,,,KGZ
1980-10-01,,,,,,,,KGZ
1981-01-01,,,,,,,,KGZ
1981-04-01,,,,,,,,KGZ
1981-07-01,,,,,,,,KGZ
1981-10-01,,,,,,,,KGZ
1982-01-01,,,,,,,,KGZ
1982-04-01,,,,,,,,KGZ
1982-07-01,,,,,,,,KGZ
1982-10-01,,,,,,,,KGZ
1983-01-01,,,,,,,,KGZ
1983-04-01,,,,,,,,KGZ
1983-07-01,,,,,,,,KGZ
1983-10-01,,,,,,,,KGZ
1984-01-01,,,,,,,,KGZ
1984-04-01,,,,,,,,KGZ
1984-07-01,,,,,,,,KGZ
1984-10-01,,,,,,,,KGZ
1985-01-01,,,,,,,,KGZ
1985-04-01,,,,,,,,KGZ
1985-07-01,,,,,,,,KGZ
1985-10-01,,,,,,,,KGZ
1986-01-01,,,,,,,,KGZ
1986-04-01,,,,,,,,KGZ
1986-07-01,,,,,,,,KGZ
1986-10-01,,,,,,,,KGZ
1987-01-01,,,,,,,,KGZ
1987-04-01,,,,,,,,KGZ
1987-07-01,,,,,,,,KGZ
1987-10-01,,,,,,,,KGZ
1988-01-01,,,,,,,,KGZ
1988-04-01,,,,,,,,KGZ
1988-07-01,,,,,,,,KGZ
1988-10-01,,,,,,,,KGZ
1989-01-01,,,,,,,,KGZ
1989-04-01,,,,,,,,KGZ
1989-07-01,,,,,,,,KGZ
1989-10-01,,,,,,,,KGZ
1990-01-01,,,,,,,,KGZ
1990-04-01,,,,,,,,KGZ
1990-07-01,,,,,,,,KGZ
1990-10-01,,,,,,,,KGZ
1991-01-01,,,,,,,,KGZ
1991-04-01,,,,,,,,KGZ
1991-07-01,,,,,,,,KGZ
1991-10-01,,,,,,,,KGZ
1992-01-01,,,,,,,,KGZ
1992-04-01,,,,,,,,KGZ
1992-07-01,,,,,,,,KGZ
1992-10-01,,,,,,,,KGZ
1993-01-01,,,,,1887.8444667917577,2632.5345830049127,-2960.4219089703615,KGZ
1993-04-01,,,,,7649.361633493782,82485.18902579627,-1942.2166074240015,KGZ
1993-07-01,,,,,16422.14836858246,1629.7553770264294,107.93104984199834,KGZ
1993-10-01,,,,,1464.5871966616146,1150.8716073246464,742.079689083503,KGZ
1994-01-01,,,,,-9.16732751784297,4.392386530014658,75.16556291390728,KGZ
1994-04-01,,,,,0.6449343339587132,-24.32929782082325,-142.84919309961046,KGZ
1994-07-01,,,,94.03166869671134,-5.15267175572518,-51.819418466247235,-433.30733229329167,KGZ
1994-10-01,,,,36.75147358268145,-9.603515990274914,-31.71861557805572,-85.26148969889064,KGZ
1995-01-01,,,,6.708614725745332,43.19713637157325,-3.4604105571847676,-129.74007561436673,KGZ
1995-04-01,,,,-9.325126095957959,8.783642083187694,33.069243568411636,-237.63636363636365,KGZ
1995-07-01,,,,-0.48556183301948774,12.928571428571423,112.84806776071994,-119.58811139714487,KGZ
1995-10-01,,,,3.8754635478218225,102.41646839764145,-11.602054661756156,-1704.7158218125962,KGZ
1996-01-01,,,,4.725945775730622,7.0175224670463,138.63648370225582,-1576.593039885587,KGZ
1996-04-01,,,,10.034968999874305,51.88338741980745,146.25602354593283,977.6844687676919,KGZ
1996-07-01,,,,17.306254790208598,33.69591362215034,64.11404315998044,472.05495818399055,KGZ
1996-10-01,,,,40.921024836285724,-35.4637257507308,114.19377473714216,-166.12805957862292,KGZ
1997-01-01,,,,51.767574037061316,-0.2187685155644603,-15.529703463467015,-29.990744925851786,KGZ
1997-04-01,,,,47.65703335635825,16.067046512283856,-50.267747290303674,-132.6320121177099,KGZ
1997-07-01,,,,39.889977226468986,27.46959853406632,-1.3922285760472053,-91.85480670829766,KGZ
1997-10-01,,,,10.981647643317505,31.451830031200025,19.87879036055773,-1.2767435800932092,KGZ
1998-01-01,,,,3.6188715087922096,45.366098753026066,17.804305950493358,-19.297814123651126,KGZ
1998-04-01,,,,7.725376129898764,-29.950120597580764,61.395462077956765,-342.01770861282534,KGZ
1998-07-01,,,,15.781026864225778,-27.734971249346586,2.817622950819665,1501.4615384615386,KGZ
1998-10-01,,,,53.12425832270469,-22.891566265060238,8.923996584116134,86.36363636363636,KGZ
1999-01-01,,,,73.18336894987442,-9.819324430479181,-23.581757508342605,-56.952380952380956,KGZ
1999-04-01,,,,107.57497491643187,-6.678230702515176,-31.630170316301697,-63.52549889135255,KGZ
1999-07-01,,,,106.75676348671708,-10.302872478172487,-25.411061285500747,-58.851689962694344,KGZ
1999-10-01,,,,67.11132505342954,-15.937500000000004,-28.302626421011368,-40.75531077891424,KGZ
2000-01-01,36.78741404878243,,,52.13321441251091,-13.153311846689897,-9.285746724890831,10.360115044247786,KGZ
2000-04-01,49.31930866077507,,,21.172609035279667,26.5799275092937,-8.231965124555163,-122.08484194528874,KGZ
2000-07-01,29.198817287045188,,,14.423676012461062,21.69354193548387,-7.2144261857047365,-146.69256031128404,KGZ
2000-10-01,24.796167755949526,,,9.897808831935052,13.75841821561339,-10.278842536905419,-44.626907038512606,KGZ
2001-01-01,21.766490923022232,,,4.623039137562035,14.795910025996207,-19.192172160090905,-155.05518017322694,KGZ
2001-04-01,17.734169576230197,,,2.016038361745176,-20.407498231901645,-19.497790068536492,-36.550327536264206,KGZ
2001-07-01,12.357492036660013,,,0.5800197035486176,-13.013250524227981,-15.21527170006417,12.475170808504132,KGZ
2001-10-01,1.9321217566619753,,,-1.4619860971688659,-0.28190323559370567,-13.239488359040008,-51.27822879825299,KGZ
2002-01-01,-2.2696719877511318,,,-2.2485159617839368,-1.1616403172277634,38.22279876006745,-290.0443759888287,KGZ
2002-04-01,-2.4573276524897048,,,-2.40447935361916,14.091612517944174,26.816579841660836,-272.4004912587269,KGZ
2002-07-01,2.5937618877363455,,,-3.5339998186118327,-12.887868064692542,27.90195261041024,-368.7929701747951,KGZ
2002-10-01,10.497775311766278,,,-3.7568571416634278,9.860478371782765,16.365557960699807,55.450150135367934,KGZ
2003-01-01,12.328431235186121,,,-3.927739827760479,5.734207062542773,-9.554506875677193,-75.82867038848994,KGZ
2003-04-01,7.947600461288995,,,-9.456737206806265,-8.053984848117334,27.41370359377633,579.3358181500663,KGZ
2003-07-01,10.411069692230356,,,-7.964221607337352,23.025952740837564,28.07030800902495,43.96936068204291,KGZ
2003-10-01,14.323541165050525,,,-6.71530132215068,54.684348283739226,36.05001405890991,-43.07561775923253,KGZ
2004-01-01,13.90932368304778,5.327365644718684,6.300814749637368,-6.506420538191227,48.31391256761477,56.167070623832856,205.08006978084728,KGZ
2004-04-01,17.177050537099635,2.951724409743304,0.0975398278456207,0.7097023806306169,46.715036335244875,34.64203624196038,9.214252242088229,KGZ
2004-07-01,9.814782214712348,5.623664226602185,7.355503826659138,0.07739998899898293,29.105349881337684,27.148000094388003,21.876178725929396,KGZ
2004-10-01,9.632563806025352,2.621305116419128,2.620087882449766,-3.112941868121899,-6.940240649371432,22.005802282887423,356.00125786107543,KGZ
2005-01-01,8.60180346817816,2.663231158578663,2.275853638803053,-4.709267055893074,-7.238411250527044,22.192170626887542,293.4955327156206,KGZ
2005-04-01,6.053085578876449,4.966325958436402,8.67769523121571,-5.450825704183515,-5.305896154211709,9.999141678120328,53.30264430915168,KGZ
2005-07-01,8.244155925985064,4.519245854627036,7.953129546143256,-3.5647398191732904,-9.469963471663457,13.25215803116555,78.08074132121534,KGZ
2005-10-01,5.010588313414566,5.208537100842452,9.400421800801317,-1.5440636144001152,-23.92277635836415,25.497376809157313,141.87013488601804,KGZ
2006-01-01,9.858809159759495,6.228084662490439,12.41168594141598,0.9110144454198554,5.705548016462569,26.050097430011586,70.26134546202584,KGZ
2006-04-01,12.97094489538888,5.756250595014604,9.488560597719268,-0.9462296859336194,29.713918743149858,48.594735251919644,81.59236023192311,KGZ
2006-07-01,14.284040445561264,5.237339868119528,9.007051232818192,-3.2080734571448,16.025874371144,57.01932377782701,116.47698985022687,KGZ
2006-10-01,13.938127625566942,5.000568778475115,7.240963504284369,-5.139446924140756,54.17896287926158,74.54261188425878,89.62517847290165,KGZ
2007-01-01,18.016192101340266,4.724766561925432,4.381547900511268,-7.23386833870755,44.29006606208539,61.618096847299086,84.99654238573737,KGZ
2007-04-01,24.448429145321082,4.820996516274962,4.358010335128782,-6.662384933085375,-93.48504849620892,63.61858521086019,259.74547777502426,KGZ
2007-07-01,27.042075890896623,9.937159728348767,14.60783100588729,-4.757367569496084,-94.04108108593199,54.77066030525255,170.45476831969575,KGZ
2007-10-01,28.754199452618522,21.34881620558694,35.84094169977909,-9.656486177806045,-90.74851899936114,43.415963314474304,124.21130561556204,KGZ
2008-01-01,25.025270960467406,22.34656510157768,33.2176236522907,-5.830313812560339,65.98316029834098,78.51651949715735,91.70536337756856,KGZ
2008-04-01,30.061476550688184,28.73815997473874,43.09560972484474,-4.412703837481635,2343.9290880090502,63.12721265941372,11.56229570417957,KGZ
