quarter,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,country
1980-01-01,,,,,KWT
1980-04-01,,,,,KWT
1980-07-01,,,,,KWT
1980-10-01,,,,,KWT
1981-01-01,,,-0.13600496742345314,,KWT
1981-04-01,,,2.570974294829975,,KWT
1981-07-01,,,6.060401844457486,,KWT
1981-10-01,,,4.137572862946137,,KWT
1982-01-01,,,4.1277232082539195,,KWT
1982-04-01,,,3.232855933184653,,KWT
1982-07-01,,,2.0908330337643832,,KWT
1982-10-01,,,3.6751230680227343,,KWT
1983-01-01,,,2.327971086266012,,KWT
1983-04-01,,,1.7483029972095387,,KWT
1983-07-01,,,1.001586126729337,,KWT
1983-10-01,,,-0.08889823353803727,,KWT
1984-01-01,,,0.7738884049962369,,KWT
1984-04-01,,,0.5389933933221736,,KWT
1984-07-01,,,1.4348111752558124,,KWT
1984-10-01,,,3.5436541442289915,,KWT
1985-01-01,,,4.520651500640938,,KWT
1985-04-01,,,3.180920172692292,,KWT
1985-07-01,,,1.9273503737432307,,KWT
1985-10-01,,,-3.153534762222965,,KWT
1986-01-01,,,-6.438552856251977,,KWT
1986-04-01,,,-3.6484953772576545,,KWT
1986-07-01,,,-3.5982404530226497,,KWT
1986-10-01,,,0.33792799841243504,,KWT
1987-01-01,,,-2.4078726968174036,,KWT
1987-04-01,,,-5.565664417289506,,KWT
1987-07-01,,,-2.9408531600173093,,KWT
1987-10-01,,,-5.470704508074197,,KWT
1988-01-01,,,-1.6729838613554704,,KWT
1988-04-01,,,-0.03657516013740869,,KWT
1988-07-01,,,0.6650268098886913,,KWT
1988-10-01,,,1.5743458462544657,,KWT
1989-01-01,,,4.434119164452377,,KWT
1989-04-01,,,6.637185832237891,,KWT
1989-07-01,,,4.661350659578645,,KWT
1989-10-01,,,5.4295996401259705,,KWT
1990-01-01,,,1.6280470747733977,,KWT
1990-04-01,,,-0.25619817809581225,,KWT
1991-04-01,,,-2.160359040855686,,KWT
1991-07-01,,,-1.9039844779846882,,KWT
1991-10-01,,,-1.9673370650871713,,KWT
1992-01-01,,,-0.4138176127063353,,KWT
