quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,MNE
1980-04-01,,,,,,,,MNE
1980-07-01,,,,,,,,MNE
1980-10-01,,,,,,,,MNE
1981-01-01,,,,,,,,MNE
1981-04-01,,,,,,,,MNE
1981-07-01,,,,,,,,MNE
1981-10-01,,,,,,,,MNE
1982-01-01,,,,,,,,MNE
1982-04-01,,,,,,,,MNE
1982-07-01,,,,,,,,MNE
1982-10-01,,,,,,,,MNE
1983-01-01,,,,,,,,MNE
1983-04-01,,,,,,,,MNE
1983-07-01,,,,,,,,MNE
1983-10-01,,,,,,,,MNE
1984-01-01,,,,,,,,MNE
1984-04-01,,,,,,,,MNE
1984-07-01,,,,,,,,MNE
1984-10-01,,,,,,,,MNE
1985-01-01,,,,,,,,MNE
1985-04-01,,,,,,,,MNE
1985-07-01,,,,,,,,MNE
1985-10-01,,,,,,,,MNE
1986-01-01,,,,,,,,MNE
1986-04-01,,,,,,,,MNE
1986-07-01,,,,,,,,MNE
1986-10-01,,,,,,,,MNE
1987-01-01,,,,,,,,MNE
1987-04-01,,,,,,,,MNE
1987-07-01,,,,,,,,MNE
1987-10-01,,,,,,,,MNE
1988-01-01,,,,,,,,MNE
1988-04-01,,,,,,,,MNE
1988-07-01,,,,,,,,MNE
1988-10-01,,,,,,,,MNE
1989-01-01,,,,,,,,MNE
1989-04-01,,,,,,,,MNE
1989-07-01,,,,,,,,MNE
1989-10-01,,,,,,,,MNE
1990-01-01,,,,,,,,MNE
1990-04-01,,,,,,,,MNE
1990-07-01,,,,,,,,MNE
1990-10-01,,,,,,,,MNE
1991-01-01,,,,,,,,MNE
1991-04-01,,,,,,,,MNE
1991-07-01,,,,,,,,MNE
1991-10-01,,,,,,,,MNE
1992-01-01,,,,,,,,MNE
1992-04-01,,,,,,,,MNE
1992-07-01,,,,,,,,MNE
1992-10-01,,,,,,,,MNE
1993-01-01,,,,,,,,MNE
1993-04-01,,,,,,,,MNE
1993-07-01,,,,,,,,MNE
1993-10-01,,,,,,,,MNE
1994-01-01,,,,,,,,MNE
1994-04-01,,,,,,,,MNE
1994-07-01,,,,,,,,MNE
1994-10-01,,,,,,,,MNE
1995-01-01,,,,,,,,MNE
1995-04-01,,,,,,,,MNE
1995-07-01,,,,,,,,MNE
1995-10-01,,,,,,,,MNE
1996-01-01,,,,,,,,MNE
1996-04-01,,,,,,,,MNE
1996-07-01,,,,,,,,MNE
1996-10-01,,,,,,,,MNE
1997-01-01,,,,,,,,MNE
1997-04-01,,,,,,,,MNE
1997-07-01,,,,,,,,MNE
1997-10-01,,,,,,,,MNE
1998-01-01,,,,,,,,MNE
1998-04-01,,,,,,,,MNE
1998-07-01,,,,,,,,MNE
1998-10-01,,,,,,,,MNE
1999-01-01,,,,,,,,MNE
1999-04-01,,,,,,,,MNE
1999-07-01,,,,,,,,MNE
1999-10-01,,,,,,,,MNE
2000-01-01,,,,13.701825971009285,,,,MNE
2000-04-01,,,,13.256979698268223,,,,MNE
2000-07-01,,,,15.833198754170663,,,,MNE
2000-10-01,,,,19.543186431174853,,,,MNE
2001-01-01,,,,6.849611428495095,,,,MNE
2001-04-01,,,,6.954660324013373,,,,MNE
2001-07-01,,,,1.6812516892259044,,,,MNE
2001-10-01,,,,-3.078291412020695,,,,MNE
2002-01-01,,,,5.318163572419632,,,,MNE
2002-04-01,,,,-5.03905520288872,,,,MNE
2002-07-01,,,,-9.502475367605534,,,,MNE
2002-10-01,,,,-10.35491475844914,,,,MNE
2003-01-01,,,,-18.314634634389925,,,,MNE
2003-04-01,,,,-19.206394388833225,,,,MNE
2003-07-01,,,,-12.536809190294008,,,,MNE
2003-10-01,,,,-15.94833314664742,,,,MNE
2004-01-01,,,,-14.130060924625232,,,,MNE
2004-04-01,,,,-5.592493007490241,,,,MNE
2004-07-01,,,,-7.956484204401937,,,,MNE
2004-10-01,,,,-8.375944132118985,,,,MNE
2005-01-01,,,,-4.695487388869446,,,,MNE
2005-04-01,,,,-4.348428060967013,,,,MNE
2005-07-01,,,,0.16940980073847367,,,,MNE
2005-10-01,,,,9.196460112901894,,,,MNE
2006-01-01,,,,9.065549016605189,,,,MNE
2006-04-01,,,,0.08958685086346563,,,,MNE
2006-07-01,,,,-4.267114709895492,,,,MNE
2006-10-01,,,,-7.7834315281785855,,,,MNE
2007-01-01,26.50316046396961,,,-8.26228903482409,56.252997441285025,53.05713558373202,51.70539148494853,MNE
2007-04-01,15.91795029793821,,,-6.668094395620294,2.7961823855559897,48.59854187096373,68.54593439622903,MNE
2007-07-01,28.86250784106068,,,-7.244881996664255,-3.112736976131647,55.32857209715418,82.80614413661749,MNE
2007-10-01,24.15873961117063,,,-11.039161927054387,11.501824928155791,61.91530149193285,82.35130678499006,MNE
2008-01-01,17.014012502885944,,,-12.487772888500048,-7.961424976663012,61.83150546850351,92.23652307820413,MNE
2008-04-01,23.381812706258987,,,-13.703243945962363,29.660023075084574,47.67178566915238,52.45602835952603,MNE
2008-07-01,9.71016326733627,,,-8.717044283894648,7.3916367018482365,34.47857502144298,41.22842682537211,MNE
2008-10-01,14.453367597977063,,,9.913585082742005,-34.140098400930306,-15.421642513040922,-10.781915012052545,MNE
2009-01-01,4.155752445134175,,,14.947335943871408,-28.634785903109783,-43.78252505753031,-46.94200517479133,MNE
2009-04-01,-10.124869854000206,,,14.599870778156255,-63.2725547165887,-49.605091939490734,-46.51759610368804,MNE
2009-07-01,-2.6470775024700077,,,5.223935243940936,-37.63656090298251,-43.86111804797858,-45.04059950396635,MNE
2009-10-01,-4.6350204662293,,,-10.825282606442578,2.099969271001023,-11.323659733082058,-13.77984190839171,MNE
2010-01-01,9.755889400243678,,,-5.788354857026601,-19.890050505762026,-10.164123313117557,-7.435556686709677,MNE
2010-04-01,4.050886706832224,,,7.274275671690078,53.37335592167294,-3.0313164639211965,-11.781423443092699,MNE
2010-07-01,-1.7320512259050402,,,10.78705665697477,6.191974295339997,-4.308459212680981,-6.5662201671027205,MNE
2010-10-01,9.759222320011807,,,8.810723074118055,21.74451937271895,-9.839679425452141,-16.683164046069297,MNE
2011-01-01,-0.7885321126958944,2.254410664118429,3.541451320667202,1.0905697730745567,95.34208709216881,19.627357569342486,1.2439426991919023,MNE
2011-04-01,5.753139206748958,3.740359491694347,5.984451555696339,-11.695890929588849,31.5991205746762,32.37836917650756,32.5885360133249,MNE
2011-07-01,8.7795336200859,3.881086556154494,3.685726713535004,-8.612116861999187,48.416531653850846,27.058369524177838,21.8389478514619,MNE
2011-10-01,-0.4748661018818656,3.92131240818785,3.170907094470095,0.7502854970844242,21.810937418376252,8.32249829667635,4.051928955345163,MNE
2012-01-01,-3.5433364958518787,3.663421760331115,2.583645944622767,4.361075530893621,-26.759397425776477,8.187762637964946,24.559111999592087,MNE
2012-04-01,-1.7862672226531817,3.473000534195811,2.81105073878598,12.302041295352062,-14.861374189585542,-11.162023281627487,-10.171737150613968,MNE
2012-07-01,-1.3568984887472268,4.250878867692951,4.384070452177485,12.994130338990594,-30.12310505041186,-15.423657028527183,-11.047875094474701,MNE
2012-10-01,-2.343551108957198,5.179610877082324,6.897218487999834,3.9686268550008563,-28.23595922548495,-8.916582956144492,-1.7559183521894894,MNE
2013-01-01,5.682731045872624,3.589441004540614,5.807481933636443,-0.7425214997170304,2.2777117733897345,-8.806496225572214,-11.859685017287958,MNE
2013-04-01,3.5380787316544815,2.781633845695511,5.381348163213892,-1.8994163424782662,12.092826462551475,1.1657345742621894,-1.6066495163076788,MNE
2013-07-01,5.53728804649134,2.222246479870884,5.001783136925452,-5.583398037763832,3.886984420424189,3.1829033237382065,3.0182560288190885,MNE
2013-10-01,5.414169117511625,0.2927360929385843,-0.3584392904890737,-4.7235044484725925,1.9888496349469653,7.144604470341931,8.54050019175665,MNE
2014-01-01,4.439296160369155,-0.6158740102544356,-1.004952164698269,-3.577802214844128,-13.440611342206576,-1.3445048717030117,2.5218436371467146,MNE
2014-04-01,2.396134879627554,-0.9204758093280628,-2.906277296093996,-4.729205116169622,-26.319693561812908,6.030001266558416,15.380420036269982,MNE
2014-07-01,3.0246081914163447,-1.024479973119546,-2.159956601169353,-0.10412984456502627,-2.0851302175305175,3.8061023041443542,5.195367085084013,MNE
2014-10-01,4.580298380214987,-0.2788445440489114,0.5016264968727613,8.895389907778162,-1.9288153823190934,-6.9677302325409585,-8.249643411749553,MNE
2015-01-01,3.031103990993178,0.8126319293274619,2.416032760778833,21.621492150702792,-14.749343821791683,-13.758579012083628,-13.491202198532326,MNE
2015-04-01,6.403536658078468,2.103253837576595,3.410698331155606,24.048547541235664,-25.006916969746452,-15.806796458986172,-14.10865565531363,MNE
2015-07-01,4.618288103799806,1.833426588881595,3.348273458157736,19.242485556963306,-29.878926973004305,-11.747946745458748,-7.768229808644711,MNE
2015-10-01,5.172952856402957,1.443259499950151,2.485225877523065,14.109197585147392,-9.041332358266041,-9.180862143369605,-9.218804314522266,MNE
2016-01-01,6.476667179237294,0.1069502540341911,-0.3907083018870054,2.1911210669597114,-22.826555431980676,4.238154056383148,11.435858244206031,MNE
2016-04-01,7.873276900828552,-1.08626440842492,-1.745877371217931,-2.1221808262385067,26.954466883870644,21.437797331499752,20.548741653576585,MNE
2016-07-01,9.562156762223806,-0.6762651209967617,-1.1400377605918,-0.4458768118916656,15.42822449575616,10.54271825443509,9.72743507793079,MNE
2016-10-01,10.804909195358615,0.5772920758327948,-0.0164281386472683,1.5130940058634579,-5.327659308351185,9.118608490446167,13.054644893353885,MNE
2017-01-01,7.371793004237404,2.417094697856465,2.565464060878232,3.49360990034695,34.478617763893716,15.975046884564549,12.567129208540928,MNE
2017-04-01,8.91592487655335,2.226511049367811,2.384962251094267,2.459303587620121,-5.4027544330401245,-1.2064637966185288,-0.49426234582709005,MNE
2017-07-01,8.738692937861202,2.692178788495038,1.437000042432149,-4.936022831735631,29.985408233537413,12.507049932783044,9.438760430662075,MNE
2017-10-01,6.768833184876533,2.187011393055181,0.5720388806965122,-8.360930542599842,12.778457716236847,33.80749599865638,38.60546636443794,MNE
2018-01-01,7.623020064856423,2.746051460400859,-0.6528362572052712,-13.375809644294845,32.480684655219186,27.839151671379003,26.817890937522048,MNE
2018-04-01,9.496288482498771,3.164256642731455,0.210965311715853,-7.499835928566112,34.439013242485174,24.96232327109682,23.433263950072146,MNE
2018-07-01,7.918952535345269,2.703410834660598,1.162396635759731,1.0066332715754633,-13.96128169894003,10.436611597520628,15.523725490014172,MNE
