quarter,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,country
1980-01-01,,,,,PAN
1980-04-01,,,,,PAN
1980-07-01,,,,,PAN
1980-10-01,,,,,PAN
1981-01-01,,,0.0,,PAN
1981-04-01,,,0.0,,PAN
1981-07-01,,,0.0,,PAN
1981-10-01,,,0.0,,PAN
1982-01-01,,,0.0,,PAN
1982-04-01,,,0.0,,PAN
1982-07-01,,,0.0,,PAN
1982-10-01,,,0.0,,PAN
1983-01-01,,,0.0,,PAN
1983-04-01,,,0.0,,PAN
1983-07-01,,,0.0,,PAN
1983-10-01,,,0.0,,PAN
1984-01-01,,,0.0,,PAN
1984-04-01,,,0.0,,PAN
1984-07-01,,,0.0,,PAN
1984-10-01,,,0.0,,PAN
1985-01-01,,,0.0,,PAN
1985-04-01,,,0.0,,PAN
1985-07-01,,,0.0,,PAN
1985-10-01,,,0.0,,PAN
1986-01-01,,,0.0,,PAN
1986-04-01,,,0.0,,PAN
1986-07-01,,,0.0,,PAN
1986-10-01,,,0.0,,PAN
1987-01-01,,,0.0,,PAN
1987-04-01,,,0.0,,PAN
1987-07-01,,,0.0,,PAN
1987-10-01,,,0.0,,PAN
1988-01-01,,,0.0,,PAN
1988-04-01,,,0.0,,PAN
1988-07-01,,,0.0,,PAN
1988-10-01,,,0.0,,PAN
1989-01-01,,,0.0,,PAN
1989-04-01,,,0.0,,PAN
1989-07-01,,,0.0,,PAN
1989-10-01,,,0.0,,PAN
1990-01-01,,,0.0,,PAN
1990-04-01,,,0.0,,PAN
1990-07-01,,,0.0,,PAN
1990-10-01,,,0.0,,PAN
1991-01-01,,,0.0,,PAN
1991-04-01,,,0.0,,PAN
1991-07-01,,,0.0,,PAN
1991-10-01,,,0.0,,PAN
1992-01-01,,,0.0,,PAN
1992-04-01,,,0.0,,PAN
1992-07-01,,,0.0,,PAN
1992-10-01,,,0.0,,PAN
1993-01-01,,,0.0,,PAN
1993-04-01,,,0.0,,PAN
1993-07-01,,,0.0,,PAN
1993-10-01,,,0.0,,PAN
1994-01-01,,,0.0,,PAN
1994-04-01,,,0.0,,PAN
1994-07-01,,,0.0,,PAN
1994-10-01,,,0.0,,PAN
1995-01-01,,,0.0,,PAN
1995-04-01,,,0.0,,PAN
1995-07-01,,,0.0,,PAN
1995-10-01,,,0.0,,PAN
1996-01-01,,,0.0,,PAN
1996-04-01,,,0.0,,PAN
1996-07-01,,,0.0,,PAN
1996-10-01,,,0.0,,PAN
1997-01-01,,,0.0,,PAN
1997-04-01,,,0.0,,PAN
1997-07-01,,,0.0,,PAN
1997-10-01,,,0.0,,PAN
1998-01-01,,,0.0,,PAN
1998-04-01,,,0.0,,PAN
1998-07-01,,,0.0,,PAN
1998-10-01,,,0.0,,PAN
1999-01-01,,,0.0,,PAN
1999-04-01,,,0.0,,PAN
1999-07-01,,,0.0,,PAN
1999-10-01,,,0.0,,PAN
2000-01-01,,,0.0,,PAN
2000-04-01,,,0.0,,PAN
2000-07-01,,,0.0,,PAN
2000-10-01,,,0.0,,PAN
2001-01-01,,,0.0,,PAN
2001-04-01,,,0.0,,PAN
2001-07-01,,,0.0,,PAN
