quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,SLV
1980-04-01,,,,,,,,SLV
1980-07-01,,,,,,,,SLV
1980-10-01,,,,,,,,SLV
1981-01-01,,,,0.0,,,,SLV
1981-04-01,,,,0.0,,,,SLV
1981-07-01,,,,0.0,,,,SLV
1981-10-01,,,,0.0,,,,SLV
1982-01-01,,,,0.0,-20.488710281329336,-3.9608610966191393,-104.66957042185217,SLV
1982-04-01,,,,0.0,-8.25411798002521,-14.922349609700202,-30.15163181558459,SLV
1982-07-01,,,,0.0,7.494687673776523,-19.12143842204982,-57.605232543309135,SLV
1982-10-01,,,,0.0,-20.610053217736592,-10.926943440501201,39.75989053562514,SLV
1983-01-01,,,,0.0,-51.22863249972691,-4.784899219329997,4813.912778407915,SLV
1983-04-01,,,,0.0,71.65173577247835,-8.91223199821517,-250.59179112839269,SLV
1983-07-01,,,,0.0,3.961980463500425,8.11506627380516,23.34081599140252,SLV
1983-10-01,,,,0.0,14.044005782370416,21.489483658408083,43.628373839629695,SLV
1984-01-01,,,,0.0,122.85044424990694,23.583253781478298,-78.63907655323911,SLV
1984-04-01,,,,0.0,-36.9404105085618,15.17883296465763,-163.03609393709831,SLV
1984-07-01,,,,0.0,-10.413651509541921,7.806573287279339,64.10927559846765,SLV
1984-10-01,,,,0.0,-12.991414861321182,-3.3448369430208125,19.430707376912302,SLV
1985-01-01,,,,0.0,-25.30040042125854,-5.0279204755279245,212.76331920727145,SLV
1985-04-01,,,,0.0,4.020223480355023,4.33381911901376,5.406518013174444,SLV
1985-07-01,,,,0.0,5.531931503259568,1.8228994313221003,-4.43379297255817,SLV
1985-10-01,,,,0.0,0.9397512550179732,-7.2761946529540715,-21.408049298399725,SLV
1986-01-01,,,,76.344,31.05179920770167,7.384434088819081,-53.34313525613821,SLV
1986-04-01,,,,100.0,14.211014881267946,2.5845904939853392,-36.66221434055819,SLV
1986-07-01,,,,100.0,12.122978815048935,-17.15560111194533,-71.6954288479769,SLV
1986-10-01,,,,100.0,-26.11947195708504,-12.032115051580838,19.089008660672068,SLV
1987-01-01,,,,13.414689470580242,-33.58064977254065,-2.901040636066543,218.21143458877225,SLV
1987-04-01,,,,0.0,-20.50683251561505,0.8668525651257086,130.96845780804176,SLV
1987-07-01,,,,0.0,-24.367184033071233,22.31950996520795,366.82402877679993,SLV
1987-10-01,,,,0.0,15.163045959657229,19.085491966486522,24.461266396263138,SLV
1988-01-01,,,,0.0,14.65906595376505,-3.919394391270836,-31.867474852479994,SLV
