quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,,UKR
1980-04-01,,,,,,,,UKR
1980-07-01,,,,,,,,UKR
1980-10-01,,,,,,,,UKR
1981-01-01,,,,,,,,UKR
1981-04-01,,,,,,,,UKR
1981-07-01,,,,,,,,UKR
1981-10-01,,,,,,,,UKR
1982-01-01,,,,,,,,UKR
1982-04-01,,,,,,,,UKR
1982-07-01,,,,,,,,UKR
1982-10-01,,,,,,,,UKR
1983-01-01,,,,,,,,UKR
1983-04-01,,,,,,,,UKR
1983-07-01,,,,,,,,UKR
1983-10-01,,,,,,,,UKR
1984-01-01,,,,,,,,UKR
1984-04-01,,,,,,,,UKR
1984-07-01,,,,,,,,UKR
1984-10-01,,,,,,,,UKR
1985-01-01,,,,,,,,UKR
1985-04-01,,,,,,,,UKR
1985-07-01,,,,,,,,UKR
1985-10-01,,,,,,,,UKR
1986-01-01,,,,,,,,UKR
1986-04-01,,,,,,,,UKR
1986-07-01,,,,,,,,UKR
1986-10-01,,,,,,,,UKR
1987-01-01,,,,,,,,UKR
1987-04-01,,,,,,,,UKR
1987-07-01,,,,,,,,UKR
1987-10-01,,,,,,,,UKR
1988-01-01,,,,,,,,UKR
1988-04-01,,,,,,,,UKR
1988-07-01,,,,,,,,UKR
1988-10-01,,,,,,,,UKR
1989-01-01,,,,,,,,UKR
1989-04-01,,,,,,,,UKR
1989-07-01,,,,,,,,UKR
1989-10-01,,,,,,,,UKR
1990-01-01,,,,,,,,UKR
1990-04-01,,,,,,,,UKR
1990-07-01,,,,,,,,UKR
1990-10-01,,,,,,,,UKR
1991-01-01,,,,,,,,UKR
1991-04-01,,,,,,,,UKR
1991-07-01,,,,,,,,UKR
1991-10-01,,,,,,,,UKR
1992-01-01,,,,,,,,UKR
1992-04-01,,,,,,,,UKR
1992-07-01,,,,,,,,UKR
1992-10-01,,,,,,,,UKR
1993-01-01,,,,,497.8202366473034,432.8195738649769,214.72871655773184,UKR
1993-04-01,,,,,304.73286158196436,361.10579090315093,2757.933363047689,UKR
1993-07-01,,,,,91.68441520126025,42.108177722377846,-483.33760634156636,UKR
1993-10-01,,,,,123.48813470446478,35.91771265988679,-102.89342632394603,UKR
1994-01-01,,,,1002.9154840500141,146.60956011639902,191.27452598135642,475.93090627602317,UKR
1994-04-01,,,,341.7330940911782,149.30045120253052,145.02967480475547,119.31450523667215,UKR
1994-07-01,,,,291.73573481919203,131.89823793911808,230.8798470642857,-293.70318097077876,UKR
1994-10-01,,,,900.201844825617,106.75969702754213,112.81271962461061,-628.2947877447048,UKR
1995-01-01,,,,856.8067671160453,44.02343789825165,72.7046674038619,150.97392322539457,UKR
1995-04-01,,,,846.9472894743012,43.55251394415398,65.4764822351512,215.533887272563,UKR
1995-07-01,,,,625.7312741312743,55.64187263664711,65.61971874201633,128.92751895079488,UKR
1995-10-01,,,,114.62848609597613,88.67731744266976,128.60738618690917,2041.9755192477319,UKR
1996-01-01,,,,54.7284396065864,34.37451636239528,3.4588703775831897,-44.955728645434576,UKR
1996-04-01,,,,36.976922734225326,9.956538334127352,-6.817393364380564,-59.04954681116651,UKR
1996-07-01,,,,12.805163105353978,-14.47381024116422,-23.403283664528363,-61.92225821107318,UKR
1996-10-01,,,,3.7618586458812997,-30.822729754093857,-19.64641414677989,27.527544931170578,UKR
1997-01-01,,,,-0.5079964816316229,-8.221203373632358,-14.208636677437891,-37.09851528426701,UKR
1997-04-01,,,,0.255976627645893,-5.554004557271663,1.6397982519040344,61.78817852743421,UKR
1997-07-01,,,,5.145625351701466,-1.3328992619571323,6.343570399693066,80.72051704122065,UKR
1997-10-01,,,,2.316098515739684,12.949196422733467,-2.8443536635263222,-39.005555187829785,UKR
1998-01-01,,,,5.8792914700023235,-8.305504109283158,-4.52824989236289,16.541553251020513,UKR
1998-04-01,,,,10.810128863656821,-13.583904802470093,-9.975722840053812,7.635544168210373,UKR
1998-07-01,,,,26.86235108368018,-10.465004872532091,-15.738691719084041,-43.63559853973008,UKR
1998-10-01,,,,82.00931682519439,-12.38120570280008,-26.125417620862123,-84.39954728350456,UKR
1999-01-01,,,,80.86851873824091,-21.160974721513583,-26.351951848334743,-49.13416147968802,UKR
1999-04-01,,,,92.03357025519252,-6.46786089654654,-31.75564566789346,-130.8506781841921,UKR
1999-07-01,,,,82.73462691633198,-10.733646158437892,-25.617398331343043,-150.68420437786867,UKR
1999-10-01,,,,37.868952966707866,5.321790023173745,11.614470861249849,161.4627394793027,UKR
2000-01-01,,,,53.618787895826884,30.453869912604613,14.052447608446883,-97.5164848351079,UKR
2000-04-01,,,,37.74180980451942,24.792767361039747,27.73496918508991,-7.220063278674704,UKR
2000-07-01,,,,26.277784657296756,32.032948272182416,27.967058369202725,88.13988402685379,UKR
2000-10-01,,,,15.137996753017568,16.205537582242457,5.239729056306053,-99.94800680714766,UKR
2001-01-01,21.331517533814104,,,-0.6594599870670348,22.99296743057142,8.642937448472177,-5118.845925351135,UKR
2001-04-01,22.67676634379372,,,-0.18323915168881877,10.818740346564027,10.840513303478039,10.492584802321737,UKR
2001-07-01,15.146961239704915,,,-1.5892278179221675,7.159659955083009,12.95160165827256,-47.203217090905106,UKR
2001-10-01,22.360899782045472,,,-2.5730155226954987,6.850893203651265,18.877446827951495,257856.31539886582,UKR
2002-01-01,12.578760745899341,,,-2.0154629362384213,-4.429788641497789,1.81495718137763,-52.86688030556172,UKR
2002-04-01,7.822551149932222,,,-1.5308228249687361,9.131620448175259,7.8278016978647,28.72412559840518,UKR
2002-07-01,10.284920083391235,,,-0.43221563449754585,10.641630360292131,10.782452142643484,7.813932384205713,UKR
2002-10-01,11.737720344821788,,,0.627363625494759,25.96128778721727,9.169894948021561,-139.94584887166369,UKR
2003-01-01,19.14937007160338,,,0.28328079268484796,47.28697144755951,26.109671997076546,402.1161018272769,UKR
2003-04-01,21.31212961669693,,,0.09821953630368974,38.30376056999791,40.16166609463199,14.917155906573477,UKR
2003-07-01,16.513747368097498,,,0.050039406032253986,27.51914908508244,46.02808845374551,-354.37306500696934,UKR
2003-10-01,17.530905044064117,,,0.024137672277935174,29.121692350828443,51.088603239993205,-564.0474796442796,UKR
2004-01-01,27.381473099671005,,,-0.061283286774038714,27.42258399665669,33.675429209023534,1.109568907959435,UKR
2004-04-01,29.2920819763808,,,-0.1370349305950369,31.347793983901173,17.03068004118622,251.15575193394614,UKR
2004-07-01,31.12040310241122,,,-0.3375970591545152,41.22531352820336,19.300319346097282,-218.46995400928054,UKR
2004-10-01,28.110964670957507,,,-0.4773854581237247,36.91892374962029,16.040261433383684,-146.64255258167307,UKR
2005-01-01,31.535808662157926,,,-0.5916469298857252,25.11223127387794,21.544714128929886,44.960303618750345,UKR
2005-04-01,29.386695841337286,,,-4.265352657285392,15.291611053871002,28.288622272481234,-51.20987744413847,UKR
2005-07-01,23.596398571500423,,,-4.944195616445224,-8.627384556399686,26.777045426163305,-430.92199776826004,UKR
2005-10-01,28.625649220934868,,,-4.831303277195332,-11.203393656269544,22.16822236231497,-741.1355532127621,UKR
