quarter,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,country
1983-01-01,,,,,VNM
1983-04-01,,,,,VNM
1983-07-01,,,,,VNM
1983-10-01,,,,,VNM
1984-01-01,,,5.3442959830344305,,VNM
1984-04-01,,,4.224728562629365,,VNM
1984-07-01,,,0.4772722405171903,,VNM
1985-10-01,,,2143.1636272497267,,VNM
1986-01-01,,,2131.7436601064087,,VNM
1986-04-01,,,2131.7436601064087,,VNM
1986-07-01,,,2131.7436601064087,,VNM
1986-10-01,,,0.0,,VNM
1987-01-01,,,0.0,,VNM
1987-04-01,,,0.0,,VNM
1987-07-01,,,0.0,,VNM
1987-10-01,,,976.888888929714,,VNM
1988-01-01,,,1150.0000002179909,,VNM
1988-04-01,,,1150.0000002179909,,VNM
1988-07-01,,,3066.6666667867203,,VNM
1988-10-01,,,364.30045396506443,,VNM
1989-01-01,,,684.1970369300086,,VNM
1989-04-01,,,1811.1111108502764,,VNM
1989-07-01,,,584.2105263816355,,VNM
1989-10-01,,,362.9629629805139,,VNM
1990-01-01,,,143.70292424681864,,VNM
1990-04-01,,,3.999999997355208,,VNM
1990-07-01,,,38.46153844821312,,VNM
1990-10-01,,,52.400000000000006,,VNM
1991-01-01,,,63.56589147243537,,VNM
1991-04-01,,,63.983303522357524,,VNM
1991-07-01,,,51.97530864197517,,VNM
1991-10-01,,,44.8818898049749,,VNM
1992-01-01,,,29.709058238987083,,VNM
1992-04-01,,,21.19842999962667,,VNM
1992-07-01,,,5.51011621245916,,VNM
1992-10-01,,,-7.664705247943948,,VNM
1993-01-01,,,-9.512025875417162,,VNM
1993-04-01,,,-6.744367430429832,,VNM
1993-07-01,,,-3.256699193377899,,VNM
1993-10-01,,,-0.14781055613721783,,VNM
1994-01-01,,,3.4904539332963003,,VNM
1994-04-01,,,3.787281047814428,,VNM
1994-07-01,,,2.9697404990163268,,VNM
1994-10-01,,,1.9860605686794042,,VNM
1995-01-01,,,1.5125998958939624,,VNM
1995-04-01,,,0.8027976280979177,,VNM
1995-07-01,,,0.4336750166798353,,VNM
1995-10-01,,,-0.0907166616268551,,VNM
1996-01-01,,,-0.33782764757334105,,VNM
1996-04-01,,,-0.3197683188030376,,VNM
1996-07-01,,,-0.18117583114412028,,VNM
1996-10-01,,,0.6355932203389925,,VNM
1997-01-01,,,2.542295935353045,,VNM
1997-04-01,,,5.825742214689988,,VNM
1997-07-01,,,6.077381492573464,,VNM
1997-10-01,,,9.127819548872207,,VNM
1998-01-01,,,11.865057111655485,,VNM
1998-04-01,,,11.39041409288495,,VNM
1998-07-01,,,15.967033593794522,,VNM
1998-10-01,,,14.920766156814125,,VNM
1999-01-01,,,9.933774834437092,,VNM
1999-04-01,,,7.137172344740783,,VNM
1999-07-01,,,2.990286487151095,,VNM
1999-10-01,,,0.8177654140386625,,VNM
2000-01-01,,,1.1856189699034791,,VNM
2000-04-01,,,1.1837722556373276,,VNM
2000-07-01,,,1.1413290036055068,,VNM
2000-10-01,,,2.92340627973362,,VNM
2001-01-01,,,3.5175521821632305,,VNM
2001-04-01,,,4.037892243931296,,VNM
2001-07-01,,,3.815009797209523,,VNM
2001-10-01,,,4.356467678938714,,VNM
2002-01-01,,,4.241229979607275,,VNM
2002-04-01,,,4.165718188026402,,VNM
2002-07-01,,,4.538942581011973,,VNM
2002-10-01,,,2.1592771404526756,,VNM
2003-01-01,3.908515474089863,4.43805953715346,1.7233041719787012,,VNM
2003-04-01,3.632731110562982,2.441948172066938,1.4335664335664466,,VNM
2003-07-01,2.840683129361412,1.253410753234241,1.2942942289704273,,VNM
2003-10-01,2.566747355866407,1.997744345086973,1.5738472544386317,,VNM
2004-01-01,4.244533147877713,5.531579337324327,1.888586369333134,,VNM
2004-04-01,7.112805415473047,12.1795035966526,1.6998448810754851,,VNM
2004-07-01,9.707152379432182,16.38401369638132,1.4731778550874264,,VNM
2004-10-01,9.962484113581008,16.0338862909963,1.0415110447124398,,VNM
2005-01-01,9.057060860815104,14.21297246274374,0.5810994231422173,,VNM
2005-04-01,8.057851437672488,11.11563782157896,0.6800127105179632,,VNM
2005-07-01,7.560105208022218,9.228926575822912,0.8084313891475237,,VNM
2005-10-01,8.493056540163744,10.36357220651381,0.7984284899562821,,VNM
2006-01-01,8.311890556899408,9.998367035370485,0.7084721460802079,21.90000000000001,VNM
2006-04-01,7.403402394946892,8.2740740847097,0.7701047847493925,16.877256317689525,VNM
2006-07-01,7.239112634541836,8.226162460270777,0.8649284124784717,12.11155378486055,VNM
2006-10-01,6.757202767105762,8.137952255636305,1.0687118878481172,17.063166529942574,VNM
2007-01-01,6.62505218152067,7.644326908778414,0.6385829739122828,16.817063166529934,VNM
2007-04-01,7.421068095610992,9.129843456617683,0.6639939864695465,16.370656370656377,VNM
2007-07-01,8.5861421154455,12.11757510317746,1.1894850768013887,9.097370291400143,VNM
2007-10-01,10.66830570064103,15.9304315866422,0.28197632228232905,12.68395234758235,VNM
2008-01-01,16.40244063190689,25.99865669765233,0.2309276634697488,3.300561797752821,VNM
2008-04-01,24.48864551196368,40.71247898489186,0.2468367558597917,16.191108161911096,VNM
2008-07-01,27.75358363957079,43.8389154207764,1.8357587288527766,18.762214983713378,VNM
2008-10-01,23.56226940777627,36.58934530111635,2.5699340459404585,3.917910447761197,VNM
2009-01-01,14.43098520090508,22.09069962183017,5.69554568475239,20.258327668252885,VNM
2009-04-01,6.198713142171692,7.777688275196892,5.164600964224397,-9.137635636778985,VNM
2009-07-01,2.564411539592078,1.949964679674733,2.833770955362591,-11.464618760285262,VNM
2009-10-01,4.613341338599187,3.942593913661308,5.061479540415248,2.333931777378795,VNM
2010-01-01,8.518523486326018,9.142961587720418,7.474176191037296,-11.305822498586771,VNM
2010-04-01,8.989575245098514,9.371586360255971,9.457943925233604,22.375864236329335,VNM
2010-07-01,8.43416429050404,10.13925251952901,10.382417064403992,26.0842627013631,VNM
2010-10-01,10.83984289358319,14.31084974507409,8.969513248019002,21.111111111111146,VNM
2011-01-01,12.79677551788672,17.39291982525583,9.49239877210928,20.52262587635436,VNM
2011-04-01,19.37473523485619,27.64309608113143,11.471814782858768,10.888546481766802,VNM
2011-07-01,22.5336510294509,33.35923020165361,10.066015409526896,21.228501228501216,VNM
2011-10-01,19.8260188920372,28.11135652090802,9.73307979435174,18.348623853210988,VNM
2012-01-01,15.93103177779864,20.64056163299175,4.27381806651872,20.359598096245346,VNM
2012-04-01,8.571281898292977,8.831390606257534,0.7578933789144537,23.06623436776285,VNM
2012-07-01,5.626214096463891,2.488819037353119,1.0152612519399584,13.822456424807438,VNM
2012-10-01,6.961241584373232,1.49851726183862,0.2567229317758546,20.481436148510813,VNM
2013-01-01,6.908996804178195,1.554443236435036,0.0,20.386643233743417,VNM
2013-04-01,6.550737596755405,1.610030114931238,0.027206964983061965,16.183665788483246,VNM
2013-07-01,7.021912568981691,2.909305024701508,0.998655655847891,16.666666666666675,VNM
2013-10-01,5.913112104296039,4.694531542073457,0.998655655847891,17.47375550287842,VNM
2014-01-01,4.825592965052929,3.5686244819822,0.998655655847891,15.766423357664227,VNM
2014-04-01,4.717137256271644,4.478962939109031,1.1055823106830065,15.613864593456439,VNM
2014-07-01,4.285847815421873,4.865998932541441,0.998288648031953,13.461538461538481,VNM
2014-10-01,2.556794450732735,3.108466668287533,0.998288648031953,13.980974344191388,VNM
2015-01-01,0.7349981754521594,2.139531202733838,1.9712239335742066,16.361916771752895,VNM
2015-04-01,0.981707345443588,1.878552792615382,2.5509558171920244,17.25973662090223,VNM
2015-07-01,0.5016671690197168,1.020574363541686,2.834745363833191,19.34355663169218,VNM
2015-10-01,0.3107549072384405,0.8886530375508453,3.031158806363554,12.92362164896308,VNM
2016-01-01,1.253871893219374,1.622438273210987,2.0456551466931483,11.83960986182604,VNM
2016-04-01,2.189627627166477,2.433278317671087,1.3188383433121675,8.817204301075222,VNM
2016-07-01,2.76941801479059,2.551513693673517,0.19670512432641285,9.174932371505884,VNM
2016-10-01,4.448160873730204,2.846187375230206,0.836287498096544,12.900335946248621,VNM
2017-01-01,4.960865249388721,0.9833837511826096,1.4918738717941027,13.226744186046524,VNM
2017-04-01,3.340184784376092,-1.99000537097529,2.2153970245509136,21.58541941150642,VNM
2017-07-01,3.093644247199827,-1.750184983157517,2.5165918676170795,21.82531488746644,VNM
2017-10-01,2.72947818698587,-1.544403890293601,1.712494520093033,23.963499305693304,VNM
2018-01-01,2.822255260339163,-0.1158210286332493,0.9843189851894918,22.314933675652536,VNM
2018-04-01,3.754520103910991,3.143407780440988,0.8151742293549535,7.440852447173563,VNM
2018-07-01,4.136804714781693,4.986456739989253,1.0399474322733138,13.898305084745765,VNM
2018-10-01,3.444363071055502,4.988924184809355,1.306961110527971,6.5930548887821905,VNM
2019-01-01,2.633999295483766,5.179812129588886,2.08318537314347,6.839251355606102,VNM
2019-04-01,2.653962556430124,3.37262323188059,2.1439735384165104,11.682635737098646,VNM
2019-07-01,2.225195055591639,1.947431039296383,1.9092079220728753,12.872023809523814,VNM
2019-10-01,3.660808082572081,5.807977095648193,1.7980032380003452,10.388830505930024,VNM
2020-01-01,5.565078420763981,10.21918313837305,1.3095031730028461,8.431565160445299,VNM
2020-04-01,2.830654345920678,12.11657213822459,0.901376438501722,-7.796508127633938,VNM
2020-07-01,3.1820625413279,11.47183988357895,0.4514794791693255,7.356624917600496,VNM
2020-10-01,1.371379581868022,6.200571178208415,0.08907245015175036,11.464708282333746,VNM
2021-01-01,0.2922774044580608,1.583431802231104,-0.19301359552303943,18.465951985505068,VNM
2021-04-01,2.670135308965904,0.1487500354592622,-0.3306568740148341,28.207639569049924,VNM
2021-07-01,2.507053262937269,0.9894133135808316,-0.22336814171490804,-2.296450939457184,VNM
2021-10-01,1.89201314422051,0.186131949699572,-0.08997128686126787,11.73743289409468,VNM
2022-01-01,1.924692809683553,0.2196315498748844,-0.14630604934576796,7.812898292123371,VNM
2022-04-01,2.958794167064956,1.556057238704197,-0.2571818850719776,15.11331805449454,VNM
2022-07-01,3.322963161159216,3.312331340088091,0.27281552210365323,14.316239316239287,VNM
2022-10-01,4.408031329595697,5.191691265900715,2.055856041847637,-8.244158113125144,VNM
2023-01-01,4.178882399154638,4.773091262931581,2.142729565966106,-11.47889821491902,VNM
2023-04-01,2.41135581889295,3.513488066533738,2.478947224931294,-9.866165247207192,VNM
2023-07-01,2.893468495084052,2.590153011966723,2.8855180981969486,-1.3084112149532645,VNM
2023-10-01,3.540158405170854,2.905995109541088,1.3795638787139408,8.853980721171006,VNM
2024-01-01,3.772693289591376,3.528865847506654,1.5492050534927415,18.763354700854684,VNM
2024-04-01,4.394927748621211,4.483536149751401,2.2048443543645657,16.186035096330855,VNM
2024-07-01,3.474171561648158,3.982190427446743,1.3645250005510645,14.672459893048128,VNM
2024-10-01,2.866522688717436,4.146230770858109,1.2364336964743705,9.653438285776762,VNM
2025-01-01,3.221636983667606,3.780703018142189,2.385855973360762,10.62633531991457,VNM
2025-04-01,,,3.1151020183309175,17.321504013519217,VNM
2025-07-01,,,,18.838045273486827,VNM
