country_add,dates,moisture_a12m
AUS,01-Jan-1997,-2.2549312360717e-07
AUS,01-Apr-1997,-7.42290467083617e-07
AUS,01-Jul-1997,-4.23531996361493e-06
AUS,01-Oct-1997,-7.25618392480129e-06
AUS,01-Jan-1998,-1.12809013529782e-05
AUS,01-Apr-1998,-5.82538925642683e-06
AUS,01-Jul-1998,-3.34442336217567e-06
AUS,01-Oct-1998,-1.33019353659797e-06
AUS,01-Jan-1999,-3.25591437604796e-07
AUS,01-Apr-1999,-9.28243113905138e-07
AUS,01-Jul-1999,-2.08171052438795e-06
AUS,01-Oct-1999,-1.15590786526571e-06
AUS,01-Jan-2000,-2.40126241734681e-06
AUS,01-Apr-2000,-1.69572519432e-06
AUS,01-Jul-2000,-8.18953270458059e-07
AUS,01-Oct-2000,-1.86116213353644e-06
AUS,01-Jan-2001,-8.13308133874366e-06
AUS,01-Apr-2001,-9.84625290436115e-06
AUS,01-Jul-2001,-9.60950015890677e-06
AUS,01-Oct-2001,-9.70296939105782e-06
AUS,01-Jan-2002,-1.20674657014754e-05
AUS,01-Apr-2002,-1.10719302971864e-05
AUS,01-Jul-2002,-1.95221853378823e-05
AUS,01-Oct-2002,-2.9006655036231e-05
AUS,01-Jan-2003,-2.91584470614075e-05
AUS,01-Apr-2003,-2.30735292178455e-05
AUS,01-Jul-2003,-1.38882264803186e-05
AUS,01-Oct-2003,-4.42591781079124e-06
AUS,01-Jan-2004,-4.99311122172938e-06
AUS,01-Apr-2004,-7.96642117326973e-06
AUS,01-Jul-2004,-1.08656123174587e-05
AUS,01-Oct-2004,-1.2179333034337e-05
AUS,01-Jan-2005,-9.6196449699234e-06
AUS,01-Apr-2005,-7.44727870111643e-06
AUS,01-Jul-2005,-6.12570283532289e-06
AUS,01-Oct-2005,-3.51933981862045e-06
AUS,01-Jan-2006,-4.25944988101676e-06
AUS,01-Apr-2006,-6.29132876893652e-06
AUS,01-Jul-2006,-1.29507761514412e-05
AUS,01-Oct-2006,-3.09302987525345e-05
AUS,01-Jan-2007,-3.41155806783723e-05
AUS,01-Apr-2007,-2.69651355097249e-05
AUS,01-Jul-2007,-2.54361460821971e-05
AUS,01-Oct-2007,-9.71181513026515e-06
AUS,01-Jan-2008,-7.79940853917317e-06
AUS,01-Apr-2008,-1.24004117550167e-05
AUS,01-Jul-2008,-8.93556691562769e-06
AUS,01-Oct-2008,-1.14397407426943e-05
AUS,01-Jan-2009,-1.56881896836425e-05
AUS,01-Apr-2009,-1.23077819164267e-05
AUS,01-Jul-2009,-1.05512976213637e-05
AUS,01-Oct-2009,-1.45028055356624e-05
AUS,01-Jan-2010,-6.60106020879592e-06
AUS,01-Apr-2010,-6.88192373122018e-06
AUS,01-Jul-2010,-7.12560702734155e-06
AUS,01-Oct-2010,-8.21561933126549e-06
AUS,01-Jan-2011,-7.46931377090674e-06
