country,quarter,PRITHVI_MOISTURE_EXTENT
BRA,1981-01-01,0.011566032533774468
BRA,1981-04-01,0.04256961676316515
BRA,1981-07-01,0.18439481665288115
BRA,1981-10-01,0.028866832092638545
BRA,1982-01-01,0.007609594706368901
BRA,1982-04-01,0.04936586710780259
BRA,1982-07-01,0.11441963054866282
BRA,1982-10-01,0.053129307968017646
BRA,1983-01-01,0.022677143644885583
BRA,1983-04-01,0.04855252274607113
BRA,1983-07-01,0.1599255583126551
BRA,1983-10-01,0.046470912599944854
BRA,1984-01-01,0.007196029776674938
BRA,1984-04-01,0.05019299696719051
BRA,1984-07-01,0.09605734767025088
BRA,1984-10-01,0.015177832919768403
BRA,1985-01-01,0.02288392610973256
BRA,1985-04-01,0.06025641025641026
BRA,1985-07-01,0.09904880066170389
BRA,1985-10-01,0.022249793217535157
BRA,1986-01-01,0.005638268541494348
BRA,1986-04-01,0.05861593603529087
BRA,1986-07-01,0.07633030052384891
BRA,1986-10-01,0.006382685414943479
BRA,1987-01-01,0.00878136200716846
BRA,1987-04-01,0.02015439757375241
BRA,1987-07-01,0.1570168183071409
BRA,1987-10-01,0.05141990625861594
BRA,1988-01-01,0.01815550041356493
BRA,1988-04-01,0.04937965260545906
BRA,1988-07-01,0.22041632202922526
BRA,1988-10-01,0.011497105045492144
BRA,1989-01-01,0.005886407499310725
BRA,1989-04-01,0.019823545629997243
BRA,1989-07-01,0.07253928866832092
BRA,1989-10-01,0.017590295009649846
BRA,1990-01-01,0.003280948442238765
BRA,1990-04-01,0.037027846705266064
BRA,1990-07-01,0.08016266887234628
BRA,1990-10-01,0.037096774193548385
BRA,1991-01-01,0.014130135097877033
BRA,1991-04-01,0.024165977391783843
BRA,1991-07-01,0.1715605183347119
BRA,1991-10-01,0.0651778329197684
BRA,1992-01-01,0.019148056244830437
BRA,1992-04-01,0.06141439205955335
BRA,1992-07-01,0.13198235456299973
BRA,1992-10-01,0.04797353184449959
BRA,1993-01-01,0.009567135373586987
BRA,1993-04-01,0.03424317617866005
BRA,1993-07-01,0.14216983733112765
BRA,1993-10-01,0.02338020402536532
BRA,1994-01-01,0.007678522194651227
BRA,1994-04-01,0.004811138682106424
BRA,1994-07-01,0.12295285359801489
BRA,1994-10-01,0.031113868210642406
BRA,1995-01-01,0.0257788806175903
BRA,1995-04-01,0.03512544802867384
BRA,1995-07-01,0.19882823269920044
BRA,1995-10-01,0.02875654811138682
BRA,1996-01-01,0.007292528260270196
BRA,1996-04-01,0.06421284808381583
BRA,1996-07-01,0.1538323683484974
BRA,1996-10-01,0.025530741659773915
BRA,1997-01-01,0.004921422663358147
BRA,1997-04-01,0.054962779156327544
BRA,1997-07-01,0.17499310725117176
BRA,1997-10-01,0.06611524676040804
BRA,1998-01-01,0.019851116625310177
BRA,1998-04-01,0.069520264681555
BRA,1998-07-01,0.21503997794320373
BRA,1998-10-01,0.03196856906534326
BRA,1999-01-01,0.004480286738351254
BRA,1999-04-01,0.05194375516956162
BRA,1999-07-01,0.20854700854700856
BRA,1999-10-01,0.016073890267438655
BRA,2000-01-01,0.0018472566859663636
BRA,2000-04-01,0.07455197132616488
BRA,2000-07-01,0.08646264130135099
BRA,2000-10-01,0.02772263578715192
BRA,2001-01-01,0.012503446374414117
BRA,2001-04-01,0.04717397298042459
BRA,2001-07-01,0.16428177557209817
BRA,2001-10-01,0.04575406672180865
BRA,2002-01-01,0.010311552247036117
BRA,2002-04-01,0.07630272952853598
BRA,2002-07-01,0.1740556934105321
BRA,2002-10-01,0.045092362834298315
BRA,2003-01-01,0.02019575406672181
BRA,2003-04-01,0.051599117728149985
BRA,2003-07-01,0.18083815825751307
BRA,2003-10-01,0.03564929693961952
BRA,2004-01-01,0.013854425144747726
BRA,2004-04-01,0.04528535980148884
BRA,2004-07-01,0.1610283981251723
BRA,2004-10-01,0.044665012406947896
BRA,2005-01-01,0.007954232147780535
BRA,2005-04-01,0.04893851668045216
BRA,2005-07-01,0.23462917011304107
BRA,2005-10-01,0.040102012682657846
BRA,2006-01-01,0.008712434518886132
BRA,2006-04-01,0.10352908740005513
BRA,2006-07-01,0.20687896333057623
BRA,2006-10-01,0.03650399779432038
BRA,2007-01-01,0.022539288668320927
BRA,2007-04-01,0.0966914805624483
BRA,2007-07-01,0.24834574028122414
BRA,2007-10-01,0.03558036945133719
BRA,2008-01-01,0.00878136200716846
BRA,2008-04-01,0.0825475599669148
BRA,2008-07-01,0.22400055141990624
BRA,2008-10-01,0.03289219740832644
BRA,2009-01-01,0.004990350151640475
BRA,2009-04-01,0.03884753239591949
BRA,2009-07-01,0.16240694789081886
BRA,2009-10-01,0.05869864902122967
BRA,2010-01-01,0.015508684863523574
BRA,2010-04-01,0.08049352081610146
BRA,2010-07-01,0.2963330576233802
BRA,2010-10-01,0.019313482216708023
BRA,2011-01-01,0.0021643231320650678
BRA,2011-04-01,0.07894954507857734
BRA,2011-07-01,0.2580507306313758
BRA,2011-10-01,0.016225530741659774
BRA,2012-01-01,0.008547008547008546
BRA,2012-04-01,0.05405293631100083
BRA,2012-07-01,0.2929418251998897
BRA,2012-10-01,0.06666666666666667
BRA,2013-01-01,0.019258340226082162
BRA,2013-04-01,0.023063137579266608
BRA,2013-07-01,0.21293079680176455
BRA,2013-10-01,0.027791563275434247
BRA,2014-01-01,0.009636062861869315
BRA,2014-04-01,0.06082161566032534
BRA,2014-07-01,0.21116625310173698
BRA,2014-10-01,0.03613178935759581
BRA,2015-01-01,0.010601047697821891
BRA,2015-04-01,0.043603529087400054
BRA,2015-07-01,0.23482216708023163
BRA,2015-10-01,0.09794596084918666
BRA,2016-01-01,0.025544527157430386
BRA,2016-04-01,0.0696856906534326
BRA,2016-07-01,0.218927488282327
BRA,2016-10-01,0.03068651778329198
BRA,2017-01-01,0.006865177832919768
BRA,2017-04-01,0.05497656465398401
BRA,2017-07-01,0.27429004687069203
BRA,2017-10-01,0.041949269368624205
BRA,2018-01-01,0.011676316515026193
BRA,2018-04-01,0.09826302729528535
BRA,2018-07-01,0.18862696443341606
BRA,2018-10-01,0.030548662806727325
BRA,2019-01-01,0.019547835676867936
BRA,2019-04-01,0.06989247311827956
BRA,2019-07-01,0.2403225806451613
BRA,2019-10-01,0.027281499862145023
BRA,2020-01-01,0.026550868486352356
BRA,2020-04-01,0.06622553074165977
BRA,2020-07-01,0.2977667493796526
BRA,2020-10-01,0.04223876481940999
BRA,2021-01-01,0.01435070306038048
BRA,2021-04-01,0.10148883374689825
BRA,2021-07-01,0.27664736696994763
BRA,2021-10-01,0.013978494623655913
BRA,2022-01-01,0.008023159636062862
BRA,2022-04-01,0.06799007444168735
BRA,2022-07-01,0.2656878963330576
BRA,2022-10-01,0.019244554728425695
BRA,2023-01-01,0.006065618968844774
BRA,2023-04-01,0.07231872070581748
BRA,2023-07-01,0.2857044389302454
BRA,2023-10-01,0.10279845602426246
BRA,2024-01-01,0.024676040805073064
BRA,2024-04-01,0.1114419630548663
BRA,2024-07-01,0.35672732285635517
BRA,2024-10-01,0.08519437551695618
CHL,1981-01-01,0.015476190476190477
CHL,1981-04-01,0.06359649122807018
CHL,1981-07-01,0.02086466165413534
CHL,1981-10-01,0.013408521303258146
CHL,1982-01-01,0.012656641604010026
CHL,1982-04-01,0.09304511278195489
CHL,1982-07-01,0.09304511278195489
CHL,1982-10-01,0.011654135338345863
CHL,1983-01-01,0.027694235588972427
CHL,1983-04-01,0.02857142857142857
CHL,1983-07-01,0.014786967418546368
CHL,1983-10-01,0.02399749373433584
CHL,1984-01-01,0.041478696741854636
CHL,1984-04-01,0.07355889724310777
CHL,1984-07-01,0.08208020050125313
CHL,1984-10-01,0.009523809523809523
CHL,1985-01-01,0.013408521303258146
CHL,1985-04-01,0.056453634085213034
CHL,1985-07-01,0.03182957393483709
CHL,1985-10-01,0.03640350877192983
CHL,1986-01-01,0.007957393483709274
CHL,1986-04-01,0.018546365914786967
CHL,1986-07-01,0.05695488721804511
CHL,1986-10-01,0.03214285714285715
CHL,1987-01-01,0.02449874686716792
CHL,1987-04-01,0.02619047619047619
CHL,1987-07-01,0.04906015037593985
CHL,1987-10-01,0.004072681704260651
CHL,1988-01-01,0.03289473684210526
CHL,1988-04-01,0.06954887218045112
CHL,1988-07-01,0.09492481203007519
CHL,1988-10-01,0.008458646616541355
CHL,1989-01-01,0.02907268170426065
CHL,1989-04-01,0.054511278195488726
CHL,1989-07-01,0.06967418546365915
CHL,1989-10-01,0.007456140350877193
CHL,1990-01-01,0.02506265664160401
CHL,1990-04-01,0.0293859649122807
CHL,1990-07-01,0.03239348370927318
CHL,1990-10-01,0.006140350877192983
CHL,1991-01-01,0.038471177944862156
CHL,1991-04-01,0.05012531328320802
CHL,1991-07-01,0.06209273182957393
CHL,1991-10-01,0.015789473684210523
CHL,1992-01-01,0.02098997493734336
CHL,1992-04-01,0.042731829573934836
CHL,1992-07-01,0.07111528822055138
CHL,1992-10-01,0.02424812030075188
CHL,1993-01-01,0.02800751879699248
CHL,1993-04-01,0.04906015037593985
CHL,1993-07-01,0.03527568922305765
CHL,1993-10-01,0.01929824561403509
CHL,1994-01-01,0.03922305764411028
CHL,1994-04-01,0.0668546365914787
CHL,1994-07-01,0.06140350877192982
CHL,1994-10-01,0.02023809523809524
CHL,1995-01-01,0.0481203007518797
CHL,1995-04-01,0.05827067669172933
CHL,1995-07-01,0.049937343358395996
CHL,1995-10-01,0.03176691729323308
CHL,1996-01-01,0.019736842105263157
CHL,1996-04-01,0.04918546365914787
CHL,1996-07-01,0.06553884711779448
CHL,1996-10-01,0.011215538847117795
CHL,1997-01-01,0.04724310776942356
CHL,1997-04-01,0.08533834586466166
CHL,1997-07-01,0.041165413533834586
CHL,1997-10-01,0.008082706766917294
CHL,1998-01-01,0.04736842105263158
CHL,1998-04-01,0.08414786967418547
CHL,1998-07-01,0.05639097744360902
CHL,1998-10-01,0.02468671679197995
CHL,1999-01-01,0.04160401002506265
CHL,1999-04-01,0.06290726817042606
CHL,1999-07-01,0.03458646616541353
CHL,1999-10-01,0.030764411027568925
CHL,2000-01-01,0.03226817042606516
CHL,2000-04-01,0.06817042606516291
CHL,2000-07-01,0.07656641604010024
CHL,2000-10-01,0.005513784461152883
CHL,2001-01-01,0.008458646616541353
CHL,2001-04-01,0.04786967418546365
CHL,2001-07-01,0.07944862155388471
CHL,2001-10-01,0.04630325814536341
CHL,2002-01-01,0.011967418546365913
CHL,2002-04-01,0.04780701754385965
CHL,2002-07-01,0.06798245614035088
CHL,2002-10-01,0.0005639097744360903
CHL,2003-01-01,0.0406015037593985
CHL,2003-04-01,0.08157894736842104
CHL,2003-07-01,0.03715538847117795
CHL,2003-10-01,0.005889724310776942
CHL,2004-01-01,0.04868421052631578
CHL,2004-04-01,0.09793233082706766
CHL,2004-07-01,0.026378446115288223
CHL,2004-10-01,0.009022556390977444
CHL,2005-01-01,0.04060150375939849
CHL,2005-04-01,0.06835839598997494
CHL,2005-07-01,0.08947368421052632
CHL,2005-10-01,0.033583959899749376
CHL,2006-01-01,0.023934837092731826
CHL,2006-04-01,0.05720551378446115
CHL,2006-07-01,0.04555137844611529
CHL,2006-10-01,0.011152882205513784
CHL,2007-01-01,0.04442355889724311
CHL,2007-04-01,0.06040100250626566
CHL,2007-07-01,0.06710526315789474
CHL,2007-10-01,0.02080200501253133
CHL,2008-01-01,0.05507518796992481
CHL,2008-04-01,0.03934837092731829
CHL,2008-07-01,0.09072681704260653
CHL,2008-10-01,0.030576441102756893
CHL,2009-01-01,0.031578947368421054
CHL,2009-04-01,0.05269423558897243
CHL,2009-07-01,0.03778195488721805
CHL,2009-10-01,0.015350877192982457
CHL,2010-01-01,0.039912280701754385
CHL,2010-04-01,0.05043859649122807
CHL,2010-07-01,0.06697994987468671
CHL,2010-10-01,0.022493734335839597
CHL,2011-01-01,0.017857142857142856
CHL,2011-04-01,0.04505012531328321
CHL,2011-07-01,0.056140350877192984
