country,P_HEAT_NEXT_Q,P_MOISTURE_NEXT_Q
BRA,0.053016935272071665,0.11228723386635192
CHL,0.08799672737400559,0.11172311798392892
COL,0.03940538493285419,0.09888713647494238
EGY,0.10360692965356876,0.11201052192324676
IDN,0.04215111987229057,0.09607107919484018
IND,0.08560382829452536,0.10870466589519864
KEN,0.09418844170995198,0.06733596268057543
MEX,0.09391967561253137,0.10972319487925035
PER,0.032940326519938855,0.11045059614121669
PHL,0.07283700369036479,0.10802751717278014
THA,0.0597047350877711,0.10235617902934267
ZAF,0.06282791925602958,0.10347007451641073
