lat,lon,population
-56.0,-68.0,16.63418593194953
-56.0,-67.0,10.938392659547068
-55.0,-72.0,11.326421530271379
-55.0,-71.0,278.6398658703464
-55.0,-70.0,420.13210784889213
-55.0,-69.0,428.2304617822515
-55.0,-68.0,83826.19008809238
-55.0,-67.0,7814.253526266377
-54.0,-74.0,0.028912853449583054
-54.0,-73.0,41.44274703828726
-54.0,-72.0,36.234062328064155
-54.0,-71.0,164.20786951415647
-54.0,-70.0,309.9587643108017
-54.0,-69.0,362.1574256599845
-53.0,-74.0,14.261435697789148
-53.0,-73.0,105.25925967277215
-53.0,-72.0,500.45284249471536
-53.0,-71.0,149673.66650377525
-53.0,-70.0,7737.289587249899
-53.0,-69.0,2368.061873739789
-52.0,-75.0,44.35914724767888
-52.0,-74.0,15.604880016335898
-52.0,-73.0,5957.637410756222
-52.0,-72.0,35626.91786325221
-52.0,-71.0,392.12636305398655
-52.0,-70.0,754.6067918530205
-52.0,-69.0,115074.50572982083
-52.0,-68.0,176.53652258458655
-51.0,-75.0,14.91581164909137
-51.0,-74.0,58.90708077868375
-51.0,-73.0,1139.8656271390198
-51.0,-72.0,847.4807603652732
-50.0,-75.0,25.00828358262929
-50.0,-74.0,98.22409078728457
-50.0,-73.0,674.1268204441384
-49.0,-76.0,5.513714050878257
-49.0,-75.0,23.850400139552264
-49.0,-74.0,218.59220409852497
-49.0,-73.0,1907.168045109912
-48.0,-76.0,1.0634696260844194
-48.0,-75.0,32.34504707623084
-48.0,-74.0,197.1741759091296
-48.0,-73.0,1068.0365173415053
-48.0,-72.0,746.082634487368
-47.0,-76.0,2.6933703572173884
-47.0,-75.0,4.52749012181264
-47.0,-74.0,95.76909439572748
-47.0,-73.0,5516.023418412808
-47.0,-72.0,8888.496653050126
-46.0,-75.0,17.19101890304341
-46.0,-74.0,28.35965348208351
-46.0,-73.0,843.5997129311729
-46.0,-72.0,65601.19082865998
-45.0,-75.0,1.2474936693931786
-45.0,-74.0,495.77135150570047
-45.0,-73.0,26258.539554048504
-45.0,-72.0,6441.541094003811
-45.0,-71.0,2258.525676870743
-44.0,-75.0,1.8459696033995385
-44.0,-74.0,2113.7832884575464
-44.0,-73.0,1026.8920608494768
-44.0,-72.0,6241.422814948604
-44.0,-71.0,7343.859772167305
-43.0,-74.0,59590.30111136069
-43.0,-73.0,9966.140639788337
-43.0,-72.0,6732.388496588606
-42.0,-74.0,121319.09702898732
-42.0,-73.0,84506.67238879245
-42.0,-72.0,55492.936962369844
-41.0,-74.0,13793.016976700816
-41.0,-73.0,625221.6755255943
-41.0,-72.0,23242.11949568375
-40.0,-74.0,1672.316978765982
-40.0,-73.0,363682.05462897953
-40.0,-72.0,63482.919377631435
-39.0,-74.0,130.25425039604403
-39.0,-73.0,624607.0071983321
-39.0,-72.0,221917.91666962398
-39.0,-71.0,16631.991147374
-38.0,-74.0,30575.599684066812
-38.0,-73.0,254791.37899035448
-38.0,-72.0,180362.67612898196
-38.0,-71.0,21252.91129046518
-37.0,-74.0,4844.08751165501
-37.0,-73.0,1288737.9021846415
-37.0,-72.0,676670.6862340777
-37.0,-71.0,12321.339315764944
-36.0,-73.0,54857.46271916139
-36.0,-72.0,451401.58378455316
-36.0,-71.0,67799.11793837413
-36.0,-70.0,3700.7907210926355
