lat,lon,value
-56.0,-68.0,1.018338680267334
-56.0,-67.0,0.9952624440193176
-55.0,-72.0,1.2445167303085327
-55.0,-71.0,1.2656570672988892
-55.0,-70.0,1.3947983980178833
-55.0,-69.0,1.4622024297714233
-55.0,-68.0,1.3397470712661743
-55.0,-67.0,1.1774638891220093
-54.0,-74.0,1.4516663551330566
-54.0,-73.0,1.4848569631576538
-54.0,-72.0,1.3898323774337769
-54.0,-71.0,1.3686398267745972
-54.0,-70.0,1.4873651266098022
-54.0,-69.0,1.542166829109192
-53.0,-74.0,1.6071141958236694
-53.0,-73.0,1.692762017250061
-53.0,-72.0,1.6908931732177734
-53.0,-71.0,1.6218417882919312
-53.0,-70.0,1.5924615859985352
-53.0,-69.0,1.514954686164856
-52.0,-75.0,1.6525449752807617
-52.0,-74.0,1.7388477325439453
-52.0,-73.0,1.7966928482055664
-52.0,-72.0,1.7639962434768677
-52.0,-71.0,1.7022161483764648
-52.0,-70.0,1.6293730735778809
-52.0,-69.0,1.4022070169448853
-52.0,-68.0,1.2454725503921509
-51.0,-75.0,1.795113205909729
-51.0,-74.0,1.8679227828979492
-51.0,-73.0,1.865038514137268
-51.0,-72.0,1.9448081254959106
-50.0,-75.0,1.8946133852005005
-50.0,-74.0,1.8567018508911133
-50.0,-73.0,1.8433011770248413
-49.0,-76.0,1.867737889289856
-49.0,-75.0,1.934106469154358
-49.0,-74.0,1.846579670906067
-49.0,-73.0,1.8808512687683105
-48.0,-76.0,1.8585127592086792
-48.0,-75.0,1.9013324975967407
-48.0,-74.0,1.9732009172439575
-48.0,-73.0,2.0120646953582764
-48.0,-72.0,2.041578531265259
-47.0,-76.0,1.8242384195327759
-47.0,-75.0,1.8631948232650757
-47.0,-74.0,1.8951492309570312
-47.0,-73.0,1.9388427734375
-47.0,-72.0,1.830764651298523
-46.0,-75.0,1.8130393028259277
-46.0,-74.0,1.895992636680603
-46.0,-73.0,1.8939862251281738
-46.0,-72.0,1.9303817749023438
-45.0,-75.0,1.7006415128707886
-45.0,-74.0,1.8147153854370117
-45.0,-73.0,1.776123046875
-45.0,-72.0,1.6715742349624634
-45.0,-71.0,1.647016167640686
-44.0,-75.0,1.5813989639282227
-44.0,-74.0,1.6614209413528442
-44.0,-73.0,1.8001632690429688
-44.0,-72.0,1.8401681184768677
-44.0,-71.0,1.5762170553207397
-43.0,-74.0,1.5124582052230835
-43.0,-73.0,1.5881452560424805
-43.0,-72.0,1.647586703300476
-42.0,-74.0,1.4393386840820312
-42.0,-73.0,1.501883864402771
-42.0,-72.0,1.5712426900863647
-41.0,-74.0,1.444746494293213
-41.0,-73.0,1.609584927558899
-41.0,-72.0,1.4331326484680176
-40.0,-74.0,1.419718861579895
-40.0,-73.0,1.61156165599823
-40.0,-72.0,1.2992092370986938
-39.0,-74.0,1.384285807609558
-39.0,-73.0,1.2599748373031616
-39.0,-72.0,1.1729894876480103
-39.0,-71.0,1.1511045694351196
-38.0,-74.0,1.3225655555725098
-38.0,-73.0,1.278887152671814
