lat,lon,value
-56.0,-68.0,-16.282690048217773
-56.0,-67.0,-15.772541046142578
-55.0,-72.0,-8.400551795959473
-55.0,-71.0,-14.845219612121582
-55.0,-70.0,-22.030868530273438
-55.0,-69.0,-17.939897537231445
-55.0,-68.0,-14.380585670471191
-55.0,-67.0,-13.005788803100586
-54.0,-74.0,1.9082133769989014
-54.0,-73.0,-7.095614433288574
-54.0,-72.0,-16.04682159423828
-54.0,-71.0,-16.178762435913086
-54.0,-70.0,-11.69532585144043
-54.0,-69.0,-7.809685230255127
-53.0,-74.0,-2.0870001316070557
-53.0,-73.0,-12.097683906555176
-53.0,-72.0,-12.432924270629883
-53.0,-71.0,-9.114372253417969
-53.0,-70.0,-5.607978820800781
-53.0,-69.0,-3.214942216873169
-52.0,-75.0,2.9979331493377686
-52.0,-74.0,-10.007493019104004
-52.0,-73.0,-14.27725887298584
-52.0,-72.0,-10.73163890838623
-52.0,-71.0,-6.619472980499268
-52.0,-70.0,-2.8473479747772217
-52.0,-69.0,-3.0017576217651367
-52.0,-68.0,-5.263498783111572
-51.0,-75.0,-3.901311159133911
-51.0,-74.0,-25.240337371826172
-51.0,-73.0,-20.766115188598633
-51.0,-72.0,-11.044485092163086
-50.0,-75.0,-2.4634170532226562
-50.0,-74.0,-28.149166107177734
-50.0,-73.0,-21.048931121826172
-49.0,-76.0,11.109006881713867
-49.0,-75.0,-0.5857007503509521
-49.0,-74.0,-24.958791732788086
-49.0,-73.0,-23.397464752197266
-48.0,-76.0,7.5043182373046875
-48.0,-75.0,-1.9993982315063477
-48.0,-74.0,-26.498641967773438
-48.0,-73.0,-30.823760986328125
-48.0,-72.0,-17.15007781982422
-47.0,-76.0,-0.6299304366111755
-47.0,-75.0,-12.846393585205078
-47.0,-74.0,-37.90871047973633
-47.0,-73.0,-29.424339294433594
-47.0,-72.0,-17.357994079589844
-46.0,-75.0,-8.373298645019531
-46.0,-74.0,-25.195383071899414
-46.0,-73.0,-38.25260925292969
-46.0,-72.0,-20.787994384765625
-45.0,-75.0,-8.590264320373535
-45.0,-74.0,-28.784818649291992
-45.0,-73.0,-54.1524658203125
-45.0,-72.0,-37.16842269897461
-45.0,-71.0,-11.45980167388916
-44.0,-75.0,-11.56815242767334
-44.0,-74.0,-30.834077835083008
-44.0,-73.0,-66.65216827392578
-44.0,-72.0,-56.19858169555664
-44.0,-71.0,-22.0488224029541
-43.0,-74.0,-35.61521530151367
-43.0,-73.0,-67.00308227539062
-43.0,-72.0,-65.58549499511719
-42.0,-74.0,-33.762874603271484
-42.0,-73.0,-56.616966247558594
-42.0,-72.0,-65.28361511230469
-41.0,-74.0,-27.6517333984375
