country,iso_a3,target_month,lead_time,value
Brazil,BRA,2026-06,0,0.766605778127192
Brazil,BRA,2026-07,1,0.9600360919301727
Brazil,BRA,2026-08,2,0.9295037561746554
Brazil,BRA,2026-09,3,0.6203582191287115
Brazil,BRA,2026-10,4,0.9512264839302222
Brazil,BRA,2026-11,5,1.135555929682682
Brazil,BRA,2026-12,6,1.2052969467841457
Brazil,BRA,2027-01,7,1.1789432334503478
Brazil,BRA,2027-02,8,1.3069520431976405
Brazil,BRA,2027-03,9,0.0
Brazil,BRA,2027-04,10,0.0
Brazil,BRA,2027-05,11,0.0
Chile,CHL,2026-06,0,1.377645509046066
Chile,CHL,2026-07,1,1.3436156514005502
Chile,CHL,2026-08,2,0.9778202354208175
Chile,CHL,2026-09,3,0.7877125503295909
Chile,CHL,2026-10,4,0.3386442014263161
Chile,CHL,2026-11,5,0.33716068715747094
Chile,CHL,2026-12,6,0.7475829329169003
Chile,CHL,2027-01,7,1.1046551073929465
Chile,CHL,2027-02,8,1.328216290169873
Chile,CHL,2027-03,9,0.0
Chile,CHL,2027-04,10,0.0
Chile,CHL,2027-05,11,0.0
Colombia,COL,2026-06,0,0.7958280812682
Colombia,COL,2026-07,1,0.9817197085869501
Colombia,COL,2026-08,2,1.11728025096565
Colombia,COL,2026-09,3,1.1363429660327877
Colombia,COL,2026-10,4,1.1371792172108408
Colombia,COL,2026-11,5,1.2384987861058905
Colombia,COL,2026-12,6,1.5663744904327572
Colombia,COL,2027-01,7,2.0087264776573024
Colombia,COL,2027-02,8,2.06216435494133
Colombia,COL,2027-03,9,0.0
Colombia,COL,2027-04,10,0.0
Colombia,COL,2027-05,11,0.0
Egypt,EGY,2026-06,0,0.7595900701926439
Egypt,EGY,2026-07,1,0.9431741802507203
Egypt,EGY,2026-08,2,0.8897767782513597
Egypt,EGY,2026-09,3,1.1124957384856489
Egypt,EGY,2026-10,4,0.827057108725473
Egypt,EGY,2026-11,5,0.3943861835029684
Egypt,EGY,2026-12,6,0.5460830334953896
Egypt,EGY,2027-01,7,0.7752312491972783
Egypt,EGY,2027-02,8,1.2663344549871007
Egypt,EGY,2027-03,9,0.0
Egypt,EGY,2027-04,10,0.0
Egypt,EGY,2027-05,11,0.0
India,IND,2026-06,0,0.9617077976716917
India,IND,2026-07,1,0.8635281627872673
India,IND,2026-08,2,1.0395786914215626
India,IND,2026-09,3,1.126354566583036
India,IND,2026-10,4,1.2549739467267074
India,IND,2026-11,5,1.6303325660267507
India,IND,2026-12,6,1.4424820573934125
India,IND,2027-01,7,1.3949301368771205
India,IND,2027-02,8,1.2476388776853684
India,IND,2027-03,9,0.0
India,IND,2027-04,10,0.0
India,IND,2027-05,11,0.0
Indonesia,IDN,2026-06,0,0.3227744755273939
Indonesia,IDN,2026-07,1,0.31611095290055335
Indonesia,IDN,2026-08,2,0.4584991009731725
Indonesia,IDN,2026-09,3,0.6612316374772962
Indonesia,IDN,2026-10,4,0.879137389178035
Indonesia,IDN,2026-11,5,0.9982858303672636
Indonesia,IDN,2026-12,6,1.0465459579013268
Indonesia,IDN,2027-01,7,1.1384671036968315
Indonesia,IDN,2027-02,8,1.133893587763555
Indonesia,IDN,2027-03,9,0.0
Indonesia,IDN,2027-04,10,0.0
Indonesia,IDN,2027-05,11,0.0
Kenya,KEN,2026-06,0,0.8609521570942237
Kenya,KEN,2026-07,1,0.8908187584307096
Kenya,KEN,2026-08,2,0.9576369490114681
Kenya,KEN,2026-09,3,1.2210379683622903
Kenya,KEN,2026-10,4,0.9522945501246594
Kenya,KEN,2026-11,5,0.7067478760311334
Kenya,KEN,2026-12,6,0.6787967375589963
Kenya,KEN,2027-01,7,0.6489847054009078
Kenya,KEN,2027-02,8,0.6667046279716996
Kenya,KEN,2027-03,9,0.0
Kenya,KEN,2027-04,10,0.0
Kenya,KEN,2027-05,11,0.0
Mexico,MEX,2026-06,0,0.38199780536605715
Mexico,MEX,2026-07,1,0.5812179939085448
Mexico,MEX,2026-08,2,0.6471649965840061
Mexico,MEX,2026-09,3,0.7484754324589186
Mexico,MEX,2026-10,4,0.8397516746780408
Mexico,MEX,2026-11,5,1.0046931710630922
Mexico,MEX,2026-12,6,0.4872509702456836
Mexico,MEX,2027-01,7,0.3381673114760575
Mexico,MEX,2027-02,8,0.2856028013872114
Mexico,MEX,2027-03,9,0.0
Mexico,MEX,2027-04,10,0.0
Mexico,MEX,2027-05,11,0.0
Peru,PER,2026-06,0,1.342612674987194
Peru,PER,2026-07,1,1.5616519441175687
Peru,PER,2026-08,2,1.572604419250796
Peru,PER,2026-09,3,1.5037312149708641
