country,iso_a3,target_month,lead_time,value
Brazil,BRA,2026-06,0,-0.3354813598776359
Brazil,BRA,2026-07,1,5.315393590589302
Brazil,BRA,2026-08,2,12.134321209736429
Brazil,BRA,2026-09,3,17.122211573066405
Brazil,BRA,2026-10,4,6.578531916678013
Brazil,BRA,2026-11,5,-2.080127367511541
Brazil,BRA,2026-12,6,-11.201613071664704
Brazil,BRA,2027-01,7,-13.354439048828855
Brazil,BRA,2027-02,8,-19.83057137724115
Brazil,BRA,2027-03,9,0.0
Brazil,BRA,2027-04,10,0.0
Brazil,BRA,2027-05,11,0.0
Chile,CHL,2026-06,0,-18.22849813007664
Chile,CHL,2026-07,1,26.427587036248834
Chile,CHL,2026-08,2,28.660673128552915
Chile,CHL,2026-09,3,28.255195112528195
Chile,CHL,2026-10,4,20.217441014979382
Chile,CHL,2026-11,5,11.823387703442961
Chile,CHL,2026-12,6,-0.9792233844351873
Chile,CHL,2027-01,7,-4.584083522695335
Chile,CHL,2027-02,8,-3.616395083567106
Chile,CHL,2027-03,9,0.0
Chile,CHL,2027-04,10,0.0
Chile,CHL,2027-05,11,0.0
Colombia,COL,2026-06,0,-60.94184816876039
Colombia,COL,2026-07,1,-55.40874678209094
Colombia,COL,2026-08,2,-61.748891513945296
Colombia,COL,2026-09,3,-65.54491529003211
Colombia,COL,2026-10,4,-43.91858080970869
Colombia,COL,2026-11,5,-54.4536458099591
Colombia,COL,2026-12,6,-55.516102427733024
Colombia,COL,2027-01,7,-23.698063484844152
Colombia,COL,2027-02,8,-8.153135696437287
Colombia,COL,2027-03,9,0.0
Colombia,COL,2027-04,10,0.0
Colombia,COL,2027-05,11,0.0
Egypt,EGY,2026-06,0,-0.17733515583685536
Egypt,EGY,2026-07,1,-0.2562494488227222
Egypt,EGY,2026-08,2,-0.7847366277392174
Egypt,EGY,2026-09,3,0.07766154667418057
Egypt,EGY,2026-10,4,2.92814571598621
Egypt,EGY,2026-11,5,-0.054907175665415565
Egypt,EGY,2026-12,6,0.1088148427706013
Egypt,EGY,2027-01,7,-0.7322393550081233
Egypt,EGY,2027-02,8,-0.7175882665746021
Egypt,EGY,2027-03,9,0.0
Egypt,EGY,2027-04,10,0.0
Egypt,EGY,2027-05,11,0.0
India,IND,2026-06,0,-35.40336583567497
India,IND,2026-07,1,-26.997915968815295
India,IND,2026-08,2,-32.572550128262144
India,IND,2026-09,3,-34.596832240807885
India,IND,2026-10,4,-19.813383079030285
India,IND,2026-11,5,-6.028989063318562
India,IND,2026-12,6,-3.3759112584232347
India,IND,2027-01,7,1.8796299444771818
India,IND,2027-02,8,2.1741292964634877
India,IND,2027-03,9,0.0
India,IND,2027-04,10,0.0
India,IND,2027-05,11,0.0
Indonesia,IDN,2026-06,0,-72.4480821619812
Indonesia,IDN,2026-07,1,-55.024615311663304
Indonesia,IDN,2026-08,2,-61.56519086332923
Indonesia,IDN,2026-09,3,-68.32503255905624
Indonesia,IDN,2026-10,4,-82.87073880854001
Indonesia,IDN,2026-11,5,-66.65253097701539
Indonesia,IDN,2026-12,6,-33.15629541674453
Indonesia,IDN,2027-01,7,-5.407838879791012
Indonesia,IDN,2027-02,8,32.46369524680718
Indonesia,IDN,2027-03,9,0.0
Indonesia,IDN,2027-04,10,0.0
Indonesia,IDN,2027-05,11,0.0
Kenya,KEN,2026-06,0,-15.938035251897217
Kenya,KEN,2026-07,1,-8.570611765849979
Kenya,KEN,2026-08,2,-8.552713444201126
Kenya,KEN,2026-09,3,-14.907532672159178
Kenya,KEN,2026-10,4,14.484080524216383
Kenya,KEN,2026-11,5,37.55739066054869
Kenya,KEN,2026-12,6,31.406337186665453
Kenya,KEN,2027-01,7,26.55715197745353
Kenya,KEN,2027-02,8,24.831057408635772
Kenya,KEN,2027-03,9,0.0
Kenya,KEN,2027-04,10,0.0
Kenya,KEN,2027-05,11,0.0
Mexico,MEX,2026-06,0,30.459339202507604
Mexico,MEX,2026-07,1,-16.790051977172162
Mexico,MEX,2026-08,2,-22.904680926487384
Mexico,MEX,2026-09,3,-11.273420746273702
Mexico,MEX,2026-10,4,16.15190733021845
Mexico,MEX,2026-11,5,22.184768955983014
Mexico,MEX,2026-12,6,13.517906711509532
Mexico,MEX,2027-01,7,2.50680031419013
Mexico,MEX,2027-02,8,-4.592543650645663
Mexico,MEX,2027-03,9,0.0
Mexico,MEX,2027-04,10,0.0
Mexico,MEX,2027-05,11,0.0
Peru,PER,2026-06,0,1.5893033313323217
Peru,PER,2026-07,1,2.42000557704602
Peru,PER,2026-08,2,4.548312317669969
Peru,PER,2026-09,3,3.9545192524635215
Peru,PER,2026-10,4,6.21687992600483
Peru,PER,2026-11,5,19.361218676517442
Peru,PER,2026-12,6,27.230968656519977
Peru,PER,2027-01,7,33.993359741327204
Peru,PER,2027-02,8,30.425931331705225
Peru,PER,2027-03,9,0.0
Peru,PER,2027-04,10,0.0
Peru,PER,2027-05,11,0.0
Philippines,PHL,2026-06,0,38.50062213652707
Philippines,PHL,2026-07,1,16.23033280039058
Philippines,PHL,2026-08,2,10.699467410820374
Philippines,PHL,2026-09,3,-30.422259722817547
Philippines,PHL,2026-10,4,-72.93591068159421
Philippines,PHL,2026-11,5,-78.6472761583176
Philippines,PHL,2026-12,6,-78.05030223680873
Philippines,PHL,2027-01,7,-90.19655504771679
Philippines,PHL,2027-02,8,-64.69214152160392
Philippines,PHL,2027-03,9,0.0
Philippines,PHL,2027-04,10,0.0
Philippines,PHL,2027-05,11,0.0
South Africa,ZAF,2026-06,0,7.015259958147287
South Africa,ZAF,2026-07,1,2.164646956933437
South Africa,ZAF,2026-08,2,5.699277238199808
South Africa,ZAF,2026-09,3,5.423816128657873
South Africa,ZAF,2026-10,4,2.7566234301032324
South Africa,ZAF,2026-11,5,-9.588261000834429
South Africa,ZAF,2026-12,6,-10.852364494162206
South Africa,ZAF,2027-01,7,-7.717724527488474
South Africa,ZAF,2027-02,8,0.8827128932212044
South Africa,ZAF,2027-03,9,0.0
South Africa,ZAF,2027-04,10,0.0
South Africa,ZAF,2027-05,11,0.0
Thailand,THA,2026-06,0,30.792074217579653
Thailand,THA,2026-07,1,27.710179120538164
Thailand,THA,2026-08,2,20.999836849345243
Thailand,THA,2026-09,3,-5.976571925311967
Thailand,THA,2026-10,4,1.752415268529432
Thailand,THA,2026-11,5,7.804935432804714
Thailand,THA,2026-12,6,3.9722926986490497
Thailand,THA,2027-01,7,-2.4101853277496086
Thailand,THA,2027-02,8,-3.896180890847388
Thailand,THA,2027-03,9,0.0
Thailand,THA,2027-04,10,0.0
Thailand,THA,2027-05,11,0.0
