country,break_year,n_docs,status,error_message,raw_output
Bolivia,2007,2,ok,,"break_supported: 1
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 3
summary: [New universal electricity access policy using solar home systems]"
Bolivia,2008,4,ok,,"break_supported: 1
break_type: external_shock, commodity_or_trade
duration: long_term
climate_related: 0
confidence: 4
summary: [Global recession, food crisis, and rising inflation impact competitiveness.]"
Bolivia,2009,4,ok,,"break_supported: 1
break_type: financial_crisis, external_shock
duration: long_term
climate_related: 0
confidence: 4
summary: [Global recession and food crisis impacted trade and development.]"
Bolivia,2012,4,ok,,"break_supported: 0
break_type: -99
duration: -99
climate_related: 0
confidence: 5
summary: [No textual support for a 2012 structural break.]"
Bolivia,2013,3,ok,,"break_supported: 0
break_type: policy_change
duration: within 1 year
climate_related: 0
confidence: 5
summary: Summaries evaluate micro-impacts, providing no evidence of 2013 break."
Bolivia,2014,3,ok,,"break_supported: 1
break_type: policy_change
duration: long_term
climate_related: 1
confidence: 3
summary: New national disaster risk strategy and infrastructure investment methodology."
Bolivia,2015,2,ok,,"break_supported: 0
break_type: -99
duration: -99
climate_related: 0
confidence: 5
summary: [Documents cover ICT and urbanization; no break mentioned.]"
Bolivia,2017,2,ok,,"break_supported: 0
break_type: -99
duration: -99
climate_related: 0
confidence: 5
summary: [Urbanization analysis and rural electrification project history.]"
Bolivia,2020,1,ok,,"break_supported: 0
break_type: 
duration: 
climate_related: 0
confidence: 5
summary: [IFC guide for municipal natural resource royalties; no break described.]"
Bolivia,2021,3,ok,,"break_supported: 0
break_type: external_shock
duration: within 1 year
climate_related: 0
confidence: 2
summary: Documents mention COVID-19 response but no economic structural break."
